AF16	0.000010	0.000010	0.999970	0.000010	LD_0.9_4_1230
BRC20069	0.000010	0.000010	0.999970	0.000010	LD_0.9_4_1230
BRC20073	0.000010	0.000010	0.999970	0.000010	LD_0.9_4_1230
BRC20075	0.999970	0.000010	0.000010	0.000010	LD_0.9_4_1230
BRC20077	0.000010	0.000010	0.999970	0.000010	LD_0.9_4_1230
BRC20081	0.000010	0.999970	0.000010	0.000010	LD_0.9_4_1230
BRC20085	0.000010	0.000010	0.999970	0.000010	LD_0.9_4_1230
BRC20088	0.000010	0.999970	0.000010	0.000010	LD_0.9_4_1230
BRC20089	0.000010	0.000010	0.999970	0.000010	LD_0.9_4_1230
BRC20090	0.000010	0.000013	0.999967	0.000010	LD_0.9_4_1230
BRC20092	0.000010	0.000010	0.999970	0.000010	LD_0.9_4_1230
BRC20093	0.000010	0.000010	0.999970	0.000010	LD_0.9_4_1230
BRC20094	0.000012	0.000010	0.999968	0.000010	LD_0.9_4_1230
BRC20095	0.000010	0.000010	0.999970	0.000010	LD_0.9_4_1230
BRC20096	0.000010	0.000010	0.999970	0.000010	LD_0.9_4_1230
BRC20098	0.000010	0.000010	0.999970	0.000010	LD_0.9_4_1230
BRC20099	0.000010	0.000010	0.999970	0.000010	LD_0.9_4_1230
BRC20100	0.000010	0.000010	0.999970	0.000010	LD_0.9_4_1230
BRC20102	0.000010	0.000010	0.999970	0.000010	LD_0.9_4_1230
BRC20103	0.000010	0.000010	0.999970	0.000010	LD_0.9_4_1230
BRC20105	0.000010	0.000015	0.999965	0.000010	LD_0.9_4_1230
BRC20107	0.000010	0.000010	0.999970	0.000010	LD_0.9_4_1230
BRC20115	0.849205	0.150775	0.000010	0.000010	LD_0.9_4_1230
BRC20119	0.000010	0.000010	0.999970	0.000010	LD_0.9_4_1230
BRC20228	0.000010	0.000010	0.999970	0.000010	LD_0.9_4_1230
BRC20229	0.999970	0.000010	0.000010	0.000010	LD_0.9_4_1230
BRC20230	0.000010	0.999970	0.000010	0.000010	LD_0.9_4_1230
BRC20232	0.999970	0.000010	0.000010	0.000010	LD_0.9_4_1230
BRC20238	0.000010	0.999970	0.000010	0.000010	LD_0.9_4_1230
BRC20239	0.999970	0.000010	0.000010	0.000010	LD_0.9_4_1230
BRC20241	0.000010	0.000010	0.999970	0.000010	LD_0.9_4_1230
