AF16	0.000010	0.000010	0.000010	0.000010	0.999930	0.000010	0.000010	0.000010	LD_0.9_8_1230
BRC20069	0.000010	0.000010	0.000010	0.000010	0.999929	0.000011	0.000010	0.000010	LD_0.9_8_1230
BRC20073	0.000010	0.000010	0.000010	0.000010	0.999930	0.000010	0.000010	0.000010	LD_0.9_8_1230
BRC20075	0.000010	0.000010	0.000010	0.999930	0.000010	0.000010	0.000010	0.000010	LD_0.9_8_1230
BRC20077	0.000011	0.000010	0.000010	0.000010	0.999929	0.000010	0.000010	0.000010	LD_0.9_8_1230
BRC20081	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.999930	LD_0.9_8_1230
BRC20085	0.108881	0.000010	0.000010	0.000010	0.309090	0.531936	0.050052	0.000010	LD_0.9_8_1230
BRC20088	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.999930	LD_0.9_8_1230
BRC20089	0.000010	0.000010	0.000010	0.000010	0.999930	0.000010	0.000010	0.000010	LD_0.9_8_1230
BRC20090	0.040521	0.000010	0.000010	0.000010	0.918851	0.039105	0.001484	0.000010	LD_0.9_8_1230
BRC20092	0.000010	0.000010	0.000010	0.000010	0.275670	0.670733	0.053547	0.000010	LD_0.9_8_1230
BRC20093	0.000010	0.000010	0.000010	0.000010	0.999930	0.000010	0.000010	0.000010	LD_0.9_8_1230
BRC20094	0.046475	0.000010	0.000011	0.000010	0.284698	0.662334	0.006451	0.000010	LD_0.9_8_1230
BRC20095	0.000010	0.000010	0.000010	0.000010	0.999930	0.000010	0.000010	0.000010	LD_0.9_8_1230
BRC20096	0.000010	0.000010	0.000010	0.000010	0.999930	0.000010	0.000010	0.000010	LD_0.9_8_1230
BRC20098	0.000010	0.000010	0.000010	0.000010	0.999927	0.000013	0.000010	0.000010	LD_0.9_8_1230
BRC20099	0.000010	0.000010	0.000010	0.000010	0.999928	0.000012	0.000010	0.000010	LD_0.9_8_1230
BRC20100	0.000010	0.000010	0.000010	0.000010	0.999930	0.000010	0.000010	0.000010	LD_0.9_8_1230
BRC20102	0.000010	0.000010	0.000010	0.000010	0.999930	0.000010	0.000010	0.000010	LD_0.9_8_1230
BRC20103	0.000010	0.000010	0.000010	0.000010	0.999930	0.000010	0.000010	0.000010	LD_0.9_8_1230
BRC20105	0.107050	0.000010	0.000010	0.000010	0.203306	0.662723	0.026882	0.000010	LD_0.9_8_1230
BRC20107	0.106821	0.000010	0.000010	0.000010	0.250152	0.633763	0.009224	0.000010	LD_0.9_8_1230
BRC20115	0.000010	0.000010	0.000010	0.645668	0.141410	0.000010	0.000010	0.212872	LD_0.9_8_1230
BRC20119	0.718917	0.000010	0.000010	0.000010	0.281023	0.000010	0.000010	0.000010	LD_0.9_8_1230
BRC20228	0.000010	0.000010	0.000010	0.000010	0.999930	0.000010	0.000010	0.000010	LD_0.9_8_1230
BRC20229	0.000010	0.000010	0.000010	0.999930	0.000010	0.000010	0.000010	0.000010	LD_0.9_8_1230
BRC20230	0.000010	0.000010	0.000010	0.000011	0.000010	0.000010	0.000010	0.999929	LD_0.9_8_1230
BRC20232	0.000010	0.000010	0.000010	0.999930	0.000010	0.000010	0.000010	0.000010	LD_0.9_8_1230
BRC20238	0.000010	0.000010	0.000010	0.000010	0.000013	0.000010	0.000010	0.999927	LD_0.9_8_1230
BRC20239	0.000010	0.000010	0.000010	0.999930	0.000010	0.000010	0.000010	0.000010	LD_0.9_8_1230
BRC20241	0.063608	0.000010	0.000015	0.000010	0.936319	0.000010	0.000018	0.000010	LD_0.9_8_1230
BRC20242	0.007088	0.000010	0.000010	0.000010	0.992852	0.000010	0.000010	0.000010	LD_0.9_8_1230
BRC20244	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.999930	LD_0.9_8_1230
BRC20246	0.000010	0.000010	0.000010	0.000010	0.000014	0.000010	0.000010	0.999926	LD_0.9_8_1230
BRC20257	0.999930	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	LD_0.9_8_1230
BRC20260	0.000010	0.000010	0.000012	0.000010	0.999928	0.000010	0.000010	0.000010	LD_0.9_8_1230
BRC20270	0.000010	0.000010	0.000010	0.000018	0.000010	0.000010	0.000010	0.999921	LD_0.9_8_1230
BRC20272	0.000010	0.000010	0.000010	0.000011	0.000010	0.000010	0.000010	0.999929	LD_0.9_8_1230
BRC20289	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.999930	LD_0.9_8_1230
BRC20290	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.999930	LD_0.9_8_1230
BRC20294	0.008986	0.000010	0.000010	0.000010	0.990954	0.000010	0.000010	0.000010	LD_0.9_8_1230
BRC20308	0.000010	0.000010	0.000010	0.000012	0.000010	0.000010	0.000010	0.999928	LD_0.9_8_1230
BRC20309	0.000010	0.000010	0.000010	0.000016	0.000010	0.000010	0.000010	0.999924	LD_0.9_8_1230
BRC20311	0.000010	0.000010	0.000011	0.000010	0.000010	0.000010	0.000010	0.999929	LD_0.9_8_1230
BRC20312	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.999930	LD_0.9_8_1230
BRC20315	0.000011	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.999929	LD_0.9_8_1230
BRC20320	0.000010	0.000010	0.000010	0.000012	0.000010	0.000010	0.000010	0.999928	LD_0.9_8_1230
BRC20324	0.000010	0.000010	0.000010	0.591961	0.407979	0.000010	0.000010	0.000010	LD_0.9_8_1230
BRC20331	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.999930	LD_0.9_8_1230
BRC20333	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.999930	LD_0.9_8_1230
BRC20334	0.000010	0.000010	0.000017	0.000011	0.000010	0.000010	0.000010	0.999922	LD_0.9_8_1230
BRC20339	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.999930	LD_0.9_8_1230
BRC20341	0.000017	0.000010	0.000010	0.000015	0.000010	0.000018	0.000010	0.999910	LD_0.9_8_1230
BRC20343	0.000010	0.000010	0.000010	0.999930	0.000010	0.000010	0.000010	0.000010	LD_0.9_8_1230
BRC20346	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.999930	LD_0.9_8_1230
BRC20347	0.000010	0.000010	0.000010	0.999930	0.000010	0.000010	0.000010	0.000010	LD_0.9_8_1230
BRC20348	0.000010	0.000010	0.000010	0.000010	0.000010	0.000016	0.000010	0.999924	LD_0.9_8_1230
