AF16	0.000010	0.000010	0.000010	0.000010	0.000015	0.999905	0.000010	0.000010	0.000010	0.000010	LD_0.9_10_1230
BRC20069	0.000010	0.000010	0.000012	0.000010	0.000010	0.999908	0.000010	0.000010	0.000010	0.000010	LD_0.9_10_1230
BRC20073	0.000010	0.000010	0.000010	0.000010	0.000010	0.999910	0.000010	0.000010	0.000010	0.000010	LD_0.9_10_1230
BRC20075	0.999892	0.000010	0.000011	0.000010	0.000017	0.000019	0.000010	0.000010	0.000010	0.000010	LD_0.9_10_1230
BRC20077	0.000010	0.000010	0.000018	0.000010	0.000010	0.999902	0.000010	0.000010	0.000010	0.000010	LD_0.9_10_1230
BRC20081	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.077892	0.922028	0.000010	LD_0.9_10_1230
BRC20085	0.000010	0.000010	0.442913	0.068345	0.097937	0.390745	0.000010	0.000010	0.000010	0.000010	LD_0.9_10_1230
BRC20088	0.000010	0.000010	0.000010	0.000010	0.000011	0.000011	0.000010	0.000010	0.999909	0.000010	LD_0.9_10_1230
BRC20089	0.000010	0.000010	0.000010	0.000010	0.000010	0.999910	0.000010	0.000010	0.000010	0.000010	LD_0.9_10_1230
BRC20090	0.000010	0.000010	0.020409	0.031653	0.009594	0.938284	0.000010	0.000010	0.000010	0.000010	LD_0.9_10_1230
BRC20092	0.000010	0.000010	0.557783	0.000010	0.076218	0.365929	0.000010	0.000010	0.000010	0.000010	LD_0.9_10_1230
BRC20093	0.000010	0.000010	0.000010	0.000010	0.000010	0.999910	0.000010	0.000010	0.000010	0.000010	LD_0.9_10_1230
BRC20094	0.000010	0.000010	0.563938	0.009159	0.057333	0.369510	0.000010	0.000010	0.000010	0.000010	LD_0.9_10_1230
BRC20095	0.000010	0.000010	0.000010	0.000010	0.000010	0.999907	0.000010	0.000013	0.000010	0.000010	LD_0.9_10_1230
BRC20096	0.000010	0.000010	0.000010	0.000010	0.000010	0.999910	0.000010	0.000010	0.000010	0.000010	LD_0.9_10_1230
BRC20098	0.000010	0.000010	0.000010	0.000010	0.000010	0.999910	0.000010	0.000010	0.000010	0.000010	LD_0.9_10_1230
BRC20099	0.000010	0.000010	0.000010	0.000010	0.000010	0.999910	0.000010	0.000010	0.000010	0.000010	LD_0.9_10_1230
BRC20100	0.000010	0.000010	0.000010	0.000010	0.000010	0.999910	0.000010	0.000010	0.000010	0.000010	LD_0.9_10_1230
BRC20102	0.000010	0.000010	0.000010	0.000010	0.000010	0.999910	0.000010	0.000010	0.000010	0.000010	LD_0.9_10_1230
BRC20103	0.000010	0.000010	0.000010	0.000010	0.000010	0.999910	0.000010	0.000010	0.000010	0.000010	LD_0.9_10_1230
BRC20105	0.000010	0.000010	0.557169	0.068941	0.072415	0.301415	0.000010	0.000010	0.000010	0.000010	LD_0.9_10_1230
BRC20107	0.000010	0.000010	0.528072	0.074258	0.048459	0.349151	0.000010	0.000010	0.000010	0.000010	LD_0.9_10_1230
BRC20115	0.650981	0.000010	0.000010	0.000010	0.000010	0.133291	0.000010	0.000010	0.215658	0.000010	LD_0.9_10_1230
BRC20119	0.000010	0.000010	0.000010	0.674818	0.000010	0.325102	0.000010	0.000010	0.000010	0.000010	LD_0.9_10_1230
BRC20228	0.000010	0.000010	0.000010	0.000010	0.000010	0.999910	0.000010	0.000010	0.000010	0.000010	LD_0.9_10_1230
BRC20229	0.999910	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	LD_0.9_10_1230
BRC20230	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.999910	0.000010	LD_0.9_10_1230
BRC20232	0.999910	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	LD_0.9_10_1230
BRC20238	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000012	0.999908	0.000010	LD_0.9_10_1230
BRC20239	0.999910	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	LD_0.9_10_1230
BRC20241	0.000010	0.000010	0.000010	0.055336	0.000010	0.944584	0.000010	0.000010	0.000010	0.000010	LD_0.9_10_1230
BRC20242	0.000010	0.000010	0.000010	0.000010	0.000010	0.999910	0.000010	0.000010	0.000010	0.000010	LD_0.9_10_1230
BRC20244	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.999910	0.000010	LD_0.9_10_1230
BRC20246	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.999910	0.000010	LD_0.9_10_1230
BRC20257	0.000010	0.000010	0.000010	0.999910	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	LD_0.9_10_1230
BRC20260	0.000010	0.000010	0.000010	0.000010	0.000010	0.999910	0.000010	0.000010	0.000010	0.000010	LD_0.9_10_1230
BRC20270	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.999910	0.000010	0.000010	LD_0.9_10_1230
BRC20272	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.999910	0.000010	0.000010	LD_0.9_10_1230
BRC20289	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.827290	0.172630	0.000010	LD_0.9_10_1230
BRC20290	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.810349	0.189571	0.000010	LD_0.9_10_1230
