AF16	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.999770	0.000010	0.000010	0.000010	0.000010	LD_0.9_24_1230
BRC20069	0.000010	0.000010	0.000010	0.892452	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.107328	0.000010	0.000010	0.000010	0.000010	LD_0.9_24_1230
BRC20073	0.000010	0.000010	0.000010	0.999766	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000012	0.000010	0.000011	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	LD_0.9_24_1230
BRC20075	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.999770	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	LD_0.9_24_1230
BRC20077	0.000010	0.000010	0.000010	0.999762	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000018	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	LD_0.9_24_1230
BRC20081	0.000010	0.000010	0.000010	0.000010	0.392990	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.599587	0.000010	0.000010	0.000010	0.007213	0.000010	0.000010	LD_0.9_24_1230
BRC20085	0.000010	0.000010	0.000010	0.196435	0.000010	0.026736	0.000010	0.000010	0.075959	0.000010	0.000010	0.000010	0.000010	0.033303	0.642719	0.000010	0.000010	0.000010	0.000010	0.024667	0.000010	0.000010	0.000010	0.000010	LD_0.9_24_1230
BRC20088	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.999770	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	LD_0.9_24_1230
BRC20089	0.000010	0.000010	0.000010	0.999766	0.000014	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	LD_0.9_24_1230
BRC20090	0.000010	0.000010	0.000010	0.035458	0.000010	0.000010	0.000010	0.000010	0.006423	0.000010	0.000010	0.000010	0.000010	0.016545	0.091502	0.000010	0.000010	0.000010	0.000010	0.849882	0.000010	0.000010	0.000010	0.000010	LD_0.9_24_1230
