"isotype","PC1","PC2","PC3","PC4","PC5","PC6","lat","long","geo","Cluster"
"ECA2617",0.1522,0.0818,-0.0167,0.0011,-0.005,0,-26.26214444,152.8295528,"Australia","Australia"
"ECA2618",0.1521,0.0817,-0.0168,0.0011,-0.0048,-1e-04,-26.2619772,152.8296094,"Australia","Australia"
"ECA2621",0.1521,0.0818,-0.0169,9e-04,-0.0048,-1e-04,-26.6275648,152.8409822,"Australia","Australia"
"ECA2639",0.1528,0.0823,-0.0167,0.0012,-0.005,0,-26.26204861,152.8294249,"Australia","Australia"
"ECA2647",0.1532,0.085,-0.0176,0.0016,-0.005,0,-21.1683872,148.5075834,"Australia","Australia"
"ECA2666",0.1528,0.0846,-0.0176,0.0016,-0.005,2e-04,-21.16771623,148.504728,"Australia","Australia"
"ECA2670",0.1512,0.0807,-0.0165,0.0011,-0.0046,4e-04,-26.3588565,152.6355008,"Australia","Australia"
"QG2891",0.1497,0.08,-0.0164,0.0012,-0.0048,1e-04,-16.1026,145.4467333,"Australia","Australia"
"QG2893",0.1477,0.0496,-0.0103,-0.0033,-0.0062,0.0035,-16.1026,145.4467333,"Australia","Australia"
"QG2908",0.1467,0.0487,-0.01,-0.0031,-0.0055,0.003,-17.2643833,145.4884833,"Australia","Australia"
"QG2919",0.149,0.0761,-0.0153,6e-04,-0.0048,2e-04,-20.28785,148.7653,"Australia","Australia"
"QG4026",0.1527,0.0821,-0.0165,0.0012,-0.005,0,-26.26193056,152.8296722,"Australia","Australia"
"QG4028",0.152,0.0815,-0.0165,0.0013,-0.005,0,-26.26193056,152.8296722,"Australia","Australia"
"QG4031",0.1528,0.0822,-0.0165,0.0012,-0.005,0,-26.26193056,152.8296722,"Australia","Australia"
"QG4063",0.1525,0.0841,-0.0174,0.0016,-0.0049,0,-21.1461744,148.4998921,"Australia","Australia"
"QG4064",0.1543,0.0865,-0.0179,0.0016,-0.005,0,-21.1453727,148.4997337,"Australia","Australia"
"QG4067",0.1538,0.086,-0.0177,0.0015,-0.005,0,-21.1453727,148.4997337,"Australia","Australia"
"QG4068",0.1538,0.0859,-0.0177,0.0015,-0.005,0,-21.1453727,148.4997337,"Australia","Australia"
"QG4093",0.1463,0.0671,-0.013,6e-04,-0.0047,5e-04,-21.16862222,148.5080167,"Australia","Australia"
"QG4094",0.1519,0.0789,-0.016,0.0014,-0.0052,2e-04,-21.16862222,148.5080167,"Australia","Australia"
"QG4095",0.1535,0.0853,-0.0175,0.0015,-0.0051,1e-04,-21.16862222,148.5080167,"Australia","Australia"
"QG4096",0.1534,0.0855,-0.0177,0.0016,-0.0049,0,-21.16879444,148.506575,"Australia","Australia"
"QG4097",0.1537,0.0858,-0.0178,0.0015,-0.005,3e-04,-21.16879444,148.506575,"Australia","Australia"
"QG4104",0.1546,0.0867,-0.018,0.0016,-0.005,0,-21.14488889,148.498225,"Australia","Australia"
"QG4114",0.1547,0.0872,-0.018,0.0017,-0.0052,0,-21.144475,148.4999222,"Australia","Australia"
"QG4131",0.1536,0.0856,-0.0177,0.0015,-0.0049,3e-04,-21.17034722,148.5080417,"Australia","Australia"
