isotype	PC1	PC2	PC3	PC4	geo	Cluster
AF16	-0.011	0.0057	0.0127	-0.0015	Asia	Global
BRC20069	-0.011	0.0057	0.0127	-0.0015	Taiwan	Global
BRC20073	-0.0111	0.0057	0.0128	-0.0016	Taiwan	Global
BRC20075	-0.0023	-0.0462	-0.1194	0.1111	Taiwan	Taiwan
BRC20077	-0.0111	0.0057	0.0132	-0.0016	Taiwan	Global
BRC20081	-0.0084	4e-04	5e-04	0.0012	Taiwan	Global
BRC20085	-0.0112	0.0058	0.0131	-0.0019	Taiwan	Global
BRC20088	-0.0083	3e-04	1e-04	0.0011	Taiwan	Global
BRC20089	-0.011	0.0058	0.0128	-0.0014	Taiwan	Global
BRC20090	-0.0109	0.0056	0.0127	-0.0016	Taiwan	Global
BRC20092	-0.0112	0.0056	0.0132	-0.0019	Taiwan	Global
BRC20093	-0.0109	0.0056	0.0124	-0.0014	Taiwan	Global
BRC20094	-0.0112	0.0057	0.0134	-0.002	Taiwan	Global
BRC20095	-0.011	0.0057	0.0128	-0.0015	Taiwan	Global
BRC20096	-0.011	0.0057	0.0127	-0.0015	Taiwan	Global
BRC20098	-0.0109	0.0057	0.0125	-0.0014	Taiwan	Global
BRC20099	-0.0109	0.0057	0.0127	-0.0016	Taiwan	Global
BRC20100	-0.0111	0.0057	0.0126	-0.0014	Taiwan	Global
BRC20102	-0.011	0.0057	0.0129	-0.0014	Taiwan	Global
BRC20103	-0.0112	0.0058	0.0129	-0.0014	Taiwan	Global
BRC20105	-0.0113	0.0059	0.0134	-0.002	unknown	Global
BRC20107	-0.0112	0.006	0.0134	-0.002	unknown	Global
BRC20115	-8e-04	-0.0387	-0.0947	-0.0035	Taiwan	Mixed
BRC20119	-0.0115	0.0064	0.0145	-0.0021	Taiwan	Global
BRC20228	-0.011	0.0057	0.0127	-0.0014	Taiwan	Global
BRC20229	-0.0021	-0.0443	-0.1136	0.1053	Taiwan	Taiwan
BRC20230	-0.0085	5e-04	6e-04	8e-04	Taiwan	Global
BRC20232	-0.0021	-0.044	-0.1136	0.1053	Taiwan	Taiwan
BRC20238	-0.0083	5e-04	9e-04	8e-04	Taiwan	Global
BRC20239	-0.0019	-0.0452	-0.1157	0.1066	Taiwan	Taiwan
BRC20241	-0.0111	0.0056	0.0126	-0.0016	Taiwan	Global
BRC20242	-0.0111	0.0057	0.0127	-0.0014	Taiwan	Global
BRC20244	-0.0085	7e-04	7e-04	6e-04	Taiwan	Global
BRC20246	-0.0084	5e-04	7e-04	9e-04	Taiwan	Global
BRC20257	-0.0112	0.0059	0.0145	-0.0024	unknown	Global
BRC20260	-0.011	0.0056	0.0126	-0.0014	Taiwan	Global
BRC20270	-0.0084	3e-04	3e-04	0.0011	Taiwan	Global
BRC20272	-0.0085	5e-04	2e-04	0.0011	Taiwan	Global
BRC20289	-0.0082	1e-04	-4e-04	0.0018	Taiwan	Global
BRC20290	-0.0082	1e-04	-5e-04	0.0019	Taiwan	Global
BRC20294	-0.011	0.0057	0.0127	-0.0014	Taiwan	Global
BRC20308	-0.0085	5e-04	9e-04	9e-04	Taiwan	Global
BRC20309	-0.0085	5e-04	9e-04	9e-04	Taiwan	Global
BRC20311	-0.0083	2e-04	3e-04	0.0012	Taiwan	Global
BRC20312	-0.0085	7e-04	7e-04	9e-04	Taiwan	Global
BRC20315	-0.0085	4e-04	6e-04	9e-04	Taiwan	Global
BRC20320	-0.0085	5e-04	2e-04	8e-04	Taiwan	Global
BRC20324	-0.0057	-0.026	-0.0676	0.0682	Taiwan	Taiwan
BRC20331	-0.0086	5e-04	7e-04	0.0011	Taiwan	Global
BRC20333	-0.0084	3e-04	2e-04	0.0013	Taiwan	Global
BRC20334	-0.0084	3e-04	6e-04	0.0012	Taiwan	Global
BRC20339	-0.0085	5e-04	3e-04	0.0012	Taiwan	Global
BRC20341	-0.0084	6e-04	8e-04	0.0011	Taiwan	Global
BRC20343	-0.0021	-0.0428	-0.1099	0.0991	Taiwan	Taiwan
BRC20346	-0.0083	2e-04	2e-04	0.001	Taiwan	Global
BRC20347	-0.0021	-0.0445	-0.1134	0.1057	Taiwan	Taiwan
BRC20348	-0.0083	1e-04	1e-04	0.0013	Taiwan	Global
BRC20353	-0.0107	0.0049	0.0117	-0.0016	Asia	Global
