strain,isotype,lat,long,strain_geo
NIC1292,NIC1292,3.630410973,-53.20572797,South America
NIC1295,NIC67,3.629464991,-53.20589201,South America
NIC1296,NIC67,3.629718963,-53.20582797,South America
NIC1302,NIC1302,3.616456026,-53.20972002,South America
NIC1303,NIC67,3.629718963,-53.20582797,South America
NIC1304,NIC1304,3.617134038,-53.19634804,South America
NIC1306,JU1814,4.868195029,-52.34792702,South America
NIC1308,NIC1308,4.864420993,-52.34596004,South America
NIC1351,NIC67,4.046939006,-52.67817099,South America
NIC1356,NIC67,4.064954985,-52.68396498,South America
NIC1373,NIC67,4.040937982,-52.67577703,South America
NIC1394,NIC1267,3.622260997,-53.21509198,South America
NIC1407,NIC1407,3.630410973,-53.20572797,South America
NIC1413,NIC1423,3.616456026,-53.20972002,South America
NIC1414,NIC1423,3.646186972,-53.19311899,South America
NIC1416,NIC1423,3.64749698,-53.19818996,South America
NIC1418,NIC1423,3.638836965,-53.203719,South America
NIC1421,NIC1421,4.867854975,-52.34514599,South America
NIC1423,NIC1423,3.644299032,-53.19803297,South America
NIC1424,NIC67,4.096011,-52.68555,South America
NIC1442,NIC1442,4.055087976,-52.67817702,South America
NIC146,NIC174,47.23337,7.62068,Europe
NIC1479,NIC67,4.085771022,-52.67669401,South America
NIC1480,NIC67,4.085771022,-52.67669401,South America
NIC1481,NIC67,4.085771022,-52.67669401,South America
NIC1482,NIC67,4.085771022,-52.67669401,South America
NIC1483,NIC67,4.085771022,-52.67669401,South America
NIC1485,NIC67,4.085771022,-52.67669401,South America
NIC149,NIC174,47.18187,7.49901,Europe
NIC1491,NIC1491,4.087902037,-52.67994803,South America
NIC1668,NIC1667,25.10869,121.83743,Taiwan
NIC1669,NIC1667,25.10869,121.83743,Taiwan
NIC167,NIC174,47.42318,7.85282,Europe
NIC1681,NIC1681,22.08922,120.84876,Taiwan
NIC1688,NIC1688,25.03266,121.587,Taiwan
NIC169,NIC174,47.43716,7.726,Europe
NIC1692,NIC1692,25.03488,121.58864,Taiwan
NIC1693,NIC1693,25.03488,121.58864,Taiwan
NIC17,NIC17,-21.027,55.538,Africa
NIC170,NIC174,47.41107,7.72079,Europe
NIC171,NIC174,47.25432,7.63435,Europe
NIC173,NIC174,47.1575,7.64673,Europe
NIC174,NIC174,47.1575,7.64673,Europe
NIC175,NIC174,47.1575,7.64673,Europe
NIC178,NIC174,47.198078,7.510942,Europe
NIC179,NIC174,47.28555,7.563,Europe
NIC18,NIC67,4.08533,-52.6751,South America
NIC180,NIC174,47.1575,7.64673,Europe
NIC181,NIC174,43.577528,7.095033,Europe
NIC182,NIC174,47.45864,7.82969,Europe
NIC185,NIC174,46.6583,6.69714,Europe
NIC186,NIC174,44.553473,4.410268,Europe
NIC187,NIC187,15.8552,-61.5976,Caribbean
NIC188,NIC188,16.0455,-61.6938,Caribbean
NIC19,NIC19,25.15219,121.54461,Taiwan
NIC191,NIC191,16.0455,-61.6938,Caribbean
NIC20,NIC20,24.47058,120.97781,Taiwan
NIC208,NIC174,45.823,13.843,Europe
NIC209,NIC174,45.823,13.843,Europe
NIC2093,NIC174,47.051412,7.425148,Europe
NIC2096,NIC174,43.709234,7.272098,Europe
NIC2097,NIC174,43.69047456,7.294250405,Europe
NIC2098,NIC174,43.69047456,7.294250405,Europe
NIC21,NIC21,24.47605,120.99481,Taiwan
NIC2103,NIC174,43.95892875,6.914248472,Europe
NIC2112,NIC174,43.95892875,6.914248472,Europe
NIC2182,NIC174,46.99329555,7.485543686,Europe
NIC2184,NIC174,46.99329555,7.485543686,Europe
NIC2189,NIC174,46.9932019,7.485520118,Europe
NIC2190,NIC174,46.99310575,7.485446857,Europe
NIC2191,NIC174,46.99310575,7.485446857,Europe
NIC2192,NIC174,46.99310575,7.485446857,Europe
NIC2193,NIC174,46.99310575,7.485446857,Europe
NIC2194,NIC174,46.99310575,7.485446857,Europe
NIC2195,NIC174,46.97348677,7.579198674,Europe
NIC2196,NIC174,46.97348677,7.579198674,Europe
NIC2197,NIC174,46.97348677,7.579198674,Europe
NIC2198,NIC174,46.97375238,7.579307506,Europe
NIC2199,NIC174,46.97375238,7.579307506,Europe
NIC22,NIC22,24.19177,121.01531,Taiwan
NIC2200,NIC174,47.19587204,7.534911601,Europe
NIC23,NIC67,4.08448,-52.67837,South America
NIC2356,NIC67,4.03881602,-52.67335801,South America
NIC2358,NIC419,4.039690001,-52.67415999,South America
NIC2359,NIC419,4.039690001,-52.67415999,South America
NIC2369,NIC2369,4.037352959,-52.67165498,South America
NIC243,NIC174,47.16743,7.4762,Europe
NIC248,NIC248,15.853547,-61.631073,Caribbean
NIC250,NIC250,16.0207,-61.597,Caribbean
NIC2521,NIC2527,39.476358,-0.386592,Europe
NIC541,NIC541,15.21123,-61.36602,Caribbean
NIC72,NIC67,4.08533,-52.6751,South America
NIC73,NIC67,4.08533,-52.6751,South America
NIC74,NIC67,4.08533,-52.6751,South America
NIC745,NIC583,15.32027,-61.30724,Caribbean
NIC75,NIC67,4.08533,-52.6751,South America
NIC757,NIC583,15.3578,-61.35366,Caribbean
NIC758,NIC758,15.35802,-61.3537,Caribbean
NIC76,NIC67,4.08533,-52.6751,South America
NIC77,NIC67,4.08533,-52.6751,South America
NIC776,NIC593,15.34529,-61.31009,Caribbean
NIC777,NIC777,15.5868,-61.47083,Caribbean
