isotype,lat,long,geo
NIC1292,3.630410973,-53.20572797,South America
NIC1302,3.616456026,-53.20972002,South America
NIC1304,3.617134038,-53.19634804,South America
NIC1308,4.86442099325358,-52.3459600377827,South America
NIC1407,3.630410973,-53.20572797,South America
NIC1421,4.86785497516393,-52.3451459873467,South America
NIC1423,3.644299032,-53.19803297,South America
NIC1442,4.05508797615766,-52.6781770214438,South America
NIC1491,4.08790203742682,-52.6799480337649,South America
NIC1681,22.08922,120.84876,Taiwan
NIC1688,25.03266,121.587,Taiwan
NIC1692,25.03488,121.58864,Taiwan
NIC1693,25.03488,121.58864,Taiwan
NIC17,-21.027,55.538,Africa
NIC174,47.1575,7.64673,cosmopolitan
NIC187,15.8552,-61.5976,Caribbean
NIC188,16.0455,-61.6938,Caribbean
NIC19,25.15219,121.54461,Taiwan
NIC191,16.0455,-61.6938,Caribbean
NIC20,24.47058,120.97781,Taiwan
NIC21,24.47605,120.99481,Taiwan
NIC22,24.19177,121.01531,Taiwan
NIC2369,4.0373529586941,-52.671654978767,South America
NIC248,15.853547,-61.631073,Caribbean
NIC250,16.0207,-61.597,Caribbean
NIC541,15.21123,-61.36602,Caribbean
NIC758,15.35802,-61.3537,Caribbean
NIC777,15.5868,-61.47083,Caribbean
NIC779,23.72791,120.76594,cosmopolitan
NIC790,23.83645,120.7249,Taiwan
NIC791,23.83633,120.72447,Taiwan
NIC792,23.83633,120.72447,Taiwan
NIC793,23.83631,120.72486,Taiwan
NIC795,23.83617,120.72563,Taiwan
NIC796,23.83617,120.72563,Taiwan
NIC802,23.83701,120.72771,cosmopolitan
NIC803,23.81441,120.85687,Taiwan
NIC805,23.81441,120.85687,Taiwan
PB800,39.823748,-84.289418,North America
PB857,39.784,84.0554,cosmopolitan
PE887,57.131806,-2.10514,Europe
QG1005,9.170573,-79.84316,Central America
QG1007,9.164456,-79.844623,Central America
QG2736,9.1598,-79.8399,Central America
QG4233,-21.16862222,148.5080167,Australia
JU1802,-21.12,55.778,Africa
JU1814,4.9459,-52.316883,South America
JU1884,15.7,-88.8,Central America
JU1885,7.2995,80.6437,Asia
JU1907,-17.495,145.612,Australia
