samples	cluster	lat	long	geo	Lineage
QG2683	A	9.153933333	-79.83166667	Central America	Tropical
QG727	A	9.14141	-79.8285	Central America	Tropical
QG739	A	9.15447	-79.82758	Central America	Tropical
QG781	A	9.159031	-79.830326	Central America	Tropical
QG788	A	9.151852	-79.853543	Central America	Tropical
QG802	A	9.158057	-79.834221	Central America	Tropical
QG806	A	9.147185361	-79.8528469	Central America	Tropical
QG807	A	9.147185361	-79.8528469	Central America	Tropical
QG825	A	9.16485	-79.8391	Central America	Tropical
QG828	A	9.15885	-79.83537	Central America	Tropical
QG833	A	9.15388	-79.83167	Central America	Tropical
QG874	A	9.16478	-79.83927	Central America	Tropical
QG878	A	9.15383	-79.82763	Central America	Tropical
QG879	A	9.16152	-79.83633	Central America	Tropical
QG947	A	9.154377	-79.833165	Central America	Tropical
QG948	A	9.145492913	-79.8261379	Central America	Tropical
QG980	A	9.1491	-79.856143	Central America	Tropical
QG986	A	9.147419	-79.85312	Central America	Tropical
QG991	A	9.16163	-79.83895	Central America	Tropical
QG2964	A	9.166166667	-79.84	Central America	Tropical
QG827	A	9.1537	-79.82607	Central America	Tropical
QG1141	A	9.160449	-79.840373	Central America	Tropical
QG733	A	9.152583	-79.852998	Central America	Tropical
QG995	A	9.158893	-79.835315	Central America	Tropical
QG2893	B	-16.1026	145.4467333	Australia	AD
QG2908	B	-17.2643833	145.4884833	Australia	AD
QG4093	B	-21.16862222	148.5080167	Australia	AD
QG4208	B	-21.1695006	148.5079426	Australia	AD
BRC20353	C	14	101	Asia	Tropical
BRC20360	C	14	101	Asia	Tropical
BRC20361	C	14	101	Asia	Tropical
BRC20362	C	14	101	Asia	Tropical
EG5612	C	-23.18	-44.19	South America	Tropical
JU1338	C	8.509	76.956	Asia	Tropical
JU1346	C	9.55	76.8	Asia	Tropical
JU1424	C	22.4	105.6	Asia	Tropical
JU4051	C	22.3228	103.8841	Asia	Tropical
JU4084	C	12.1639	108.6667	Asia	Tropical
JU4097	C	12.15426	108.65825	Asia	Tropical
NIC1123	C	-12.87435802	-69.49724601	South America	Tropical
NIC419	C	4.03617	-52.67805	South America	Tropical
NIC67	C	4.08533	-52.6751	South America	Tropical
VSL2213	C	12.383	75.903	Asia	Tropical
VSL2216	C	NA	NA	Asia	Tropical
JU2849	C	-20.382477	-43.505978	South America	Tropical
JU4060	C	22.2901	103.9332	Asia	Tropical
JU4064	C	22.2883	103.9369	Asia	Tropical
NIC2369	C	4.0373529586941	-52.671654978767	South America	Tropical
XZ1206	C	-23.852	-46.4172	South America	Tropical
XZ1205	C	-23.852	-46.4172	South America	Tropical
JU4062	C	22.2898	103.9338	Asia	Tropical
BRC20092	D	25.016437	121.540237	Taiwan	Tropical
BRC20094	D	25.015958	121.541761	Taiwan	Tropical
BRC20105	D	26.478	127.836	Pacific	Tropical
BRC20107	D	26.478	127.836	Pacific	Tropical
QG550	D	26.4758	127.834	Pacific	Tropical
BRC20085	D	24.794443	121.364029	Taiwan	Tropical
ECA2623	E	12.17453	-61.62731	Caribbean	Tropical
ECA4390	E	16.1761	-61.6951	Caribbean	Tropical
NIC115	E	16.0207	-61.597	Caribbean	Tropical
NIC117	E	16.1779	-61.6563	Caribbean	Tropical
NIC119	E	16.1779	-61.6563	Caribbean	Tropical
NIC123	E	16.1779	-61.6563	Caribbean	Tropical
NIC248	E	15.853547	-61.631073	Caribbean	Tropical
NIC250	E	16.0207	-61.597	Caribbean	Tropical
NIC532	E	16.018756	-61.593654	Caribbean	Tropical
NIC549	E	15.56923	-61.3744	Caribbean	Tropical
NIC574	E	15.47461	-61.29876	Caribbean	Tropical
NIC593	E	15.4071	-61.3453	Caribbean	Tropical
QG3825	E	10.43026	-84.00905	Central America	Tropical
QG3837	E	10.42540556	-84.00121667	Central America	Tropical
NIC191	E	16.0455	-61.6938	Caribbean	Tropical
HPT11	F	-7.8	112.516	Pacific	ID
HPT18	F	-7.8234117	112.5873372	Pacific	ID
HPT24	F	-8.531795	116.239193	Pacific	ID
