strain1,strain2,geo_distance,isotype
NIC398,JU2780,17558.5051852396,NIC174
JU2506,JU1914,16597.7757239977,JU2506
JU2517,JU1914,16597.7757239977,JU2506
JU2569,JU1914,16564.1022577425,JU2506
JU2780,JU516,15790.6875636522,NIC174
JU794,JU2780,15789.4376358045,NIC174
JU795,JU2780,15789.4376358045,NIC174
JU796,JU2780,15789.4376358045,NIC174
JU797,JU2780,15789.4376358045,NIC174
JU2893,JU2780,15730.3868960439,NIC174
JU2894,JU2780,15729.8449689783,NIC174
NIC1047,JU2780,15674.9643785677,NIC174
NIC1048,JU2780,15674.9643785677,NIC174
JU2786,JU2780,15644.4451568905,NIC174
JU2792,JU2780,15644.4451568905,NIC174
JU2780,QG106,15548.8211430523,NIC174
JU2780,QG107,15548.8211430523,NIC174
JU2780,QG108,15548.8211430523,NIC174
JU2780,QG109,15548.8211430523,NIC174
JU2780,QG110,15548.8211430523,NIC174
QG111,JU2780,15548.8211430523,NIC174
QG112,JU2780,15548.8211430523,NIC174
QG113,JU2780,15548.8211430523,NIC174
QG114,JU2780,15548.8211430523,NIC174
QG115,JU2780,15548.8211430523,NIC174
QG116,JU2780,15548.8211430523,NIC174
QG117,JU2780,15548.8211430523,NIC174
QG118,JU2780,15548.8211430523,NIC174
QG119,JU2780,15548.8211430523,NIC174
QG120,JU2780,15548.8211430523,NIC174
QG121,JU2780,15548.8211430523,NIC174
JU2780,JU2143,15533.7081892187,NIC174
JU2780,JU2142,15533.5339218653,NIC174
JU2780,JU2144,15532.8985939958,NIC174
JU2780,JU1038,15532.8985939958,NIC174
JU2780,JU1041,15532.8985939958,NIC174
JU2780,JU1042,15532.8985939958,NIC174
JU2780,JU1043,15532.8985939958,NIC174
JU2780,JU1044,15532.8985939958,NIC174
JU2780,JU1045,15532.8985939958,NIC174
JU2780,JU1046,15532.8985939958,NIC174
JU2780,JU1047,15532.8985939958,NIC174
JU2780,JU1048,15532.8985939958,NIC174
JU2780,JU1049,15532.8985939958,NIC174
