samples	cluster	lat	long	geo	Lineage
EG6260	A	18.11	-66.16	Caribbean	Tropical
NIC119	A	16.1779	-61.6563	Caribbean	Tropical
NIC187	A	15.8552	-61.5976	Caribbean	Tropical
NIC248	A	15.853547	-61.631073	Caribbean	Tropical
NIC549	A	15.56923	-61.3744	Caribbean	Tropical
NIC574	A	15.47461	-61.29876	Caribbean	Tropical
NIC593	A	15.4071	-61.3453	Caribbean	Tropical
QG3825	A	10.43026	-84.00905	Central America	Tropical
QG3837	A	10.42540556	-84.00121667	Central America	Tropical
QG3875	A	10.44027	-84.01227	Central America	Tropical
QG3878	A	10.25937	-84.00514	Central America	Tropical
QX1410	A	13.821844	-61.049778	Caribbean	Tropical
ECA2664	A	12.17453	-61.62731	Caribbean	Tropical
ECA4390	A	16.1761	-61.6951	Caribbean	Tropical
NIC115	A	16.0207	-61.597	Caribbean	Tropical
NIC123	A	16.1779	-61.6563	Caribbean	Tropical
NIC250	A	16.0207	-61.597	Caribbean	Tropical
NIC532	A	16.018756	-61.593654	Caribbean	Tropical
QG3815	A	10.42361667	-84.00118611	Central America	Tropical
NIC191	A	16.0455	-61.6938	Caribbean	Tropical
NIC117	A	16.1779	-61.6563	Caribbean	Tropical
NIC578	A	15.40502	-61.34623	Caribbean	Tropical
ECA2623	A	12.17453	-61.62731	Caribbean	Tropical
QG3861	A	10.42972	-84.00742	Central America	Tropical
HPT4	B	-7.801594	112.517286	Pacific	Tropical
HPT42	B	-5.252889	119.865139	Pacific	Tropical
HPT7	B	-7.804727	112.51613	Pacific	Tropical
HPT34	B	-5.256105	119.863864	Pacific	Tropical
HPT16	B	-7.822561	112.5870957	Pacific	Tropical
HPT2	B	-7.800708	112.515721	Pacific	Tropical
HPT8	B	-7.80504	112.51691	Pacific	Tropical
BRC20232	C	23.60247	120.8838617	Taiwan	TD1
BRC20239	C	23.60095833	120.8821883	Taiwan	TD1
BRC20343	C	24	121	Taiwan	TD1
BRC20347	C	25.121206	121.593578	Taiwan	TD1
BRC20524	C	25.1839015	121.5206295	Taiwan	TD1
BRC20530	C	23.33725	120.712389	Taiwan	TD1
BRC20531	C	23.792667	120.798083	Taiwan	TD1
NIC1540	C	25.05792	121.77076	Taiwan	TD1
NIC1664	C	23.66109	120.7967	Taiwan	TD1
NIC1665	C	23.66654	120.79295	Taiwan	TD1
NIC20	C	24.47058	120.97781	Taiwan	TD1
NIC21	C	24.47605	120.99481	Taiwan	TD1
NIC22	C	24.19177	121.01531	Taiwan	TD1
NIC825	C	23.60246	120.88278	Taiwan	TD1
NIC827	C	23.60233	120.88182	Taiwan	TD1
NIC828	C	23.60197	120.88157	Taiwan	TD1
TWN1899	C	25.16666667	121.5166667	Taiwan	TD1
BRC20229	C	23.572084	120.900213	Taiwan	TD1
NIC19	C	25.15219	121.54461	Taiwan	TD1
BRC20522	C	25.1839015	121.5206295	Taiwan	TD1
TWN1824	C	24.69027778	121.4055556	Taiwan	TD1
NIC1593	C	24.68622	121.13734	Taiwan	TD1
NIC1589	C	24.68622	121.13734	Taiwan	TD1
NIC1591	C	24.68622	121.13734	Taiwan	TD1
BRC20075	C	24.790015	121.374604	Taiwan	TD1
NIC816	C	23.81417	120.856	Taiwan	TD1
BRC20115	D	24.114	120.8694	Taiwan	TD2
BRC20492	D	21.958635	120.811847	Taiwan	TD2
BRC20519	D	21.958778	120.811764	Taiwan	TD2
BRC20520	D	21.958778	120.811764	Taiwan	TD2
BRC20541	D	22.924056	120.543	Taiwan	TD2
NIC1607	D	22.0861	120.84222	Taiwan	TD2
NIC819	D	23.81418	120.85581	Taiwan	TD2
BRC20270	E	25.0998	121.839	Taiwan	TH
BRC20272	E	25.0998	121.839	Taiwan	TH
BRC20309	E	24.70210833	121.73775	Taiwan	TH
BRC20311	E	24.70210833	121.73775	Taiwan	TH
BRC20312	E	24.70210833	121.73775	Taiwan	TH
BRC20315	E	24.70210833	121.73775	Taiwan	TH
BRC20331	E	25.01947778	121.9432	Taiwan	TH
BRC20334	E	24.70731	121.738054	Taiwan	TH
BRC20366	E	25.11698	121.733184	Taiwan	TH
BRC20535	E	24.182667	121.626472	Taiwan	TH
BRC20536	E	24.182667	121.626472	Taiwan	TH
ECA2299	E	20.949184	-156.53637	Hawaii	TH
NIC1602	E	24.68897	121.13965	Taiwan	TH
NIC518	E	25.00739	121.900472	Taiwan	TH
TWN2919	E	24.17394444	121.6172222	Taiwan	TH
NIC1630	E	25.02782	121.57627	Taiwan	TH
TWN1907	E	24.85	121.55	Taiwan	TH
BRC20308	E	24.70210833	121.73775	Taiwan	TH
BRC20370	E	24.77555556	121.5802778	Taiwan	TH
NIC1667	E	25.10869	121.83743	Taiwan	TH
BRC20339	E	24.951309	121.630089	Taiwan	TH
BRC20320	E	24.84201944	121.9516639	Taiwan	TH
NIC1539	E	25.06052	121.76957	Taiwan	TH
NIC1124	F	-12.874341	-69.497087	South America	Tropical
NIC1442	F	4.05508797615766	-52.6781770214438	South America	Tropical
NIC1491	F	4.08790203742682	-52.6799480337649	South America	Tropical
NIC96	F	4.08747	-52.67394	South America	Tropical
NIC1135	F	-12.87313996	-69.49687704	South America	Tropical
NIC1138	F	-12.872112	-69.49822702	South America	Tropical
NIC1190	F	-12.88059298	-69.48706903	South America	Tropical
NIC1407	F	3.630410973	-53.20572797	South America	Tropical
