samples	cluster	lat	long	geo	Lineage
BRC20502	A	22.020651	121.572794	Taiwan	TD3
BRC20503	A	22.020651	121.572794	Taiwan	TD3
NIC893	A	22.00932	121.57214	Taiwan	TD3
NIC1141	B	-12.872155	-69.49781103	South America	Tropical
NIC1183	B	-12.88450004	-69.48577797	South America	Tropical
QG3815	B	10.42361667	-84.00118611	Central America	Tropical
QG3816	B	10.43803	-84.0112	Central America	Tropical
QG3825	B	10.43026	-84.00905	Central America	Tropical
QG3837	B	10.42540556	-84.00121667	Central America	Tropical
QG3876	B	10.44027	-84.01227	Central America	Tropical
QG3878	B	10.25937	-84.00514	Central America	Tropical
JU2518	B	48.7015	2.1725	Europe	Tropical
QG3861	B	10.42972	-84.00742	Central America	Tropical
QG3851	B	10.41900556	-84.00699722	Central America	Tropical
NIC1124	B	-12.874341	-69.497087	South America	Tropical
ECA4382	C	-21.0469	55.6878	Africa	Tropical
JU1377	C	-21.0476	55.6905	Africa	Tropical
JU1378	C	-21.0478	55.6878	Africa	Tropical
JU1435	C	-21.05	55.27	Africa	Tropical
NIC117	C	16.1779	-61.6563	Caribbean	Tropical
NIC1528	C	-16.755721	49.99665	Africa	Tropical
NIC1529	C	-16.755873	49.996516	Africa	Tropical
NIC250	C	16.0207	-61.597	Caribbean	Tropical
NIC593	C	15.4071	-61.3453	Caribbean	Tropical
VSL2210	C	12.36923	75.90115	Asia	Tropical
VSL2212	C	12.3829	75.9013	Asia	Tropical
XZ1732	C	-23.5707	-46.64471	South America	Tropical
JU1392	C	-22.916	-43.173	South America	Tropical
NIC532	C	16.018756	-61.593654	Caribbean	Tropical
JU1799	C	-21.12	55.778	Africa	Tropical
NIC191	C	16.0455	-61.6938	Caribbean	Tropical
JU1347	C	9.6	77.13	Asia	Tropical
BRC20238	D	23.814211	120.856072	Taiwan	TH
BRC20311	D	24.70210833	121.73775	Taiwan	TH
BRC20320	D	24.84201944	121.9516639	Taiwan	TH
BRC20390	D	25.027105	121.576542	Taiwan	TH
BRC20533	D	24.182667	121.626472	Taiwan	TH
BRC20535	D	24.182667	121.626472	Taiwan	TH
BRC20543	D	23.792667	120.798083	Taiwan	TH
BRC20544	D	24.182667	121.626472	Taiwan	TH
ECA1383	D	20.040312	-155.442105	Hawaii	TH
ECA2936	D	22.0644490999379	-159.348913899999	Hawaii	TH
ECA3502	D	22.0756	-159.414057	Hawaii	TH
EG6265	D	18.11	-66.16	Caribbean	TH
NIC1220	D	25.95224	119.9771	Asia	TH
NIC1631	D	25.02782	121.57627	Taiwan	TH
NIC1667	D	25.10869	121.83743	Taiwan	TH
NIC805	D	23.81441	120.85687	Taiwan	TH
NIC864	D	23.72733	120.76653	Taiwan	TH
QX1798	D	20.8742	-156.1856	Hawaii	TH
TWN2919	D	24.17394444	121.6172222	Taiwan	TH
UH1	D	19.6	-155.05	Hawaii	TH
NIC519	D	25.00739	121.900472	Taiwan	TH
BRC20308	D	24.70210833	121.73775	Taiwan	TH
BRC20366	D	25.11698	121.733184	Taiwan	TH
BRC20370	D	24.77555556	121.5802778	Taiwan	TH
NIC815	D	23.81407	120.8564	Taiwan	TH
TWN1907	D	24.85	121.55	Taiwan	TH
BRC20309	D	24.70210833	121.73775	Taiwan	TH
BRC20312	D	24.70210833	121.73775	Taiwan	TH
NIC889	D	23.81433	120.85649	Taiwan	TH
BRC20536	D	24.182667	121.626472	Taiwan	TH
NIC1595	D	24.6871	121.13633	Taiwan	TH
BRC20246	D	23.600568	120.883395	Taiwan	TH
BRC20331	D	25.01947778	121.9432	Taiwan	TH
BRC20315	D	24.70210833	121.73775	Taiwan	TH
ECA2385	D	19.120342	-155.8204	Hawaii	TH
NIC518	D	25.00739	121.900472	Taiwan	TH
NIC824	D	23.60248	120.88317	Taiwan	TH
BRC20334	D	24.70731	121.738054	Taiwan	TH
NIC1539	D	25.06052	121.76957	Taiwan	TH
QG1141	E	9.160449	-79.840373	Central America	Tropical
QG2683	E	9.153933333	-79.83166667	Central America	Tropical
QG2964	E	9.166166667	-79.84	Central America	Tropical
QG733	E	9.152583	-79.852998	Central America	Tropical
QG739	E	9.15447	-79.82758	Central America	Tropical
QG781	E	9.159031	-79.830326	Central America	Tropical
QG788	E	9.151852	-79.853543	Central America	Tropical
QG802	E	9.158057	-79.834221	Central America	Tropical
QG806	E	9.147185361	-79.8528469	Central America	Tropical
QG807	E	9.147185361	-79.8528469	Central America	Tropical
QG825	E	9.16485	-79.8391	Central America	Tropical
QG827	E	9.1537	-79.82607	Central America	Tropical
QG828	E	9.15885	-79.83537	Central America	Tropical
QG833	E	9.15388	-79.83167	Central America	Tropical
QG874	E	9.16478	-79.83927	Central America	Tropical
QG878	E	9.15383	-79.82763	Central America	Tropical
QG879	E	9.16152	-79.83633	Central America	Tropical
QG947	E	9.154377	-79.833165	Central America	Tropical
QG948	E	9.145492913	-79.8261379	Central America	Tropical
QG980	E	9.1491	-79.856143	Central America	Tropical
QG986	E	9.147419	-79.85312	Central America	Tropical
QG991	E	9.16163	-79.83895	Central America	Tropical
QG995	E	9.158893	-79.835315	Central America	Tropical
QG727	E	9.14141	-79.8285	Central America	Tropical
BRC20353	F	14	101	Asia	Tropical
BRC20360	F	14	101	Asia	Tropical
BRC20361	F	14	101	Asia	Tropical
BRC20362	F	14	101	Asia	Tropical
EG5612	F	-23.18	-44.19	South America	Tropical
JU1338	F	8.509	76.956	Asia	Tropical
JU1346	F	9.55	76.8	Asia	Tropical
JU1424	F	22.4	105.6	Asia	Tropical
JU2849	F	-20.382477	-43.505978	South America	Tropical
JU4051	F	22.3228	103.8841	Asia	Tropical
JU4058	F	22.301	103.9218	Asia	Tropical
JU4060	F	22.2901	103.9332	Asia	Tropical
JU4062	F	22.2898	103.9338	Asia	Tropical
JU4064	F	22.2883	103.9369	Asia	Tropical
JU4084	F	12.1639	108.6667	Asia	Tropical
JU4097	F	12.15426	108.65825	Asia	Tropical
NIC1123	F	-12.87435802	-69.49724601	South America	Tropical
NIC2369	F	4.0373529586941	-52.671654978767	South America	Tropical
NIC419	F	4.03617	-52.67805	South America	Tropical
NIC67	F	4.08533	-52.6751	South America	Tropical
VSL2213	F	12.383	75.903	Asia	Tropical
VSL2216	F	NA	NA	Asia	Tropical
XZ1205	F	-23.852	-46.4172	South America	Tropical
XZ1206	F	-23.852	-46.4172	South America	Tropical
ECA163	G	42.361025	-88.427841	North America	NWD
ECA276	G	42.496411	-88.240099	North America	NWD
JU3168	G	0.289	6.612	Africa	NWD
ED3102	G	-1.316667	36.8	Africa	NWD
BRC20260	H	23.600208	120.883767	Taiwan	Tropical
BRC20369	H	23.7132	120.7855556	Taiwan	Tropical
BRC20401	H	25.017012	121.557477	Taiwan	Tropical
BRC20556	H	24.822538	121.73566	Taiwan	Tropical
HPT16	H	-7.822561	112.5870957	Pacific	Tropical
HPT2	H	-7.800708	112.515721	Pacific	Tropical
HPT34	H	-5.256105	119.863864	Pacific	Tropical
HPT4	H	-7.801594	112.517286	Pacific	Tropical
HPT42	H	-5.252889	119.865139	Pacific	Tropical
HPT8	H	-7.80504	112.51691	Pacific	Tropical
JU3321	H	31.15	121.44305	Asia	Tropical
NIC1628	H	25.02113	121.58315	Taiwan	Tropical
NIC790	H	23.83645	120.7249	Taiwan	Tropical
