Gene set	CB Background	Quartet ID	Number of alignments	Percent missing data	Supermatrix length
ALL	JU3200	quartet_01	5672	3.1	2308260
ALL	JU3200	quartet_02	5809	3.1	2356712
ALL	JU3200	quartet_03	5882	3.2	2410355
ALL	JU3200	quartet_04	5865	3.1	2388985
ALL	JU3200	quartet_05	5836	3.1	2378867
ALL	JU3200	quartet_06	5849	3.1	2395321
ALL	JU3200	quartet_07	5803	3.1	2367791
ALL	JU3200	quartet_08	5926	3.1	2419596
ALL	JU3200	quartet_09	5897	3.1	2424890
ALL	JU3200	quartet_10	5642	3.1	2276482
ALL	JU3200	quartet_11	5787	3.1	2362852
ALL	JU3200	quartet_12	5754	3.0	2353463
ALL	JU3200	quartet_13	5819	3.0	2376330
ALL	JU3200	quartet_14	5775	3.1	2363420
ALL	JU3200	quartet_15	5954	3.1	2436866
ALL	JU3200	quartet_16	5865	3.1	2408027
ALL	JU3237	quartet_01	5977	3.2	2705179
ALL	JU3237	quartet_02	6121	3.2	2760291
ALL	JU3237	quartet_03	6172	3.3	2797761
ALL	JU3237	quartet_04	6151	3.2	2771852
ALL	JU3237	quartet_05	6107	3.2	2751699
ALL	JU3237	quartet_06	6134	3.2	2782800
ALL	JU3237	quartet_07	6107	3.2	2754460
ALL	JU3237	quartet_08	6244	3.2	2818109
ALL	JU3237	quartet_09	6232	3.3	2838406
ALL	JU3237	quartet_10	5957	3.2	2686717
ALL	JU3237	quartet_11	6095	3.2	2755060
ALL	JU3237	quartet_12	6073	3.2	2750345
ALL	JU3237	quartet_13	6119	3.2	2768953
ALL	JU3237	quartet_14	6075	3.2	2754762
ALL	JU3237	quartet_15	6227	3.3	2820041
ALL	JU3237	quartet_16	6166	3.3	2794988
ALL	QG4232	quartet_01	5621	3.1	2276547
ALL	QG4232	quartet_02	5742	3.1	2319769
ALL	QG4232	quartet_03	5799	3.2	2368029
ALL	QG4232	quartet_04	5797	3.1	2354130
ALL	QG4232	quartet_05	5768	3.1	2344563
ALL	QG4232	quartet_06	5796	3.1	2371708
ALL	QG4232	quartet_07	5733	3.1	2333367
ALL	QG4232	quartet_08	5840	3.1	2372153
ALL	QG4232	quartet_09	5850	3.2	2396430
ALL	QG4232	quartet_10	5600	3.1	2245548
ALL	QG4232	quartet_11	5742	3.1	2335352
ALL	QG4232	quartet_12	5701	3.1	2315774
ALL	QG4232	quartet_13	5746	3.1	2336268
ALL	QG4232	quartet_14	5691	3.1	2318372
ALL	QG4232	quartet_15	5875	3.1	2395224
ALL	QG4232	quartet_16	5807	3.2	2372952
HDRs	JU3200	quartet_01	366	3.5	163784
HDRs	JU3200	quartet_02	359	3.3	161426
HDRs	JU3200	quartet_03	368	3.6	166128
HDRs	JU3200	quartet_04	365	3.6	162294
HDRs	JU3200	quartet_05	363	3.5	163381
HDRs	JU3200	quartet_06	363	3.5	163768
HDRs	JU3200	quartet_07	364	3.5	164397
HDRs	JU3200	quartet_08	360	3.5	160313
HDRs	JU3200	quartet_09	367	3.7	164810
HDRs	JU3200	quartet_10	358	3.4	159986
HDRs	JU3200	quartet_11	356	3.8	160606
HDRs	JU3200	quartet_12	360	3.4	163777
HDRs	JU3200	quartet_13	369	3.5	165731
HDRs	JU3200	quartet_14	364	3.6	164432
HDRs	JU3200	quartet_15	366	3.4	164266
HDRs	JU3200	quartet_16	354	3.5	159498
HDRs	JU3237	quartet_01	321	3.5	137109
HDRs	JU3237	quartet_02	333	3.7	144958
HDRs	JU3237	quartet_03	336	3.7	147377
HDRs	JU3237	quartet_04	333	3.6	142258
HDRs	JU3237	quartet_05	333	3.5	142352
HDRs	JU3237	quartet_06	342	3.7	147294
HDRs	JU3237	quartet_07	335	3.6	143915
HDRs	JU3237	quartet_08	338	3.4	146200
HDRs	JU3237	quartet_09	334	3.7	149325
HDRs	JU3237	quartet_10	336	3.5	147410
HDRs	JU3237	quartet_11	328	3.6	142463
HDRs	JU3237	quartet_12	326	3.5	143127
HDRs	JU3237	quartet_13	344	3.5	148732
HDRs	JU3237	quartet_14	343	3.7	147693
HDRs	JU3237	quartet_15	335	3.6	147077
HDRs	JU3237	quartet_16	328	3.4	141575
HDRs	QG4232	quartet_01	372	4.0	162976
HDRs	QG4232	quartet_02	382	3.9	167012
HDRs	QG4232	quartet_03	387	3.8	168614
HDRs	QG4232	quartet_04	388	4.0	169210
HDRs	QG4232	quartet_05	382	4.0	166492
HDRs	QG4232	quartet_06	385	4.1	168247
HDRs	QG4232	quartet_07	380	4.0	168016
HDRs	QG4232	quartet_08	390	3.9	167515
HDRs	QG4232	quartet_09	398	4.0	175737
HDRs	QG4232	quartet_10	387	4.0	167048
HDRs	QG4232	quartet_11	380	4.0	167565
HDRs	QG4232	quartet_12	384	4.1	164949
HDRs	QG4232	quartet_13	379	3.9	163955
HDRs	QG4232	quartet_14	375	3.8	161945
HDRs	QG4232	quartet_15	395	3.7	170443
HDRs	QG4232	quartet_16	378	3.8	162021
