N	eigenvalue	difference	twstat	p-value	effect.n
111	1.294103	-0.009147	2.704	0.00299313	816.315
112	1.290239	-0.003864	3.134	0.00131351	818.668
113	1.287041	-0.003198	3.641	0.000472091	821.120
114	1.285093	-0.001948	4.283	0.000118447	823.688
115	1.259503	-0.025590	2.563	0.00387781	826.403
116	1.243935	-0.015568	1.794	0.0146307	828.792
117	1.239875	-0.004059	2.167	0.00782506	831.045
118	1.220027	-0.019848	0.927	0.0537746	833.387
119	1.217265	-0.002762	1.407	0.026854	835.499
120	1.211859	-0.005406	1.623	0.0192335	837.719
121	1.207527	-0.004332	1.953	0.0112538	839.996
122	1.191527	-0.016000	1.059	0.0447118	842.354
123	1.182754	-0.008773	0.898	0.0559586	844.549
124	1.182089	-0.000666	1.592	0.0201747	846.725
125	1.162250	-0.019839	0.243	0.12801	849.054
126	1.156286	-0.005963	0.347	0.113261	851.129
127	1.139873	-0.016413	-0.688	0.325601	853.236
128	1.138399	-0.001474	-0.123	0.191473	855.152
129	1.122806	-0.015592	-1.101	0.447311	857.191
130	1.121578	-0.001229	-0.521	0.281628	859.049
131	1.114214	-0.007363	-0.612	0.305119	861.034
132	1.097843	-0.016371	-1.720	0.642952	863.012
133	1.088067	-0.009776	-2.122	0.759187	864.782
134	1.070233	-0.017834	-3.455	0.97144	866.484
135	1.063578	-0.006655	-3.554	0.977047	867.935
136	1.058287	-0.005291	-3.502	0.974237	869.376
137	1.032933	-0.025354	-5.768	0.999991	870.835
138	1.029420	-0.003513	-5.566	0.999976	871.870
139	1.020228	-0.009192	-6.023	0.999998	872.949
140	1.013060	-0.007168	-6.258	0.999999	873.948
141	1.007277	-0.005783	-6.338	1	874.908
142	1.003455	-0.003823	-6.192	0.999999	875.859
143	0.995713	-0.007742	-6.511	1	876.842
144	0.986408	-0.009305	-7.027	1	877.771
145	0.986160	-0.000248	-6.473	1	878.608
146	0.975365	-0.010795	-7.179	1	879.554
147	0.970078	-0.005287	-7.238	1	880.372
148	0.962097	-0.007981	-7.629	1	881.183
149	0.952819	-0.009279	-8.191	1	881.926
150	0.947025	-0.005793	-8.342	1	882.568
151	0.944628	-0.002398	-8.080	1	883.185
152	0.936092	-0.008536	-8.574	1	883.854
153	0.935764	-0.000328	-8.062	1	884.435
154	0.931791	-0.003973	-7.994	1	885.115
155	0.920135	-0.011656	-8.893	1	885.811
156	0.916860	-0.003276	-8.759	1	886.343
157	0.913193	-0.003666	-8.673	1	886.902
158	0.909370	-0.003824	-8.608	1	887.480
159	0.902822	-0.006548	-8.891	1	888.074
160	0.895103	-0.007719	-9.334	1	888.618
161	0.891136	-0.003967	-9.306	1	889.081
162	0.889820	-0.001317	-8.937	1	889.552
163	0.889025	-0.000795	-8.493	1	890.096
164	0.881188	-0.007837	-8.960	1	890.727
