N	eigenvalue	difference	twstat	p-value	effect.n
1	54.969226	NA	165.889	0	74.096
2	34.120266	-20.848960	230.047	0	148.238
3	17.413862	-16.706404	209.772	0	282.083
4	12.622239	-4.791623	188.123	0	370.445
5	8.638380	-3.983859	131.035	0	443.379
6	7.183350	-1.455029	107.168	2.47033e-323	483.089
7	7.153343	-0.030007	118.354	0	512.810
8	6.350145	-0.803199	105.414	1.93151e-315	548.698
9	4.688436	-1.661708	56.772	7.26876e-126	579.652
10	4.535941	-0.152495	55.135	1.52132e-120	593.070
11	4.259946	-0.275995	48.481	9.83808e-100	606.225
12	4.168361	-0.091585	48.146	1.01151e-98	617.646
13	4.130150	-0.038212	49.803	9.2396e-104	629.146
14	4.103626	-0.026523	52.011	1.31034e-110	641.306
15	4.039521	-0.064105	52.785	4.83395e-113	654.324
16	3.975397	-0.064124	53.532	2.07177e-115	667.794
17	3.943861	-0.031536	55.678	2.66633e-122	681.721
18	3.772680	-0.171181	51.666	1.58101e-109	696.577
19	3.519578	-0.253102	43.345	1.31066e-84	710.375
20	3.412044	-0.107534	40.998	5.51128e-78	721.808
21	3.386110	-0.025934	42.295	1.26679e-81	732.707
22	3.342808	-0.043302	42.795	4.85189e-83	744.142
23	3.317930	-0.024877	44.193	4.77011e-87	755.890
24	3.308786	-0.009144	46.448	1.20704e-93	768.240
25	3.158135	-0.150651	41.498	2.21898e-79	781.491
26	3.131400	-0.026735	42.607	1.66252e-82	793.355
27	3.077375	-0.054026	42.280	1.39527e-81	805.736
28	3.015263	-0.062112	41.425	3.55093e-79	818.186
29	2.904386	-0.110877	37.718	4.85223e-69	830.534
30	2.795265	-0.109120	33.775	8.63071e-59	841.870
31	2.665878	-0.129387	28.339	1.28321e-45	852.133
32	2.661367	-0.004511	29.828	4.11517e-49	860.911
33	2.627198	-0.034169	29.623	1.26418e-48	870.221
34	2.611313	-0.015885	30.476	1.16712e-50	879.577
35	2.598808	-0.012505	31.561	2.74901e-53	889.296
36	2.563818	-0.034990	31.292	1.24496e-52	899.462
37	2.485667	-0.078150	28.260	1.95427e-45	909.664
38	2.457168	-0.028499	28.175	3.06585e-45	919.052
39	2.427637	-0.029531	27.993	8.07627e-45	928.518
40	2.354273	-0.073364	24.903	6.58464e-38	938.035
41	2.345037	-0.009236	25.864	5.16619e-40	946.717
42	2.303741	-0.041296	24.704	1.77744e-37	955.781
43	2.282313	-0.021428	24.808	1.05863e-37	964.589
44	2.177139	-0.105173	19.135	3.93414e-26	973.522
45	2.106803	-0.070336	15.573	1.14378e-19	980.856
46	2.090928	-0.015875	15.656	8.23678e-20	987.250
47	2.080214	-0.010714	16.096	1.41488e-20	993.723
48	2.070013	-0.010200	16.581	1.97777e-21	1000.378
49	2.021690	-0.048323	14.318	1.4917e-17	1007.230
50	1.984995	-0.036695	12.791	4.23593e-15	1013.501
51	1.952204	-0.032791	11.476	4.24773e-13	1019.400
52	1.931361	-0.020844	10.985	2.2307e-12	1024.986
53	1.923783	-0.007577	11.458	4.51977e-13	1030.482
54	1.905684	-0.018100	11.146	1.29769e-12	1036.153
55	1.883260	-0.022423	10.483	1.16607e-11	1041.784
56	1.836189	-0.047071	7.890	1.12869e-08	1047.277
57	1.817382	-0.018807	7.380	4.75813e-08	1052.105
58	1.810667	-0.006715	7.787	1.4566e-08	1056.833
59	1.802805	-0.007862	8.112	1.71122e-08	1061.706
60	1.793588	-0.009217	8.334	8.98714e-09	1066.704
61	1.782739	-0.010849	8.427	6.85116e-09	1071.801
62	1.765275	-0.017464	7.983	8.43208e-09	1076.963
63	1.761773	-0.003501	8.648	3.56565e-09	1082.041
64	1.723768	-0.038006	6.509	5.14886e-07	1087.345
65	1.722249	-0.001519	7.290	6.07001e-08	1092.091
