N	eigenvalue	difference	twstat	p-value	effect.n
323	0.369144	-0.002740	-13.422	1	627.962
324	0.368262	-0.000882	-13.163	1	621.067
325	0.365821	-0.002442	-13.126	1	614.333
326	0.364195	-0.001626	-12.969	1	607.554
327	0.360897	-0.003298	-13.053	1	600.842
328	0.358444	-0.002453	-13.017	1	593.968
329	0.354339	-0.004105	-13.221	1	587.048
330	0.352853	-0.001486	-13.052	1	579.855
331	0.350122	-0.002731	-13.058	1	572.740
332	0.350021	-0.000100	-12.685	1	565.538
333	0.349075	-0.000947	-12.424	1	558.607
334	0.346323	-0.002752	-12.415	1	551.845
335	0.343686	-0.002637	-12.391	1	545.004
336	0.341990	-0.001697	-12.232	1	538.101
337	0.340904	-0.001085	-11.982	1	531.267
338	0.339967	-0.000937	-11.702	1	524.596
339	0.336989	-0.002978	-11.706	1	518.118
340	0.334831	-0.002158	-11.595	1	511.544
341	0.331996	-0.002835	-11.576	1	504.993
342	0.327435	-0.004561	-11.804	1	498.367
343	0.326246	-0.001189	-11.562	1	491.412
344	0.321693	-0.004554	-11.788	1	484.613
345	0.321307	-0.000386	-11.435	1	477.488
346	0.320229	-0.001078	-11.168	1	470.633
347	0.316980	-0.003249	-11.198	1	463.963
348	0.313614	-0.003366	-11.246	1	457.163
349	0.310285	-0.003329	-11.292	1	450.213
350	0.306976	-0.003310	-11.337	1	443.117
351	0.305296	-0.001680	-11.159	1	435.876
352	0.303233	-0.002063	-11.027	1	428.725
353	0.302298	-0.000935	-10.737	1	421.615
354	0.300461	-0.001836	-10.560	1	414.718
355	0.296707	-0.003754	-10.642	1	407.912
356	0.291706	-0.005001	-10.898	1	400.910
357	0.290038	-0.001668	-10.709	1	393.528
358	0.287913	-0.002125	-10.577	1	386.248
359	0.286371	-0.001542	-10.361	1	379.009
360	0.283241	-0.003130	-10.353	1	371.902
361	0.280714	-0.002527	-10.264	1	364.698
362	0.277740	-0.002974	-10.232	1	357.488
363	0.276851	-0.000889	-9.921	1	350.206
364	0.272775	-0.004076	-10.022	1	343.165
365	0.265078	-0.007697	-10.606	1	335.899
366	0.263827	-0.001251	-10.365	1	327.903
367	0.263385	-0.000442	-10.011	1	320.065
368	0.259553	-0.003833	-10.083	1	312.508
369	0.257402	-0.002151	-9.941	1	304.773
370	0.254316	-0.003086	-9.915	1	297.090
371	0.252458	-0.001857	-9.731	1	289.338
372	0.250637	-0.001821	-9.536	1	281.684
373	0.248375	-0.002263	-9.390	1	274.142
374	0.247076	-0.001298	-9.118	1	266.657
375	0.245824	-0.001252	-8.830	1	259.371
376	0.240173	-0.005651	-9.068	1	252.304
377	0.236575	-0.003597	-9.067	1	244.855
378	0.235928	-0.000648	-8.711	1	237.306
379	0.234536	-0.001392	-8.429	1	230.049
380	0.232000	-0.002536	-8.270	1	223.007
381	0.229897	-0.002104	-8.053	1	216.036
382	0.225871	-0.004026	-8.051	1	209.204
383	0.224406	-0.001465	-7.752	1	202.256
384	0.222653	-0.001753	-7.471	1	195.548
385	0.220881	-0.001772	-7.177	1	189.061
386	0.217612	-0.003270	-7.036	1	182.818
387	0.212653	-0.004958	-7.079	1	176.619
388	0.209299	-0.003354	-6.946	1	170.221
389	0.207528	-0.001771	-6.630	1	163.858
390	0.200144	-0.007384	-6.915	1	157.773
391	0.198101	-0.002044	-6.635	1	151.168
392	0.196563	-0.001538	-6.283	0.999999	144.791
393	0.191514	-0.005049	-6.285	0.999999	138.744
394	0.188317	-0.003197	-6.091	0.999998	132.544
395	0.188274	-0.000043	-5.549	0.999974	126.459
396	0.184154	-0.004120	-5.390	0.999946	120.997
397	0.183839	-0.000315	-4.819	0.999446	115.600
398	0.174524	-0.009315	-5.130	0.999835	110.948
399	0.171886	-0.002638	-4.788	0.99938	105.566
400	0.169265	-0.002621	-4.408	0.997726	100.550
401	0.161722	-0.007543	-4.496	0.998292	95.995
402	0.152009	-0.009712	-4.836	0.999479	91.043
403	0.145373	-0.006636	-4.907	0.999602	85.291
404	0.138259	-0.007114	-5.038	0.999761	79.242
405	0.137274	-0.000985	-4.571	0.998669	72.851
406	0.133232	-0.004042	-4.355	0.997312	66.992
407	0.127800	-0.005432	-4.248	0.99628	61.295
408	0.120184	-0.007616	-4.337	0.997161	55.593
409	0.118229	-0.001956	-3.918	0.990575	49.638
410	0.114487	-0.003742	-3.606	0.979635	44.148
411	0.112329	-0.002158	-3.113	0.943234	38.972
412	0.111575	-0.000754	-2.407	0.828734	34.407
413	0.101062	-0.010513	-2.342	0.813915	30.981
414	0.086347	-0.014714	-2.673	0.881727	27.360
415	0.084286	-0.002061	NA	NA	NA
416	0.078550	-0.005736	NA	NA	NA
417	0.073257	-0.005293	NA	NA	NA
418	0.043451	-0.029807	NA	NA	NA
419	0.032043	-0.011408	NA	NA	NA
420	0.031236	-0.000807	NA	NA	NA
421	0.026930	-0.004305	NA	NA	NA
422	0.005853	-0.021078	NA	NA	NA
423	0.000354	-0.005499	NA	NA	NA
