set	occ	tag	quartet	submodel	status	BIC	TW1	TW2	TW3
mast_hdr	occ80	JU3237	quartet_01	submodel1	OK	1116333.5852	0.8690	0.0546	0.0764
mast_hdr	occ80	JU3237	quartet_01	submodel6	OK	1116624.7817	0.9721	0.0059	0.0219
mast_hdr	occ80	JU3237	quartet_02	submodel1	OK	1181876.2460	0.8825	0.0541	0.0634
mast_hdr	occ80	JU3237	quartet_02	submodel6	OK	1182109.1554	0.9522	0.0226	0.0252
mast_hdr	occ80	JU3237	quartet_03	submodel1	OK	1199375.1325	0.8688	0.0663	0.0649
mast_hdr	occ80	JU3237	quartet_03	submodel6	OK	1199607.0599	0.9532	0.0239	0.0228
mast_hdr	occ80	JU3237	quartet_04	submodel1	OK	1151730.7295	0.8922	0.0478	0.0600
mast_hdr	occ80	JU3237	quartet_04	submodel6	OK	1151890.6503	0.9570	0.0222	0.0208
mast_hdr	occ80	JU3237	quartet_05	submodel1	OK	1153388.7061	0.8920	0.0491	0.0589
mast_hdr	occ80	JU3237	quartet_05	submodel6	OK	1153603.9428	0.9536	0.0232	0.0232
mast_hdr	occ80	JU3237	quartet_06	submodel1	OK	1194233.9766	0.8920	0.0518	0.0562
mast_hdr	occ80	JU3237	quartet_06	submodel6	OK	1194441.0048	0.9539	0.0224	0.0237
mast_hdr	occ80	JU3237	quartet_07	submodel1	OK	1165124.0211	0.8889	0.0535	0.0576
mast_hdr	occ80	JU3237	quartet_07	submodel6	OK	1165283.6790	0.4823	0.0036	0.5140
mast_hdr	occ80	JU3237	quartet_08	submodel1	OK	1190392.7261	0.8755	0.0533	0.0711
mast_hdr	occ80	JU3237	quartet_08	submodel6	OK	1190604.8519	0.9528	0.0257	0.0215
mast_hdr	occ80	JU3237	quartet_09	submodel1	OK	1213342.3771	0.8974	0.0545	0.0481
mast_hdr	occ80	JU3237	quartet_09	submodel6	OK	1213634.0072	0.9519	0.0237	0.0244
mast_hdr	occ80	JU3237	quartet_10	submodel1	OK	1192205.7662	0.9012	0.0305	0.0683
mast_hdr	occ80	JU3237	quartet_10	submodel6	OK	1192324.2608	0.9557	0.0207	0.0236
mast_hdr	occ80	JU3237	quartet_11	submodel1	OK	1151154.0253	0.8877	0.0484	0.0638
mast_hdr	occ80	JU3237	quartet_11	submodel6	OK	1151355.6418	0.9715	0.0041	0.0244
mast_hdr	occ80	JU3237	quartet_12	submodel1	OK	1163933.0785	0.8934	0.0538	0.0529
mast_hdr	occ80	JU3237	quartet_12	submodel6	OK	1164199.9925	0.9541	0.0229	0.0230
mast_hdr	occ80	JU3237	quartet_13	submodel1	OK	1206974.2653	0.8897	0.0552	0.0552
mast_hdr	occ80	JU3237	quartet_13	submodel6	OK	1207272.8364	0.4760	0.0073	0.5167
mast_hdr	occ80	JU3237	quartet_14	submodel1	OK	1199443.5265	0.8620	0.0484	0.0896
mast_hdr	occ80	JU3237	quartet_14	submodel6	OK	1199717.7639	0.5100	0.4807	0.0092
mast_hdr	occ80	JU3237	quartet_15	submodel1	OK	1191722.1522	0.8848	0.0559	0.0593
mast_hdr	occ80	JU3237	quartet_15	submodel6	OK	1191968.0781	0.9524	0.0234	0.0242
mast_hdr	occ80	JU3237	quartet_16	submodel1	OK	1152786.8422	0.8871	0.0475	0.0654
mast_hdr	occ80	JU3237	quartet_16	submodel6	OK	1152919.0614	0.9537	0.0216	0.0248
mast_hdr	occ80	QG4232	quartet_01	submodel1	OK	1288242.2278	0.6064	0.0415	0.3520
mast_hdr	occ80	QG4232	quartet_01	submodel6	OK	1288259.6793	0.9553	0.0233	0.0213
mast_hdr	occ80	QG4232	quartet_02	submodel1	OK	1330201.9021	0.8439	0.0375	0.1186
mast_hdr	occ80	QG4232	quartet_02	submodel6	OK	1330135.0562	0.9751	0.0035	0.0214
mast_hdr	occ80	QG4232	quartet_03	submodel1	OK	1340100.6553	0.8761	0.0383	0.0855
mast_hdr	occ80	QG4232	quartet_03	submodel6	OK	1340041.4421	0.9748	0.0033	0.0219
mast_hdr	occ80	QG4232	quartet_04	submodel1	OK	1354347.6318	0.9291	0.0423	0.0286
mast_hdr	occ80	QG4232	quartet_04	submodel6	OK	1355155.6488	0.9440	0.0290	0.0270
mast_hdr	occ80	QG4232	quartet_05	submodel1	OK	1334272.2830	0.9360	0.0362	0.0278
mast_hdr	occ80	QG4232	quartet_05	submodel6	OK	1334898.6409	0.9789	0.0060	0.0150
mast_hdr	occ80	QG4232	quartet_06	submodel1	OK	1347659.7112	0.9278	0.0435	0.0287
mast_hdr	occ80	QG4232	quartet_06	submodel6	OK	1348542.7338	0.9453	0.0278	0.0269
mast_hdr	occ80	QG4232	quartet_07	submodel1	OK	1344745.8504	0.9316	0.0394	0.0290
mast_hdr	occ80	QG4232	quartet_07	submodel6	OK	1345493.8031	0.9452	0.0269	0.0279
mast_hdr	occ80	QG4232	quartet_08	submodel1	OK	1324705.3386	0.9241	0.0636	0.0122
mast_hdr	occ80	QG4232	quartet_08	submodel6	OK	1324964.1420	0.9730	0.0034	0.0236
mast_hdr	occ80	QG4232	quartet_09	submodel1	OK	1398169.9412	0.9489	0.0403	0.0108
mast_hdr	occ80	QG4232	quartet_09	submodel6	OK	1398325.6783	0.9528	0.0242	0.0230
mast_hdr	occ80	QG4232	quartet_10	submodel1	OK	1332802.0208	0.8978	0.0384	0.0639
mast_hdr	occ80	QG4232	quartet_10	submodel6	OK	1332777.4456	0.9736	0.0051	0.0214
mast_hdr	occ80	QG4232	quartet_11	submodel1	OK	1348141.0436	0.9202	0.0502	0.0296
mast_hdr	occ80	QG4232	quartet_11	submodel6	OK	1349013.8470	0.9462	0.0262	0.0276
mast_hdr	occ80	QG4232	quartet_12	submodel1	OK	1306428.5818	0.9124	0.0084	0.0792
mast_hdr	occ80	QG4232	quartet_12	submodel6	OK	1306698.5907	0.9797	0.0078	0.0125
mast_hdr	occ80	QG4232	quartet_13	submodel1	OK	1300570.3808	0.9025	0.0080	0.0895
mast_hdr	occ80	QG4232	quartet_13	submodel6	OK	1300890.3224	0.9532	0.0246	0.0222
mast_hdr	occ80	QG4232	quartet_14	submodel1	OK	1279805.7674	0.8776	0.0410	0.0814
mast_hdr	occ80	QG4232	quartet_14	submodel6	OK	1279827.5506	0.9545	0.0242	0.0213
mast_hdr	occ80	QG4232	quartet_15	submodel1	OK	1353803.3524	0.8593	0.0363	0.1044
mast_hdr	occ80	QG4232	quartet_15	submodel6	OK	1353665.0080	0.9747	0.0037	0.0216
mast_hdr	occ80	QG4232	quartet_16	submodel1	OK	1286135.4502	0.9128	0.0720	0.0152
mast_hdr	occ80	QG4232	quartet_16	submodel6	OK	1286301.0506	0.9816	0.0037	0.0147
