chrom,left,right
I,388,3191
I,11208,14970
II,566,3410
II,13988,16571
III,716,3965
III,11824,13995
IV,702,4248
IV,13422,16366
V,469,6062
V,15495,19547
X,1444,7066
X,18522,22161
