N	eigenvalue	difference	twstat	p-value	effect.n
111	1.530762	-0.016460	2.768	0.00265268	622.955
112	1.524995	-0.005768	3.166	0.00123533	624.537
113	1.515803	-0.009192	3.308	0.000931059	626.194
114	1.508027	-0.007776	3.559	0.000558871	627.885
115	1.497965	-0.010061	3.634	0.00047808	629.630
116	1.481692	-0.016274	3.217	0.00111665	631.400
117	1.474578	-0.007114	3.504	0.000625781	633.113
118	1.469024	-0.005554	3.920	0.000261483	634.885
119	1.462972	-0.006052	4.306	0.000112667	636.740
120	1.449349	-0.013623	4.084	0.000183569	638.673
121	1.422310	-0.027039	2.748	0.00275449	640.582
122	1.417407	-0.004903	3.182	0.00119572	642.279
123	1.400965	-0.016441	2.667	0.00320558	644.060
124	1.388226	-0.012740	2.436	0.00488097	645.767
125	1.383464	-0.004761	2.864	0.00221504	647.447
126	1.361658	-0.021806	1.852	0.0132991	649.211
127	1.353895	-0.007763	2.000	0.0103991	650.815
128	1.352351	-0.001544	2.685	0.00310074	652.455
129	1.349882	-0.002469	3.308	0.000931545	654.224
130	1.338772	-0.011110	3.191	0.00117533	656.114
131	1.324881	-0.013891	2.818	0.0024169	657.996
132	1.311657	-0.013223	2.484	0.00447776	659.826
133	1.297892	-0.013765	2.083	0.00904581	661.610
134	1.285582	-0.012310	1.792	0.0146606	663.337
135	1.285146	-0.000436	2.565	0.00386308	665.025
136	1.270964	-0.014181	2.101	0.00876407	666.861
137	1.264862	-0.006103	2.360	0.00558857	668.627
138	1.260584	-0.004278	2.792	0.00253857	670.452
139	1.259415	-0.001169	3.525	0.000599936	672.366
140	1.241993	-0.017421	2.745	0.00277303	674.427
141	1.209242	-0.032751	0.471	0.0974984	676.361
142	1.201816	-0.007427	0.535	0.0899651	677.902
143	1.200156	-0.001660	1.153	0.0390788	679.465
144	1.193822	-0.006334	1.333	0.0299875	681.148
145	1.190913	-0.002909	1.850	0.0133486	682.875
146	1.187122	-0.003791	2.292	0.00629876	684.708
147	1.184590	-0.002532	2.870	0.00219079	686.635
148	1.158320	-0.026270	1.088	0.0429087	688.682
149	1.150856	-0.007464	1.130	0.0403868	690.415
150	1.144146	-0.006709	1.245	0.0341719	692.167
151	1.139016	-0.005130	1.520	0.0225665	693.952
152	1.115022	-0.023994	-0.142	0.195318	695.801
153	1.091665	-0.023357	-1.802	0.667911	697.356
154	1.087111	-0.004554	-1.561	0.593151	698.625
155	1.083609	-0.003502	-1.206	0.48019	699.944
156	1.076474	-0.007135	-1.228	0.486983	701.336
157	1.070269	-0.006205	-1.155	0.464269	702.734
158	1.067260	-0.003009	-0.744	0.341082	704.153
159	1.055487	-0.011774	-1.267	0.499453	705.657
160	1.054628	-0.000859	-0.629	0.309623	707.076
161	1.045260	-0.009368	-0.903	0.386964	708.621
162	1.037752	-0.007508	-0.986	0.41202	710.126
163	1.032688	-0.005065	-0.807	0.35911	711.625
164	1.031479	-0.001209	-0.197	0.20661	713.168
165	1.021843	-0.009636	-0.516	0.280423	714.837
166	1.011197	-0.010646	-0.965	0.405695	716.456
167	0.995029	-0.016168	-2.062	0.742823	718.000
168	0.989868	-0.005161	-1.940	0.708676	719.350
169	0.979929	-0.009939	-2.369	0.820193	720.731
170	0.971241	-0.008688	-2.671	0.881401	722.041
171	0.963090	-0.008151	-2.925	0.92075	723.303
172	0.960210	-0.002880	-2.572	0.863102	724.526
173	0.948628	-0.011582	-3.239	0.955411	725.823
174	0.945552	-0.003076	-2.922	0.92042	727.004
175	0.932706	-0.012846	-3.766	0.986089	728.252
176	0.929225	-0.003481	-3.514	0.974916	729.350
177	0.923402	-0.005823	-3.542	0.976427	730.503
178	0.910690	-0.012711	-4.412	0.997757	731.657
179	0.910097	-0.000593	-3.831	0.988188	732.657
180	0.907419	-0.002677	-3.492	0.973624	733.771
