isotype,lat,long
CB4856,21.33,-157.86
DL238,19.11,-155.81
ECA1185,19.44006389,-155.3020167
ECA1186,19.11456944,-155.8201944
ECA1187,19.44189167,-155.3012944
ECA1191,19.44285556,-155.3017222
ECA1192,19.43996944,-155.3050667
ECA1193,19.43996944,-155.3050667
ECA1194,19.43961111,-155.3040139
ECA1195,19.43961111,-155.3040139
ECA1196,19.44285556,-155.3017222
ECA1200,20.03956944,-155.4403861
ECA1202,19.71897222,-155.9490944
ECA1206,19.71897222,-155.9490944
ECA1208,19.71895278,-155.9515361
ECA1212,19.71876389,-155.9488722
ECA1216,19.720575,-155.9476528
ECA1223,19.7188,-155.9544833
ECA1225,19.7188,-155.9544833
ECA1228,19.72135556,-155.9473333
ECA1229,19.10540278,-155.697525
ECA1232,19.44023611,-155.3014944
ECA1237,19.44180278,-155.3046194
ECA1238,19.438925,-155.3033667
ECA1240,19.44179722,-155.304625
ECA1242,19.43860278,-155.3033389
ECA1243,19.12013889,-155.8196139
ECA1247,19.7205,-155.9477056
ECA1251,19.43866111,-155.3034417
ECA1252,19.438925,-155.3033667
ECA1253,19.438925,-155.3033667
ECA1255,20.04141111,-155.4438278
ECA1257,20.04141111,-155.4438278
ECA1260,19.12068611,-155.8196833
ECA1261,19.11523611,-155.8191083
ECA1269,19.12068611,-155.8196833
ECA1271,19.12069167,-155.8196556
ECA1276,20.04086389,-155.4437722
ECA1278,20.04086389,-155.4437722
ECA1281,19.72010278,-155.9486167
ECA1283,19.72010278,-155.9486167
ECA1284,20.03859444,-155.4399778
ECA1286,19.12063056,-155.8197528
ECA1287,19.12013889,-155.8196139
ECA1288,19.11528889,-155.8191944
ECA1289,19.11941944,-155.8217833
ECA1293,19.72048889,-155.9477194
ECA1298,20.038475,-155.4383306
ECA1409,22.129361,-159.654455
ECA1413,22.129316,-159.654434
ECA1493,21.311768,-157.76181
ECA1693,20.827135,-156.27604
ECA1713,21.329164,-157.82277
ECA1717,22.142139,-159.65287
ECA1725,22.135492,-159.64781
ECA1751,22.146558,-159.66137
ECA1757,20.826934,-156.27721
ECA1761,22.149703,-159.6679
ECA1769,22.143803,-159.65537
ECA1793,22.135156,-159.64897
ECA1805,20.82693,-156.27724
ECA1807,19.120128,-155.81958
ECA1815,20.826071,-156.27737
ECA1821,20.669708,-156.33743
ECA1825,22.133714,-159.65054
ECA1843,20.729436,-156.31102
ECA1851,22.134589,-159.64946
ECA1853,20.826691,-156.27707
ECA1875,20.826612,-156.2769
ECA1885,22.134589,-159.64946
ECA1887,20.837057,-156.28086
ECA1889,20.837057,-156.28086
ECA189,19.423889,-155.2225
ECA1891,19.120367,-155.81956
ECA1901,20.837038,-156.28091
ECA191,19.424167,-155.221944
ECA1919,20.826518,-156.27704
ECA1925,22.134164,-159.64984
ECA1937,19.120128,-155.81958
ECA1939,19.120128,-155.81958
ECA1943,19.120128,-155.81958
ECA1969,19.719961,-155.94817
ECA1977,19.120025,-155.81961
ECA1997,19.720117,-155.94871
ECA2041,20.837056,-156.28088
ECA2043,20.670209,-156.33692
ECA2073,19.718619,-155.94865
ECA2081,19.719672,-155.94858
ECA2091,22.146997,-159.66341
ECA2109,22.133228,-159.65126
ECA2111,22.133228,-159.65126
ECA2151,22.135358,-159.64829
ECA2155,22.135492,-159.64781
ECA2159,22.135492,-159.64781
ECA2183,22.135483,-159.64808
ECA2187,22.135483,-159.64808
ECA2191,22.147283,-159.66203
ECA2195,22.149092,-159.66649
ECA2199,22.149092,-159.66649
ECA2251,19.72178889,-155.9473389
ECA2281,22.132297,-159.65173
ECA2291,20.813036,-156.26958
ECA2332,20.826718,-156.27902
ECA2334,22.133356,-159.65109
ECA2336,22.134086,-159.65033
ECA2344,20.82662,-156.27684
ECA2350,20.82662,-156.27684
ECA2360,20.727403,-156.30736
ECA2367,20.72333333,-156.3045271
ECA2377,19.114519,-155.82031
ECA2417,19.719706,-155.94864
ECA2437,19.719953,-155.94858
ECA2443,19.720022,-155.9484
ECA2452,19.119975,-155.81961
ECA2467,19.114675,-155.82014
ECA2473,19.721806,-155.94736
ECA2475,20.041372,-155.44355
ECA2481,19.120458,-155.81953
ECA2482,19.721806,-155.94736
ECA2489,19.721789,-155.94734
ECA347,19.438889,-155.303611
ECA363,20.723611,-156.304444
ECA369,21.175556,-157.006389
ECA372,22.121667,-159.664444
ECA396,19.449831,-155.235493
ECA701,22.123283,-159.656428
ECA703,20.038831,-155.438922
ECA705,20.038831,-155.438922
ECA706,20.038831,-155.438922
ECA710,20.039656,-155.438103
ECA712,19.423864,-155.222478
ECA722,19.423975,-155.222625
ECA723,19.424272,-155.221661
ECA724,19.439144,-155.303825
ECA730,19.423869,-155.222483
ECA732,19.115403,-155.81845
ECA733,19.115886,-155.818386
ECA738,21.13927631,-156.9740559
ECA740,20.670022,-156.339189
ECA741,20.6762,-156.338322
ECA742,20.80569,-156.2781
ECA743,20.741871,-156.32317
ECA744,19.719231,-155.949572
ECA745,19.700464,-155.955839
ECA746,19.115292,-155.819336
ECA760,20.039869,-155.441619
ECA768,20.039914,-155.441556
