species	species_id_method	strain	isotype	previous_names	source_lab	latitude	longitude	landscape	locality_description	substrate	substrate_comments	ambient_temp	ambient_humidity	associated_organism	sampled_by	isolated_by	set	issues	issue_notes	isotype_ref_strain	wgs_seq
Caenorhabditis briggsae	NA	AF16	AF16	AF16 CGC, G16	CGC	23.03	72.56	NA	Ahmedabad, India	Soil	NA	NA	NA	NA	A. Fodor	NA	NA	FALSE	NA	TRUE	TRUE
Caenorhabditis briggsae	ITS2, test cross	BRC20069	BRC20069	NA	BRC	25.04655556	121.6149472	Urban_garden	NA	Rotting_nut/pod/seed/fruit	Apple (bait)	NA	NA	NA	J. Wang	J. Wang	NA	FALSE	NA	TRUE	TRUE
Caenorhabditis briggsae	test cross	BRC20073	BRC20073	NA	BRC	25.04655556	121.6149472	Urban_garden	NA	Rotting_nut/pod/seed/fruit	Guava (bait)	NA	NA	NA	J. Wang	J. Wang	NA	FALSE	NA	TRUE	TRUE
Caenorhabditis briggsae	ITS2	BRC20075	BRC20075	NA	BRC	24.790015	121.374604	Forest	NA	Rotting_flower	Small red flower	NA	NA	NA	C.-Y. Kao, Y.-C. Huang, N.-C. Chang, N. Ho	J. Wang	NA	FALSE	NA	TRUE	TRUE
Caenorhabditis briggsae	ITS2	BRC20076	BRC20390	NA	BRC	24.790015	121.374604	Forest	NA	Rotting_flower	Peach, shell ginger flower (Alpinia zerumbet)	NA	NA	NA	C.-Y. Kao, Y.-C. Huang, N.-C. Chang, N. Ho	J. Wang	NA	FALSE	NA	FALSE	TRUE
Caenorhabditis briggsae	ITS2	BRC20077	BRC20077	NA	BRC	24.793571	121.364232	Urban_garden	NA	Compost	Peach, Discarded fruit, unintentional compost	NA	NA	NA	C.-Y. Kao, Y.-C. Huang, N.-C. Chang, N. Ho	J. Wang	NA	FALSE	NA	TRUE	TRUE
Caenorhabditis briggsae	ITS2	BRC20081	BRC20081	NA	BRC	24.602334	121.510549	Rural_garden	NA	Compost	Rice bran in chicken coop, Not exactly compost but clearly introduced by humans	NA	NA	NA	C.-Y. Kao, Y.-C. Huang, N.-C. Chang, N. Ho	J. Wang	NA	FALSE	NA	TRUE	TRUE
Caenorhabditis briggsae	ITS2	BRC20085	BRC20085	NA	BRC	24.794443	121.364029	Urban_garden	NA	Compost	Eggshell, Discarded food, unintentional compost	NA	NA	NA	C.-Y. Kao, Y.-C. Huang, N.-C. Chang, N. Ho	J. Wang	NA	FALSE	NA	TRUE	TRUE
Caenorhabditis briggsae	ITS2	BRC20086	BRC20390	NA	BRC	24.793571	121.364232	Urban_garden	NA	Compost	Flower from Fukugi tree (Garcinia subelliptica), Unintentional compost	NA	NA	NA	C.-Y. Kao, Y.-C. Huang, N.-C. Chang, N. Ho	J. Wang	NA	FALSE	NA	FALSE	TRUE
Caenorhabditis briggsae	ITS2	BRC20088	BRC20088	NA	BRC	25.15533333	121.5465611	Rural_garden	NA	Rotting_nut/pod/seed/fruit	Plum	NA	NA	NA	N. Ho	J. Wang	NA	FALSE	NA	TRUE	TRUE
Caenorhabditis briggsae	ITS2	BRC20089	BRC20089	NA	BRC	25.15533333	121.5465611	Rural_garden	NA	Rotting_nut/pod/seed/fruit	Small to medium round red fruit	NA	NA	NA	N. Ho	J. Wang	NA	FALSE	NA	TRUE	TRUE
Caenorhabditis briggsae	ITS2	BRC20090	BRC20090	NA	BRC	24.744819	121.747742	Urban_garden	NA	Compost	Durian, eggshell, Discarded food, unintentional compost	NA	NA	NA	C.-Y. Kao	J. Wang	NA	FALSE	NA	TRUE	TRUE
Caenorhabditis briggsae	ITS2	BRC20092	BRC20092	NA	BRC	25.016437	121.540237	Urban_garden	NA	Rotting_flower	Flower	NA	NA	NA	C.-Y. Kao, N. Ho	J. Wang	NA	FALSE	NA	TRUE	TRUE
Caenorhabditis briggsae	ITS2	BRC20093	BRC20093	NA	BRC	23.94991389	121.5518917	NA	NA	Rotting_flower	Flower	NA	NA	NA	N. Ho	J. Wang	NA	FALSE	NA	TRUE	TRUE
Caenorhabditis briggsae	ITS2	BRC20094	BRC20094	NA	BRC	25.015958	121.541761	Urban_garden	NA	Rotting_nut/pod/seed/fruit	Figs	NA	NA	NA	C.-Y. Kao, N. Ho	J. Wang	NA	FALSE	NA	TRUE	TRUE
Caenorhabditis briggsae	ITS2	BRC20095	BRC20095	NA	BRC	24.74725	121.746266	Urban_garden	NA	Vegetal_litter/mix	Magnolia figo fruit	NA	NA	NA	C.-Y. Kao	J. Wang	NA	FALSE	NA	TRUE	TRUE
Caenorhabditis briggsae	ITS2	BRC20096	BRC20096	NA	BRC	25.04372222	121.6160639	Urban_garden	NA	Compost	Grape skin, Discarded fruit, unintentional compost	NA	NA	NA	C.-Y. Kao, N. Ho	J. Wang	NA	FALSE	NA	TRUE	TRUE
Caenorhabditis briggsae	ITS2	BRC20098	BRC20098	NA	BRC	25.04372222	121.6160639	Urban_garden	NA	Compost	Maple seeds, Discarded fruit, unintentional compost	NA	NA	NA	C.-Y. Kao, N. Ho	J. Wang	NA	FALSE	NA	TRUE	TRUE
Caenorhabditis briggsae	ITS2	BRC20099	BRC20099	NA	BRC	25.043399	121.616268	Urban_garden	NA	Compost	Pineapple, Discarded fruit, unintentional compost	NA	NA	NA	C.-Y. Kao, N. Ho	J. Wang	NA	FALSE	NA	TRUE	TRUE
Caenorhabditis briggsae	ITS2	BRC20100	BRC20100	NA	BRC	24.70731	121.738054	NA	NA	Rotting_flower	White flower	NA	NA	NA	C.-Y. Kao	J. Wang	NA	FALSE	NA	TRUE	TRUE
Caenorhabditis briggsae	ITS2	BRC20102	BRC20102	NA	BRC	24.336532	120.607411	Urban_garden	GPS location is simply Taiwan; actual location is one of the northbound highway rest areas between Tainan and Taipei	Rotting_flower	Flower	NA	NA	NA	J. Wang	J. Wang	NA	FALSE	NA	TRUE	TRUE
Caenorhabditis briggsae	ITS2	BRC20103	BRC20103	NA	BRC	25.04655556	121.6149472	Urban_garden	NA	Rotting_nut/pod/seed/fruit	Guava (bait)	NA	NA	NA	J. Wang	J. Wang	NA	FALSE	NA	TRUE	TRUE
Caenorhabditis briggsae	ITS2	BRC20105	BRC20105	NA	BRC	26.478	127.836	NA	NA	Vegetal_litter/mix	White flowers and leaves	NA	NA	NA	J. Wang	J. Wang	NA	FALSE	NA	TRUE	TRUE
Caenorhabditis briggsae	ITS2	BRC20107	BRC20107	NA	BRC	26.478	127.836	NA	NA	Vegetal_litter/mix	Leaves	NA	NA	NA	J. Wang	J. Wang	NA	FALSE	NA	TRUE	TRUE
Caenorhabditis briggsae	ITS2	BRC20115	BRC20115	134	BRC	24.114	120.8694	NA	H=868.452m, [May have been a typo; Probably best to leave it as Nantou]	Rotting_nut/pod/seed/fruit	Plum fruit	NA	NA	NA	Y.-C. Huang	C.-Y. Kao	NA	FALSE	NA	TRUE	TRUE
Caenorhabditis briggsae	ITS2	BRC20119	BRC20119	159F-7	BRC	23.836799	120.727025	Forest	Jiji Township has a famous green tunnel (tunnel of trees)	Rotting_flower	NA	NA	NA	NA	J. Wang	J.-C. Hsu	NA	FALSE	NA	TRUE	TRUE
