Region	Autosomes arm	Autosomes center	ChromX arm	ChromX center	fold change Autosomes arm/center	fold change ChromX arm/center	Stat
All	0.0041	0.0026	0.0037	0.003	1.58	1.23	pi
Australia	0.005	0.0046	0.0059	0.0063	1.09	0.94	pi
Caribbean	0.0018	7e-04	0.001	5e-04	2.57	2	pi
Central America	0.0017	7e-04	0.001	6e-04	2.43	1.67	pi
Hawaii	0.0023	0.0011	0.0016	9e-04	2.09	1.78	pi
Pacific	0.0034	0.0017	0.0026	0.0016	2	1.62	pi
South America	0.0021	8e-04	0.001	6e-04	2.62	1.67	pi
Taiwan	0.0041	0.0023	0.0037	0.0024	1.78	1.54	pi
All	0.0086	0.0058	0.0075	0.0066	1.48	1.14	theta
Australia	0.0032	0.0026	0.0032	0.0032	1.23	1	theta
Caribbean	0.0021	0.001	0.0016	0.001	2.1	1.6	theta
Central America	0.002	0.001	0.0015	0.001	2	1.5	theta
Hawaii	0.002	0.001	0.0015	0.001	2	1.5	theta
Pacific	0.0035	0.0018	0.0026	0.0018	1.94	1.44	theta
South America	0.0025	0.0013	0.0016	0.0011	1.92	1.45	theta
Taiwan	0.0044	0.0025	0.0036	0.0027	1.76	1.33	theta
All	-1.4921	-1.6264	-1.434	-1.5477	-	-	Tajima's D
Australia	1.8379	2.7325	2.7732	3.2625	-	-	Tajima's D
Caribbean	-0.7184	-1.3212	-1.1666	-1.4539	-	-	Tajima's D
Central America	-0.5338	-1.0805	-0.9112	-0.9994	-	-	Tajima's D
Hawaii	0.3697	0.1013	0.1794	-0.251	-	-	Tajima's D
Pacific	-0.1652	-0.3827	-0.0404	-0.3922	-	-	Tajima's D
South America	-0.6095	-1.3402	-1.0644	-1.271	-	-	Tajima's D
Taiwan	-0.1898	-0.421	0.0029	-0.4766	-	-	Tajima's D
