isotype	PC1	PC2	PC3	PC4	geo
JU3206	0.1416	-0.2471	0.1547	0.008	Asia
VSL2207	0.1411	-0.2434	0.1521	0.0076	Asia
VSL2209	0.1417	-0.2453	0.1539	0.0079	Asia
BRC20075	-0.0016	-0.0548	-0.1073	0.1407	Taiwan
BRC20115	-0.0011	-0.0461	-0.0783	0.0398	Taiwan
BRC20229	-0.0016	-0.0527	-0.1023	0.1326	Taiwan
BRC20232	-0.0015	-0.0538	-0.1043	0.1359	Taiwan
BRC20239	-0.0017	-0.0539	-0.1042	0.1358	Taiwan
BRC20324	-0.0053	-0.03	-0.0589	0.083	Taiwan
BRC20343	-0.0018	-0.0507	-0.0985	0.1255	Taiwan
BRC20347	-0.0017	-0.0542	-0.1053	0.137	Taiwan
BRC20388	0.0037	-0.0516	-0.0939	-0.1343	Pacific
BRC20492	-0.0011	-0.0477	-0.0804	0.0402	Taiwan
BRC20502	0.0038	-0.0397	-0.0612	-0.0131	Taiwan
BRC20503	0.0038	-0.0395	-0.0608	-0.0132	Taiwan
BRC20519	-7e-04	-0.0465	-0.0784	0.0398	Taiwan
BRC20520	-0.0012	-0.0481	-0.0813	0.0412	Taiwan
BRC20522	-0.0017	-0.0512	-0.0993	0.1265	Taiwan
BRC20524	-0.0012	-0.051	-0.099	0.1262	Taiwan
BRC20530	-0.0015	-0.0544	-0.1057	0.1369	Taiwan
BRC20531	-0.0018	-0.0552	-0.1073	0.1406	Taiwan
BRC20541	-9e-04	-0.0443	-0.0758	0.0373	Taiwan
BW287	0.004	-0.0518	-0.0936	-0.1327	unknown
ECA163	0.0099	-0.058	-0.0919	-0.0556	North America
ECA276	0.0099	-0.0578	-0.0912	-0.0548	North America
ECA278	0.0038	-0.052	-0.0944	-0.1351	North America
ECA569	0.0035	-0.0518	-0.094	-0.1349	North America
ED3102	0.0089	-0.0618	-0.0953	-0.0527	Africa
EG4360	0.0039	-0.053	-0.0962	-0.1379	North America
GUN124	0.0037	-0.0516	-0.0936	-0.133	North America
HK104	0.0039	-0.0509	-0.0923	-0.1283	Pacific
HPT11	0.0061	-0.0788	-0.1268	-0.0153	Pacific
HPT18	0.0063	-0.0736	-0.1183	-0.0136	Pacific
HPT24	0.0057	-0.0776	-0.1251	-0.015	Pacific
JU1085	0.0038	-0.0524	-0.0949	-0.1349	Pacific
JU1564	0.0037	-0.0519	-0.094	-0.135	North America
JU2457	-0.0044	-0.0196	-0.0362	-0.0597	South America
JU2536	0.0038	-0.0522	-0.0947	-0.1353	Europe
JU2872	0.0037	-0.0524	-0.0951	-0.1364	Europe
JU3168	0.01	-0.0636	-0.1005	-0.0576	Africa
JU3326	0.006	-0.0476	-0.0765	-0.0435	Asia
JU3416	0.0039	-0.0518	-0.0923	-0.1262	Pacific
NIC1540	-0.0018	-0.0518	-0.0998	0.127	Taiwan
NIC1589	-0.0017	-0.0538	-0.1047	0.1365	Taiwan
NIC1591	-0.0015	-0.0534	-0.1037	0.1353	Taiwan
NIC1593	-0.0016	-0.0545	-0.1066	0.1396	Taiwan
NIC1607	-8e-04	-0.0464	-0.0784	0.0384	Taiwan
NIC1632	0.0037	-0.0516	-0.0937	-0.1344	Pacific
NIC1633	0.0037	-0.0515	-0.0937	-0.1343	Pacific
NIC1635	0.0036	-0.0517	-0.0938	-0.1343	Pacific
NIC1664	-0.0019	-0.0539	-0.105	0.1356	Taiwan
NIC1665	-0.0017	-0.0534	-0.1047	0.1356	Taiwan
NIC174	0.0037	-0.0517	-0.0938	-0.1343	Europe
NIC19	-0.0015	-0.0494	-0.0958	0.1201	Taiwan
NIC20	-0.0018	-0.0538	-0.1048	0.1376	Taiwan
NIC21	-0.0017	-0.0537	-0.1046	0.1365	Taiwan
NIC22	-0.0017	-0.0537	-0.1046	0.1363	Taiwan
NIC816	-0.0017	-0.0543	-0.1059	0.1378	Taiwan
NIC819	-0.001	-0.0436	-0.0748	0.0384	Taiwan
NIC825	-0.0016	-0.0543	-0.1055	0.1379	Taiwan
NIC827	-0.0016	-0.0526	-0.1026	0.133	Taiwan
NIC828	-0.0019	-0.0542	-0.1052	0.1377	Taiwan
NIC893	0.0037	-0.0385	-0.0588	-0.0114	Taiwan
NIC899	0.0036	-0.0522	-0.0945	-0.1357	Pacific
PB800	0.0038	-0.053	-0.0963	-0.1382	North America
PB857	0.0039	-0.052	-0.0947	-0.1351	North America
QG3661	0.0042	-0.0516	-0.0933	-0.1272	North America
QG547	0.0038	-0.0521	-0.0945	-0.1358	North America
QG581	0.0038	-0.0519	-0.0942	-0.1352	North America
QG588	0.0039	-0.0517	-0.0939	-0.1341	North America
QR25	0.0067	-0.042	-0.0688	-0.0522	North America
QX1547	0.0038	-0.052	-0.0947	-0.1355	North America
SOW18	0.0038	-0.0522	-0.0946	-0.1338	North America
SOW21	0.0038	-0.0521	-0.0943	-0.1355	North America
SOW22	0.0038	-0.0518	-0.0939	-0.1341	North America
TWN1824	-0.0016	-0.0541	-0.1053	0.1366	Taiwan
TWN1899	-0.0016	-0.0543	-0.1064	0.1383	Taiwan
VX34	0.006	-0.0471	-0.0755	-0.0438	Asia
