Group 1	Group 2	Domain	Sites	Mean Dxy (non-HDR)	Mean Dxy (HDR)	Fold change (HDR / non-HDR)
Tropical	AD	Arm	All sites	0.0132313605426846	0.0150674093300149	1.13876492756788
Tropical	AD	Center	All sites	0.0115740707402608	0.0144551240890777	1.24892308103796
Tropical	AD	Arm	Synonymous	0.0140922288579304	0.0172811917411923	1.22629230020397
Tropical	AD	Center	Synonymous	0.0127407080712777	0.0158593841601691	1.2447804369619
Tropical	KD	Arm	All sites	0.012846582967368	0.0139446351864441	1.08547426361277
Tropical	KD	Center	All sites	0.0114202874637098	0.0140323524770018	1.22872147672223
Tropical	KD	Arm	Synonymous	0.0133304075342412	0.015114624206081	1.13384562079267
Tropical	KD	Center	Synonymous	0.0124599719837275	0.0152814168777064	1.22644070931007
Tropical	TD1	Arm	All sites	0.00667692118901161	0.00963786596190196	1.44345959598314
Tropical	TD1	Center	All sites	0.00349770925875601	0.00786577456571753	2.24883601918219
Tropical	TD1	Arm	Synonymous	0.00710629225028587	0.0110801312979688	1.55920005928873
Tropical	TD1	Center	Synonymous	0.00365261608426277	0.00866058300038879	2.37106304100854
Tropical	TH	Arm	All sites	0.00691054086925901	0.0101826301118792	1.47349249567076
Tropical	TH	Center	All sites	0.00351232868247956	0.00790776417344787	2.2514305716586
Tropical	TH	Arm	Synonymous	0.00716438300460051	0.0120191033266457	1.67761875920478
Tropical	TH	Center	Synonymous	0.00374844182440578	0.00904609765644712	2.41329546521138
Tropical	Temperate	Arm	All sites	0.00776808659703703	0.0106196839304428	1.36709134196489
Tropical	Temperate	Center	All sites	0.00388537897847107	0.00824010230304757	2.12079757179572
Tropical	Temperate	Arm	Synonymous	0.00840835506832095	0.0123677660555293	1.47089007957404
Tropical	Temperate	Center	Synonymous	0.00415808157404228	0.00904855326334522	2.17613654331189
