Species	Geographic region	π	θW	Tajima's D	Number of strains	Study
C. briggsae	Global	0.0047087026677084	0.00987572768640392	-1.14202694450307	713	This study
C. briggsae	Tropical	0.00198260014629459	0.00381357024433107	-1.19858599684292	501	This study
C. briggsae	Temperate	0.00104736673611832	0.00232431530980887	-1.84956348035359	28	This study
C. briggsae	TH	0.00147644360348047	0.00257239167529121	-1.31813441896494	95	This study
C. briggsae	TD1	0.00194212304144614	0.0027939085914511	-1.20757828605073	27	This study
C. briggsae	KD	0.00141802904839724	0.0046726545693372	-3.11513037960239	10	This study
C. briggsae	AD	0.00157319975372962	0.00427163218869672	-2.28208249725946	32	This study
