Sample A	Sample B	Comparison	Comparison_within	Haplotypes	Mean Ks
EG6271	QX1796	within_species	Tropical_x_Tropical	Among HDRs	0.00751064132409781
JU3207	JU3237	within_species	Tropical_x_Tropical	Among HDRs	0.00973355051668179
JU3207	JU4058	within_species	Tropical_x_Tropical	Among HDRs	0.00650200455307792
JU3207	NIC1052	within_species	Tropical_x_Tropical	Among HDRs	0.0127632290258389
JU3207	NIC1529	within_species	Tropical_x_Tropical	Among HDRs	0.0066478684047969
JU3207	NIC248	within_species	Tropical_x_Tropical	Among HDRs	0.00313828601648865
JU3207	PE887	within_species	Tropical_x_Tropical	Among HDRs	0.00437814582637179
JU3207	QG1005	within_species	Tropical_x_Tropical	Among HDRs	0.0110825203596083
JU3207	QG2641	within_species	Tropical_x_Tropical	Among HDRs	0.0103213237073864
JU3207	QG2665	within_species	Tropical_x_Tropical	Among HDRs	0.00948441621057894
JU3207	QG2902	within_species	Tropical_x_Tropical	Among HDRs	0.0111937699689346
JU3207	QG2964	within_species	Tropical_x_Tropical	Among HDRs	0.00929890692501786
JU3207	QG786	within_species	Tropical_x_Tropical	Among HDRs	0.00836122522390817
JU3207	QG791	within_species	Tropical_x_Tropical	Among HDRs	0.00980277414383078
JU3207	QX1796	within_species	Tropical_x_Tropical	Among HDRs	0.00457165175125223
JU3237	JU4058	within_species	Tropical_x_Tropical	Among HDRs	0.010254799167217
JU3237	NIC1052	within_species	Tropical_x_Tropical	Among HDRs	0.00759274146183522
JU3237	NIC1529	within_species	Tropical_x_Tropical	Among HDRs	0.00831706711292412
JU3237	NIC248	within_species	Tropical_x_Tropical	Among HDRs	0.00842278725520078
JU3237	PE887	within_species	Tropical_x_Tropical	Among HDRs	0.0108849870257844
JU3237	QG1005	within_species	Tropical_x_Tropical	Among HDRs	0.00809475916524297
JU3237	QG2641	within_species	Tropical_x_Tropical	Among HDRs	0.00879794000549761
JU3237	QG2665	within_species	Tropical_x_Tropical	Among HDRs	0.00950118698688004
JU3237	QG2902	within_species	Tropical_x_Tropical	Among HDRs	0.010636368722145
JU3237	QG2964	within_species	Tropical_x_Tropical	Among HDRs	0.0094166323902329
JU3237	QG786	within_species	Tropical_x_Tropical	Among HDRs	0.00756028783821621
JU3237	QG791	within_species	Tropical_x_Tropical	Among HDRs	0.00816627103964996
JU3237	QX1796	within_species	Tropical_x_Tropical	Among HDRs	0.0107631475515529
JU4058	NIC1052	within_species	Tropical_x_Tropical	Among HDRs	0.0106488531916951
JU4058	NIC1529	within_species	Tropical_x_Tropical	Among HDRs	0.00688479438956876
JU4058	NIC248	within_species	Tropical_x_Tropical	Among HDRs	0.0029030890210737
JU4058	PE887	within_species	Tropical_x_Tropical	Among HDRs	0.00382579813290186
JU4058	QG1005	within_species	Tropical_x_Tropical	Among HDRs	0.0111143759627436
JU4058	QG2641	within_species	Tropical_x_Tropical	Among HDRs	0.00850215900347953
JU4058	QG2665	within_species	Tropical_x_Tropical	Among HDRs	0.00905741918172722
JU4058	QG2902	within_species	Tropical_x_Tropical	Among HDRs	0.0096687638877219
JU4058	QG2964	within_species	Tropical_x_Tropical	Among HDRs	0.00863492264824032
JU4058	QG786	within_species	Tropical_x_Tropical	Among HDRs	0.00903975661566298
JU4058	QG791	within_species	Tropical_x_Tropical	Among HDRs	0.00841747199297432
JU4058	QX1796	within_species	Tropical_x_Tropical	Among HDRs	0.00435702643471426
NIC1052	NIC1529	within_species	Tropical_x_Tropical	Among HDRs	0.0102985474998886
NIC1052	NIC248	within_species	Tropical_x_Tropical	Among HDRs	0.00699831211872312
NIC1052	PE887	within_species	Tropical_x_Tropical	Among HDRs	0.0111958478535921
NIC1052	QG1005	within_species	Tropical_x_Tropical	Among HDRs	0.00267149333746968
NIC1052	QG2641	within_species	Tropical_x_Tropical	Among HDRs	0.00401403016417058
NIC1052	QG2665	within_species	Tropical_x_Tropical	Among HDRs	0.00452073378786472
NIC1052	QG2902	within_species	Tropical_x_Tropical	Among HDRs	0.00559440611963729
NIC1052	QG2964	within_species	Tropical_x_Tropical	Among HDRs	0.00367357208944946
NIC1052	QG786	within_species	Tropical_x_Tropical	Among HDRs	0.00401937894707357
NIC1052	QG791	within_species	Tropical_x_Tropical	Among HDRs	0.00435767007377044
NIC1052	QX1796	within_species	Tropical_x_Tropical	Among HDRs	0.00920124404792793
NIC1529	NIC248	within_species	Tropical_x_Tropical	Among HDRs	0.00286321368089072
NIC1529	PE887	within_species	Tropical_x_Tropical	Among HDRs	0.001970363915258
NIC1529	QG1005	within_species	Tropical_x_Tropical	Among HDRs	0.00878676494464446
NIC1529	QG2641	within_species	Tropical_x_Tropical	Among HDRs	0.0115979542109168
NIC1529	QG2665	within_species	Tropical_x_Tropical	Among HDRs	0.0121459379077392
NIC1529	QG2902	within_species	Tropical_x_Tropical	Among HDRs	0.00948163283359903
