Region,π value,θ value,Tajima's D,Number of strains
All,0.0032,0.007,-1.5623,713
Asia,0.0036,0.0038,-0.1675,63
Australia,0.0051,0.0029,2.4914,60
Caribbean,0.001,0.0014,-1.1175,42
Central_America,0.001,0.0014,-0.9075,122
Hawaii,0.0015,0.0014,0.1492,83
Pacific,0.0023,0.0024,-0.2876,58
South_America,0.0012,0.0017,-1.0655,65
Taiwan,0.003,0.0032,-0.3302,159
C. elegans - All,0.0021,0.0039,-1.4264,678
C. elegans - Hawaii,0.003,0.0039,-0.8256,234
C. briggsae - Thomas,0.0041,0.0051,-0.7605,36
