set	tag	quartet	submodel	BIC	TW1	TW2	TW3	Number of alignments	Percent missing data	Supermatrix length	T1	T2	T3	Tree1	Tree2	Tree3
mast_all	JU3200	quartet_01	submodel1	17712577.2257	0.8797	0.0447	0.0757	5672	3.1	2308260	O_CBXCBY_CNX	O_CBXCNX_CBY	O_CBYCNX_CBX	(PX506,(QX1410,JU3200),ECA2852)	(PX506,(QX1410,ECA2852),JU3200)	(PX506,(JU3200,ECA2852),QX1410)
mast_all	JU3200	quartet_01	submodel6	17721987.1987	0.9738	0.0036	0.0226	5672	3.1	2308260	O_CBXCBY_CNX	O_CBXCNX_CBY	O_CBYCNX_CBX	(PX506,(QX1410,JU3200),ECA2852)	(PX506,(QX1410,ECA2852),JU3200)	(PX506,(JU3200,ECA2852),QX1410)
mast_all	JU3200	quartet_02	submodel1	18103793.6148	0.8787	0.0415	0.0797	5809	3.1	2356712	O_CBXCBY_CNX	O_CBXCNX_CBY	O_CBYCNX_CBX	(PX506,(QX1410,JU3200),ECA2857)	(PX506,(QX1410,ECA2857),JU3200)	(PX506,(JU3200,ECA2857),QX1410)
mast_all	JU3200	quartet_02	submodel6	18113444.5884	0.9748	0.0038	0.0214	5809	3.1	2356712	O_CBXCBY_CNX	O_CBXCNX_CBY	O_CBYCNX_CBX	(PX506,(QX1410,JU3200),ECA2857)	(PX506,(QX1410,ECA2857),JU3200)	(PX506,(JU3200,ECA2857),QX1410)
mast_all	JU3200	quartet_03	submodel1	18516501.6764	0.8704	0.0391	0.0905	5882	3.2	2410355	O_CBXCBY_CNX	O_CBXCNX_CBY	O_CBYCNX_CBX	(PX506,(QX1410,JU3200),EG5268)	(PX506,(QX1410,EG5268),JU3200)	(PX506,(JU3200,EG5268),QX1410)
mast_all	JU3200	quartet_03	submodel6	18525707.7269	0.9745	0.0037	0.0218	5882	3.2	2410355	O_CBXCBY_CNX	O_CBXCNX_CBY	O_CBYCNX_CBX	(PX506,(QX1410,JU3200),EG5268)	(PX506,(QX1410,EG5268),JU3200)	(PX506,(JU3200,EG5268),QX1410)
mast_all	JU3200	quartet_04	submodel1	18345925.7354	0.8777	0.0412	0.0811	5865	3.1	2388985	O_CBXCBY_CNX	O_CBXCNX_CBY	O_CBYCNX_CBX	(PX506,(QX1410,JU3200),JU1418)	(PX506,(QX1410,JU1418),JU3200)	(PX506,(JU3200,JU1418),QX1410)
mast_all	JU3200	quartet_04	submodel6	18356129.6031	0.9396	0.0383	0.0222	5865	3.1	2388985	O_CBXCBY_CNX	O_CBXCNX_CBY	O_CBYCNX_CBX	(PX506,(QX1410,JU3200),JU1418)	(PX506,(QX1410,JU1418),JU3200)	(PX506,(JU3200,JU1418),QX1410)
mast_all	JU3200	quartet_05	submodel1	18270291.2396	0.8834	0.0451	0.0715	5836	3.1	2378867	O_CBXCBY_CNX	O_CBXCNX_CBY	O_CBYCNX_CBX	(PX506,(QX1410,JU3200),JU1419)	(PX506,(QX1410,JU1419),JU3200)	(PX506,(JU3200,JU1419),QX1410)
mast_all	JU3200	quartet_05	submodel6	18279683.0325	0.3981	0.5957	0.0062	5836	3.1	2378867	O_CBXCBY_CNX	O_CBXCNX_CBY	O_CBYCNX_CBX	(PX506,(QX1410,JU3200),JU1419)	(PX506,(QX1410,JU1419),JU3200)	(PX506,(JU3200,JU1419),QX1410)
mast_all	JU3200	quartet_06	submodel1	18404346.3918	0.8784	0.0412	0.0804	5849	3.1	2395321	O_CBXCBY_CNX	O_CBXCNX_CBY	O_CBYCNX_CBX	(PX506,(QX1410,JU3200),JU1420)	(PX506,(QX1410,JU1420),JU3200)	(PX506,(JU3200,JU1420),QX1410)
mast_all	JU3200	quartet_06	submodel6	18413793.2129	0.4159	0.0021	0.5821	5849	3.1	2395321	O_CBXCBY_CNX	O_CBXCNX_CBY	O_CBYCNX_CBX	(PX506,(QX1410,JU3200),JU1420)	(PX506,(QX1410,JU1420),JU3200)	(PX506,(JU3200,JU1420),QX1410)
mast_all	JU3200	quartet_07	submodel1	18167778.627	0.8781	0.0438	0.0781	5803	3.1	2367791	O_CBXCBY_CNX	O_CBXCNX_CBY	O_CBYCNX_CBX	(PX506,(QX1410,JU3200),JU1422)	(PX506,(QX1410,JU1422),JU3200)	(PX506,(JU3200,JU1422),QX1410)
mast_all	JU3200	quartet_07	submodel6	18176801.6898	0.3907	0.6031	0.0062	5803	3.1	2367791	O_CBXCBY_CNX	O_CBXCNX_CBY	O_CBYCNX_CBX	(PX506,(QX1410,JU3200),JU1422)	(PX506,(QX1410,JU1422),JU3200)	(PX506,(JU3200,JU1422),QX1410)
mast_all	JU3200	quartet_08	submodel1	18555082.1269	0.8747	0.0512	0.0742	5926	3.1	2419596	O_CBXCBY_CNX	O_CBXCNX_CBY	O_CBYCNX_CBX	(PX506,(QX1410,JU3200),JU2484)	(PX506,(QX1410,JU2484),JU3200)	(PX506,(JU3200,JU2484),QX1410)
mast_all	JU3200	quartet_08	submodel6	18564828.9508	0.9734	0.0045	0.0221	5926	3.1	2419596	O_CBXCBY_CNX	O_CBXCNX_CBY	O_CBYCNX_CBX	(PX506,(QX1410,JU3200),JU2484)	(PX506,(QX1410,JU2484),JU3200)	(PX506,(JU3200,JU2484),QX1410)
mast_all	JU3200	quartet_09	submodel1	18601717.0459	0.8725	0.0436	0.0839	5897	3.1	2424890	O_CBXCBY_CNX	O_CBXCNX_CBY	O_CBYCNX_CBX	(PX506,(QX1410,JU3200),JU2617)	(PX506,(QX1410,JU2617),JU3200)	(PX506,(JU3200,JU2617),QX1410)
mast_all	JU3200	quartet_09	submodel6	18611830.0418	0.9407	0.0365	0.0228	5897	3.1	2424890	O_CBXCBY_CNX	O_CBXCNX_CBY	O_CBYCNX_CBX	(PX506,(QX1410,JU3200),JU2617)	(PX506,(QX1410,JU2617),JU3200)	(PX506,(JU3200,JU2617),QX1410)
