source	mean_var_prop	mean_var_prop_sd	min_var_prop	max_var_prop	mean_span_prop	mean_span_prop_sd	min_span_prop	max_span_prop	relative_to	tot_reg	mean_divSize	meadian_divSize	min_divSize	max_divSize
BRC20492	0.152798011762656	0.054900910164106	0.0836828976123722	0.220050422405759	0.11861328762651	0.0392168313042361	0.0686073231371958	0.166117305808785	QX1410	670	39.3923955223881	21.34	5.016	576.3
BRC20530	0.130962451561217	0.032327911319561	0.0954292978508531	0.197212997112865	0.105161070188758	0.03379983982477	0.074531002787614	0.237559330972651	QX1410	794	47.8815780856423	24.298	5.323	943.78
ECA2670	0.0460299808520531	0.0353203531194655	0.011016639736883	0.147029334362886	0.0625265819769943	0.0399162643160902	0.0218677013486024	0.176128230241844	QX1410	693	40.5503924963925	21.357	5.271	523.94
JU1348	0.0743586565934286	0.0047859020285009	0.0662813801708514	0.0807867409477507	0.103294490904677	0.00850247084781623	0.0886668424621412	0.115120922172832	QX1410	411	46.0550072992701	22.209	5.113	723.679
JU2536	0.0528615426123899	0.0279352487423993	0.0154961472172629	0.146147827779168	0.0446070552583775	0.022524623366175	0.0115083251714006	0.117644842914187	QX1410	694	37.4919798270893	21.46	5.015	444.443
NIC1660	0.0932514433335998	0.00837192982305007	0.0645445786480372	0.113531915312605	0.0764684265450098	0.00778799975237204	0.0497438408799819	0.0929236043095005	QX1410	719	39.3181057023644	19.76	5.146	922.747
QX1410	0.310566834548814	0.0203013227500735	0.232892557638213	0.388443815317893	0.061442458374143	0.0145034259641453	0.0300798613727115	0.110129586378362	QX1410	1361	29.5451873622337	14	5	1503
BRC20492	0.548321908569928	0.0233786483117747	0.524805469806363	0.59207679510111	0.119283948528513	0.038357826752793	0.0702140258861348	0.166643167996691	Relatedness Group	NA	NA	NA	NA	NA
BRC20530	0.517756740982751	0.0356942725022091	0.478869891109785	0.677023376013156	0.103051243338108	0.0332087158608893	0.0724058230349121	0.234067736584093	Relatedness Group	NA	NA	NA	NA	NA
ECA2670	0.365218978839555	0.04243379479925	0.300799149528942	0.469886186502325	0.0747324542184328	0.0408069428226438	0.0315679480833746	0.189572677775945	Relatedness Group	NA	NA	NA	NA	NA
JU1348	0.454886899015369	0.0236733331623183	0.416365123880154	0.495623523880537	0.107560603140858	0.00967337798552967	0.0903623445163456	0.120013800048487	Relatedness Group	NA	NA	NA	NA	NA
JU2536	0.545688057149801	0.100978954225393	0.151424813051373	0.763218807237888	0.0465983461185654	0.0236224335067381	0.0107996962006558	0.119898857047589	Relatedness Group	NA	NA	NA	NA	NA
NIC1660	0.459516796481351	0.0272578621421985	0.335074836483287	0.52008585412226	0.0766692814405194	0.00758301246428495	0.0511563114746383	0.0931731972929981	Relatedness Group	NA	NA	NA	NA	NA
QX1410	0.310566834548814	0.0203013227500735	0.232892557638213	0.388443815317893	0.061442458374143	0.0145034259641453	0.0300798613727115	0.110129586378362	Relatedness Group	NA	NA	NA	NA	NA
