strain	bam	bai	coverage	percent_mapped
AF16	AF16.bam	AF16.bam.bai	0	0
BRC20069	BRC20069.bam	BRC20069.bam.bai	0	0
BRC20073	BRC20073.bam	BRC20073.bam.bai	0	0
BRC20075	BRC20075.bam	BRC20075.bam.bai	0	0
BRC20077	BRC20077.bam	BRC20077.bam.bai	0	0
BRC20081	BRC20081.bam	BRC20081.bam.bai	0	0
BRC20085	BRC20085.bam	BRC20085.bam.bai	0	0
BRC20088	BRC20088.bam	BRC20088.bam.bai	0	0
BRC20089	BRC20089.bam	BRC20089.bam.bai	0	0
BRC20090	BRC20090.bam	BRC20090.bam.bai	0	0
BRC20092	BRC20092.bam	BRC20092.bam.bai	0	0
BRC20093	BRC20093.bam	BRC20093.bam.bai	0	0
BRC20094	BRC20094.bam	BRC20094.bam.bai	0	0
BRC20095	BRC20095.bam	BRC20095.bam.bai	0	0
BRC20096	BRC20096.bam	BRC20096.bam.bai	0	0
BRC20098	BRC20098.bam	BRC20098.bam.bai	0	0
BRC20099	BRC20099.bam	BRC20099.bam.bai	0	0
BRC20100	BRC20100.bam	BRC20100.bam.bai	0	0
BRC20102	BRC20102.bam	BRC20102.bam.bai	0	0
BRC20103	BRC20103.bam	BRC20103.bam.bai	0	0
BRC20105	BRC20105.bam	BRC20105.bam.bai	0	0
BRC20107	BRC20107.bam	BRC20107.bam.bai	0	0
BRC20115	BRC20115.bam	BRC20115.bam.bai	0	0
BRC20119	BRC20119.bam	BRC20119.bam.bai	0	0
BRC20228	BRC20228.bam	BRC20228.bam.bai	0	0
BRC20229	BRC20229.bam	BRC20229.bam.bai	0	0
BRC20230	BRC20230.bam	BRC20230.bam.bai	0	0
BRC20232	BRC20232.bam	BRC20232.bam.bai	0	0
BRC20238	BRC20238.bam	BRC20238.bam.bai	0	0
BRC20239	BRC20239.bam	BRC20239.bam.bai	0	0
BRC20241	BRC20241.bam	BRC20241.bam.bai	0	0
BRC20242	BRC20242.bam	BRC20242.bam.bai	0	0
BRC20244	BRC20244.bam	BRC20244.bam.bai	0	0
BRC20246	BRC20246.bam	BRC20246.bam.bai	0	0
BRC20257	BRC20257.bam	BRC20257.bam.bai	0	0
BRC20260	BRC20260.bam	BRC20260.bam.bai	0	0
BRC20270	BRC20270.bam	BRC20270.bam.bai	0	0
BRC20272	BRC20272.bam	BRC20272.bam.bai	0	0
BRC20289	BRC20289.bam	BRC20289.bam.bai	0	0
BRC20290	BRC20290.bam	BRC20290.bam.bai	0	0
BRC20294	BRC20294.bam	BRC20294.bam.bai	0	0
BRC20308	BRC20308.bam	BRC20308.bam.bai	0	0
BRC20309	BRC20309.bam	BRC20309.bam.bai	0	0
BRC20311	BRC20311.bam	BRC20311.bam.bai	0	0
BRC20312	BRC20312.bam	BRC20312.bam.bai	0	0
BRC20315	BRC20315.bam	BRC20315.bam.bai	0	0
BRC20320	BRC20320.bam	BRC20320.bam.bai	0	0
BRC20324	BRC20324.bam	BRC20324.bam.bai	0	0
BRC20331	BRC20331.bam	BRC20331.bam.bai	0	0
BRC20333	BRC20333.bam	BRC20333.bam.bai	0	0
BRC20334	BRC20334.bam	BRC20334.bam.bai	0	0
BRC20339	BRC20339.bam	BRC20339.bam.bai	0	0
BRC20341	BRC20341.bam	BRC20341.bam.bai	0	0
BRC20343	BRC20343.bam	BRC20343.bam.bai	0	0
BRC20346	BRC20346.bam	BRC20346.bam.bai	0	0
BRC20347	BRC20347.bam	BRC20347.bam.bai	0	0
BRC20348	BRC20348.bam	BRC20348.bam.bai	0	0
BRC20353	BRC20353.bam	BRC20353.bam.bai	0	0
BRC20360	BRC20360.bam	BRC20360.bam.bai	0	0
BRC20361	BRC20361.bam	BRC20361.bam.bai	0	0
BRC20362	BRC20362.bam	BRC20362.bam.bai	0	0
BRC20366	BRC20366.bam	BRC20366.bam.bai	0	0
BRC20367	BRC20367.bam	BRC20367.bam.bai	0	0
BRC20369	BRC20369.bam	BRC20369.bam.bai	0	0
BRC20370	BRC20370.bam	BRC20370.bam.bai	0	0
BRC20388	BRC20388.bam	BRC20388.bam.bai	0	0
BRC20390	BRC20390.bam	BRC20390.bam.bai	0	0
BRC20401	BRC20401.bam	BRC20401.bam.bai	0	0
BRC20463	BRC20463.bam	BRC20463.bam.bai	0	0
BRC20492	BRC20492.bam	BRC20492.bam.bai	0	0
BRC20498	BRC20498.bam	BRC20498.bam.bai	0	0
BRC20499	BRC20499.bam	BRC20499.bam.bai	0	0
BRC20501	BRC20501.bam	BRC20501.bam.bai	0	0
BRC20502	BRC20502.bam	BRC20502.bam.bai	0	0
BRC20503	BRC20503.bam	BRC20503.bam.bai	0	0
BRC20519	BRC20519.bam	BRC20519.bam.bai	0	0
BRC20520	BRC20520.bam	BRC20520.bam.bai	0	0
BRC20522	BRC20522.bam	BRC20522.bam.bai	0	0
BRC20524	BRC20524.bam	BRC20524.bam.bai	0	0
BRC20529	BRC20529.bam	BRC20529.bam.bai	0	0
BRC20530	BRC20530.bam	BRC20530.bam.bai	0	0
BRC20531	BRC20531.bam	BRC20531.bam.bai	0	0
BRC20532	BRC20532.bam	BRC20532.bam.bai	0	0
BRC20533	BRC20533.bam	BRC20533.bam.bai	0	0
BRC20534	BRC20534.bam	BRC20534.bam.bai	0	0
BRC20535	BRC20535.bam	BRC20535.bam.bai	0	0
BRC20536	BRC20536.bam	BRC20536.bam.bai	0	0
BRC20537	BRC20537.bam	BRC20537.bam.bai	0	0
BRC20541	BRC20541.bam	BRC20541.bam.bai	0	0
BRC20543	BRC20543.bam	BRC20543.bam.bai	0	0
BRC20544	BRC20544.bam	BRC20544.bam.bai	0	0
BRC20545	BRC20545.bam	BRC20545.bam.bai	0	0
BRC20556	BRC20556.bam	BRC20556.bam.bai	0	0
BRC20557	BRC20557.bam	BRC20557.bam.bai	0	0
BRC20565	BRC20565.bam	BRC20565.bam.bai	0	0
BRC20571	BRC20571.bam	BRC20571.bam.bai	0	0
BRC20574	BRC20574.bam	BRC20574.bam.bai	0	0
BW287	BW287.bam	BW287.bam.bai	0	0
DF5100	DF5100.bam	DF5100.bam.bai	0	0
ECA1129	ECA1129.bam	ECA1129.bam.bai	0	0
ECA1143	ECA1143.bam	ECA1143.bam.bai	0	0
ECA1146	ECA1146.bam	ECA1146.bam.bai	0	0
ECA1147	ECA1147.bam	ECA1147.bam.bai	0	0
ECA1149	ECA1149.bam	ECA1149.bam.bai	0	0
ECA1160	ECA1160.bam	ECA1160.bam.bai	0	0
ECA1164	ECA1164.bam	ECA1164.bam.bai	0	0
ECA1170	ECA1170.bam	ECA1170.bam.bai	0	0
ECA1174	ECA1174.bam	ECA1174.bam.bai	0	0
ECA1383	ECA1383.bam	ECA1383.bam.bai	0	0
ECA1411	ECA1411.bam	ECA1411.bam.bai	0	0
ECA1423	ECA1423.bam	ECA1423.bam.bai	0	0
ECA1429	ECA1429.bam	ECA1429.bam.bai	0	0
ECA1431	ECA1431.bam	ECA1431.bam.bai	0	0
ECA1437	ECA1437.bam	ECA1437.bam.bai	0	0
ECA1439	ECA1439.bam	ECA1439.bam.bai	0	0
ECA1443	ECA1443.bam	ECA1443.bam.bai	0	0
ECA1471	ECA1471.bam	ECA1471.bam.bai	0	0
ECA1489	ECA1489.bam	ECA1489.bam.bai	0	0
ECA1503	ECA1503.bam	ECA1503.bam.bai	0	0
ECA1507	ECA1507.bam	ECA1507.bam.bai	0	0
ECA1509	ECA1509.bam	ECA1509.bam.bai	0	0
ECA1517	ECA1517.bam	ECA1517.bam.bai	0	0
ECA1521	ECA1521.bam	ECA1521.bam.bai	0	0
ECA1555	ECA1555.bam	ECA1555.bam.bai	0	0
ECA1559	ECA1559.bam	ECA1559.bam.bai	0	0
ECA1563	ECA1563.bam	ECA1563.bam.bai	0	0
ECA1571	ECA1571.bam	ECA1571.bam.bai	0	0
ECA1587	ECA1587.bam	ECA1587.bam.bai	0	0
ECA1605	ECA1605.bam	ECA1605.bam.bai	0	0
ECA1609	ECA1609.bam	ECA1609.bam.bai	0	0
ECA161	ECA161.bam	ECA161.bam.bai	0	0
ECA1611	ECA1611.bam	ECA1611.bam.bai	0	0
ECA1615	ECA1615.bam	ECA1615.bam.bai	0	0
ECA162	ECA162.bam	ECA162.bam.bai	0	0
ECA1621	ECA1621.bam	ECA1621.bam.bai	0	0
ECA163	ECA163.bam	ECA163.bam.bai	0	0
ECA1637	ECA1637.bam	ECA1637.bam.bai	0	0
ECA1657	ECA1657.bam	ECA1657.bam.bai	0	0
ECA1701	ECA1701.bam	ECA1701.bam.bai	0	0
ECA175	ECA175.bam	ECA175.bam.bai	0	0
ECA176	ECA176.bam	ECA176.bam.bai	0	0
ECA177	ECA177.bam	ECA177.bam.bai	0	0
ECA180	ECA180.bam	ECA180.bam.bai	0	0
ECA182	ECA182.bam	ECA182.bam.bai	0	0
ECA183	ECA183.bam	ECA183.bam.bai	0	0
ECA185	ECA185.bam	ECA185.bam.bai	0	0
ECA186	ECA186.bam	ECA186.bam.bai	0	0
ECA2083	ECA2083.bam	ECA2083.bam.bai	0	0
ECA2093	ECA2093.bam	ECA2093.bam.bai	0	0
ECA2115	ECA2115.bam	ECA2115.bam.bai	0	0
ECA2299	ECA2299.bam	ECA2299.bam.bai	0	0
ECA2373	ECA2373.bam	ECA2373.bam.bai	0	0
ECA2385	ECA2385.bam	ECA2385.bam.bai	0	0
ECA2425	ECA2425.bam	ECA2425.bam.bai	0	0
ECA2617	ECA2617.bam	ECA2617.bam.bai	0	0
ECA2618	ECA2618.bam	ECA2618.bam.bai	0	0
ECA2621	ECA2621.bam	ECA2621.bam.bai	0	0
