N	eigenvalue	difference	twstat	p-value	effect.n
1	45.624495	NA	183.621	0	91.030
2	23.332614	-22.291881	270.236	0	250.068
3	11.456001	-11.876613	249.237	0	542.495
4	5.612992	-5.843009	115.056	0	749.589
5	4.179963	-1.433028	65.479	1.93728e-155	804.517
6	3.850820	-0.329144	55.492	1.06706e-121	830.332
7	3.838741	-0.012078	58.828	1.16909e-132	851.844
8	3.044634	-0.794107	24.861	8.15908e-38	875.424
9	2.840233	-0.204402	16.613	1.73408e-21	885.181
10	2.747626	-0.092607	13.380	4.98891e-16	892.336
11	2.707587	-0.040040	12.586	8.83173e-15	898.571
12	2.680641	-0.026946	12.401	1.70765e-14	904.629
13	2.608677	-0.071964	9.905	7.5018e-11	910.687
14	2.599502	-0.009175	10.506	1.08356e-11	916.062
15	2.568559	-0.030943	9.995	5.62184e-11	921.661
16	2.511249	-0.057310	8.072	1.91721e-08	927.160
17	2.490718	-0.020531	7.997	8.07921e-09	932.143
18	2.450440	-0.040278	6.857	2.01036e-07	937.146
19	2.437818	-0.012622	7.148	9.12523e-08	941.862
20	2.425614	-0.012204	7.464	3.76025e-08	946.701
21	2.399342	-0.026271	7.017	1.29896e-07	951.674
22	2.377282	-0.022060	6.775	2.51804e-07	956.556
23	2.350027	-0.027255	6.225	1.08427e-06	961.409
24	2.315180	-0.034847	5.220	1.35139e-05	966.139
25	2.289054	-0.026126	4.660	5.0563e-05	970.613
26	2.276954	-0.012100	4.870	3.10679e-05	974.959
27	2.249485	-0.027469	4.199	0.000142846	979.402
28	2.238802	-0.010683	4.466	7.87219e-05	983.682
29	2.214838	-0.023964	3.962	0.000239086	988.075
30	2.212456	-0.002382	4.700	4.60832e-05	992.354
31	2.186737	-0.025719	4.078	0.000185912	996.887
32	2.165312	-0.021425	3.682	0.000433051	1001.269
33	2.146075	-0.019237	3.395	0.000780571	1005.567
34	2.103758	-0.042317	1.693	0.0171876	1009.813
35	2.083996	-0.019762	1.300	0.0315224	1013.586
36	2.083924	-0.000072	2.097	0.00882785	1017.272
37	2.077828	-0.006096	2.544	0.00401365	1021.220
38	2.061914	-0.015914	2.390	0.00530035	1025.333
39	2.046576	-0.015338	2.260	0.00666459	1029.431
40	2.007852	-0.038723	0.640	0.07873	1033.520
41	2.006534	-0.001318	1.340	0.0296808	1037.151
42	1.989139	-0.017395	1.029	0.046664	1041.019
43	1.980321	-0.008818	1.255	0.033713	1044.822
44	1.974260	-0.006062	1.662	0.0180631	1048.721
45	1.926712	-0.047548	-0.638	0.312019	1052.775
46	1.904589	-0.022123	-1.346	0.524508	1056.156
47	1.864208	-0.040381	-3.292	0.959849	1059.349
48	1.857992	-0.006216	-3.025	0.933389	1061.992
49	1.849879	-0.008113	-2.880	0.91464	1064.729
50	1.844847	-0.005032	-2.527	0.854186	1067.526
51	1.838064	-0.006784	-2.286	0.80069	1070.446
52	1.819406	-0.018658	-2.852	0.910608	1073.458
