N	eigenvalue	difference	twstat	p-value	effect.n
1	49.079835	NA	167.855	0	93.316
2	20.826446	-28.253390	83.887	1.65462e-224	140.512
3	19.397859	-1.428587	86.920	1.09268e-236	150.818
4	18.264804	-1.133055	91.730	1.95062e-256	162.015
5	16.997704	-1.267100	94.890	1.07218e-269	174.593
6	16.132350	-0.865354	101.484	4.45203e-298	188.236
7	15.674704	-0.457646	113.567	0	203.951
8	15.614670	-0.060034	134.033	0	223.632
9	10.440269	-5.174401	79.006	2.25477e-205	251.001
10	9.691310	-0.748959	75.270	4.07089e-191	262.373
11	9.500268	-0.191042	79.976	3.94956e-209	273.121
12	9.268038	-0.232229	84.380	1.79465e-226	285.180
13	9.211090	-0.056948	92.705	1.67997e-260	298.579
14	8.777968	-0.433122	94.267	4.61398e-267	314.490
15	8.478183	-0.299785	98.286	3.40607e-284	331.218
16	7.342271	-1.135912	81.799	2.98348e-216	349.531
17	7.252214	-0.090057	87.468	6.56666e-239	363.616
18	6.379155	-0.873058	72.478	1.08324e-180	379.550
19	5.699991	-0.679164	59.495	6.8959e-135	391.844
20	5.083581	-0.616410	46.048	1.83543e-92	401.308
21	5.067948	-0.015633	48.856	7.15358e-101	408.131
22	4.914744	-0.153204	47.633	3.5368e-97	415.600
23	4.701970	-0.212774	44.274	2.78226e-87	422.927
24	4.603959	-0.098011	44.173	5.44646e-87	429.688
25	4.514504	-0.089455	44.256	3.13181e-87	436.518
26	4.503539	-0.010965	46.923	4.68338e-95	443.453
27	4.248080	-0.255459	41.280	9.04621e-79	451.017
28	4.213930	-0.034150	42.848	3.43624e-83	457.550
29	4.122542	-0.091388	42.414	5.85344e-82	464.474
30	3.824051	-0.298491	34.177	8.26252e-60	471.399
31	3.783830	-0.040221	34.922	1.02838e-61	476.821
32	3.585360	-0.198471	29.589	1.51567e-48	482.443
33	3.473268	-0.112092	27.184	5.68989e-43	487.157
34	3.367158	-0.106110	24.812	1.0404e-37	491.500
35	3.357152	-0.010006	26.124	1.36748e-40	495.482
36	3.333377	-0.023775	26.932	2.11727e-42	499.726
37	3.330716	-0.002661	28.641	2.55365e-46	504.150
38	3.184655	-0.146061	24.388	8.53806e-37	508.922
39	3.115856	-0.068799	23.128	4.02885e-34	512.995
