N	eigenvalue	difference	twstat	p-value	effect.n
1	50.962362	NA	154.554	0	84.341
2	23.360301	-27.602062	85.560	3.37806e-231	124.065
3	22.492734	-0.867567	96.497	1.5966e-276	134.583
4	19.423301	-3.069432	91.018	1.76619e-253	147.986
5	18.744376	-0.678925	101.789	2.05069e-299	160.250
6	17.695583	-1.048794	110.950	0	175.602
7	15.740417	-1.955165	109.931	0	193.989
8	15.003470	-0.736947	120.627	0	212.496
9	11.200939	-3.802530	85.487	6.62589e-231	234.952
10	10.685210	-0.515729	87.952	7.03866e-241	247.678
11	10.089722	-0.595489	88.603	1.55545e-243	261.305
12	9.484431	-0.605290	88.112	1.5652e-241	275.410
13	9.019484	-0.464947	89.243	3.71944e-246	289.706
14	9.005253	-0.014232	99.397	5.42731e-289	304.629
15	7.354498	-1.650755	73.657	4.52815e-185	322.804
16	7.065475	-0.289023	73.720	2.64157e-185	334.456
17	6.756754	-0.308721	72.839	4.98743e-182	346.351
18	6.702541	-0.054213	78.087	7.78607e-202	358.261
19	6.589679	-0.112862	82.315	2.76339e-218	371.730
20	6.370021	-0.219658	83.807	3.4244e-224	386.607
21	5.062360	-1.307661	51.844	4.37221e-110	402.220
22	4.976387	-0.085973	52.960	1.35326e-113	410.301
23	4.895019	-0.081368	54.223	1.30162e-117	418.737
24	4.571378	-0.323641	47.444	1.30026e-96	427.571
25	4.417542	-0.153835	45.537	5.82568e-91	435.099
26	4.319337	-0.098206	45.267	3.6048e-90	442.340
27	4.302562	-0.016774	47.786	1.22571e-97	449.624
28	4.063811	-0.238751	42.344	9.22707e-82	457.528
29	3.974153	-0.089659	41.844	2.37004e-80	464.416
30	3.769038	-0.205115	36.801	1.32061e-66	471.291
31	3.602077	-0.166961	32.729	3.62513e-56	477.258
32	3.543746	-0.058331	32.589	8.08634e-56	482.529
33	3.493266	-0.050480	32.710	4.03131e-56	487.832
34	3.451779	-0.041487	33.167	2.917e-57	493.216
35	3.430227	-0.021552	34.450	1.66473e-60	498.744
36	3.395929	-0.034299	35.246	1.51157e-62	504.579
37	3.342647	-0.053282	35.233	1.63123e-62	510.635
38	3.317170	-0.025477	36.399	1.50921e-65	516.758
39	3.304614	-0.012556	38.191	2.62434e-70	523.185
40	3.160918	-0.143695	34.061	1.62659e-59	530.057
41	3.124915	-0.036004	34.578	7.84943e-61	536.163
42	3.008289	-0.116626	31.257	1.51131e-52	542.442
43	3.000935	-0.007355	32.925	1.17399e-56	548.126
44	2.925929	-0.075005	31.354	8.79564e-53	554.205
45	2.830931	-0.094999	28.629	2.72073e-46	560.034
46	2.808869	-0.022062	29.377	4.81756e-48	565.385
47	2.714833	-0.094036	26.438	2.73255e-41	570.938
48	2.704068	-0.010764	27.622	5.72153e-44	575.974
49	2.624587	-0.079481	25.213	1.39249e-38	581.290
50	2.537701	-0.086886	22.225	3.00246e-32	586.191
51	2.502841	-0.034861	21.865	1.6325e-31	590.573
52	2.495906	-0.006935	23.002	7.37455e-34	594.929
53	2.483837	-0.012069	23.898	9.5456e-36	599.538
54	2.455931	-0.027906	23.928	8.23376e-36	604.363
55	2.438424	-0.017507	24.533	4.16935e-37	609.240
56	2.316055	-0.122370	19.056	5.56447e-26	614.283
57	2.187416	-0.128638	12.880	3.07621e-15	618.321
58	2.147831	-0.039585	11.677	2.13815e-13	621.293
59	2.141943	-0.005888	12.428	1.55326e-14	624.084
60	2.127569	-0.014374	12.688	6.15025e-15	627.024
61	2.111424	-0.016146	12.840	3.56204e-15	630.032
62	2.108357	-0.003067	13.794	1.07337e-16	633.089
63	2.085741	-0.022616	13.563	2.53773e-16	636.338
64	2.063997	-0.021744	13.363	5.29989e-16	639.572
65	2.062235	-0.001762	14.413	1.03944e-17	642.795
66	2.056535	-0.005700	15.247	4.12719e-19	646.234
67	2.050874	-0.005661	16.111	1.33134e-20	649.853
68	1.950395	-0.100479	10.780	4.39605e-12	653.664
69	1.936017	-0.014378	10.897	2.98593e-12	656.536
70	1.929755	-0.006263	11.551	3.28824e-13	659.449
71	1.927472	-0.002282	12.492	1.23376e-14	662.501
72	1.916873	-0.010599	12.898	2.88081e-15	665.747
73	1.900885	-0.015989	12.941	2.47228e-15	669.093
74	1.884201	-0.016684	12.925	2.61518e-15	672.474
75	1.846735	-0.037466	11.440	4.81298e-13	675.878
76	1.835069	-0.011667	11.703	1.95049e-13	679.033
77	1.827901	-0.007168	12.290	2.52655e-14	682.262
78	1.800982	-0.026919	11.467	4.38832e-13	685.625
79	1.795423	-0.005559	12.152	4.10459e-14	688.860
80	1.773652	-0.021771	11.665	2.22625e-13	692.249
81	1.763917	-0.009735	12.039	6.09496e-14	695.573
82	1.751477	-0.012440	12.216	3.27512e-14	698.993
83	1.699652	-0.051824	9.412	3.51805e-10	702.474
84	1.675246	-0.024406	8.569	4.50195e-09	705.451
85	1.663960	-0.011287	8.693	3.1179e-09	708.294
86	1.602108	-0.061852	4.889	2.97324e-05	711.180
87	1.597443	-0.004665	5.403	8.65718e-06	713.399
88	1.541415	-0.056028	1.883	0.0126437	715.724
89	1.534381	-0.007033	2.120	0.00849193	717.454
90	1.533852	-0.000529	2.879	0.00215198	719.235
91	1.516235	-0.017617	2.284	0.0063858	721.159
92	1.502136	-0.014099	1.948	0.0113403	722.992
93	1.488079	-0.014057	1.599	0.0199553	724.779
94	1.479391	-0.008687	1.674	0.017734	726.518
95	1.476823	-0.002568	2.252	0.00675938	728.281
96	1.466872	-0.009951	2.229	0.00702796	730.156
97	1.443465	-0.023408	1.073	0.0438403	732.039
98	1.432239	-0.011226	0.900	0.0557642	733.734
99	1.423139	-0.009100	0.897	0.0559764	735.409
100	1.408945	-0.014194	0.454	0.099519	737.094
101	1.402499	-0.006446	0.658	0.0769499	738.713
102	1.380919	-0.021580	-0.447	0.263158	740.378
103	1.371076	-0.009843	-0.569	0.293908	741.863
104	1.365824	-0.005253	-0.297	0.228141	743.336
105	1.354847	-0.010977	-0.526	0.282816	744.865
106	1.344184	-0.010662	-0.739	0.339672	746.364
107	1.337104	-0.007080	-0.642	0.31328	747.836
108	1.330297	-0.006807	-0.523	0.28206	749.333
109	1.329666	-0.000631	0.155	0.141652	750.861
110	1.322162	-0.007504	0.224	0.130921	752.518
111	1.310841	-0.011321	-0.060	0.179144	754.198
112	1.293409	-0.017432	-0.920	0.392272	755.837
113	1.292221	-0.001188	-0.305	0.23007	757.335
114	1.289573	-0.002648	0.188	0.13637	758.951
115	1.286617	-0.002955	0.665	0.0763104	760.666
116	1.266047	-0.020570	-0.515	0.280173	762.479
117	1.264211	-0.001836	0.046	0.159896	764.089
118	1.254664	-0.009547	-0.118	0.190511	765.811
119	1.252681	-0.001983	0.437	0.101578	767.514
120	1.245669	-0.007013	0.518	0.0919483	769.330
121	1.244346	-0.001323	1.152	0.0391216	771.174
122	1.241127	-0.003219	1.617	0.0194144	773.148
123	1.239187	-0.001940	2.218	0.00716678	775.224
124	1.223156	-0.016032	1.429	0.0259589	777.430
125	1.219483	-0.003672	1.849	0.0133622	779.498
126	1.208157	-0.011326	1.504	0.0231417	781.661
127	1.200288	-0.007869	1.494	0.0235055	783.771
128	1.193805	-0.006483	1.620	0.0193027	785.893
129	1.191554	-0.002251	2.183	0.00762122	788.054
130	1.180865	-0.010689	1.882	0.0126625	790.341
131	1.179068	-0.001797	2.496	0.0043804	792.584
132	1.171940	-0.007128	2.564	0.0038713	794.965
133	1.159481	-0.012460	2.063	0.00936027	797.375
134	1.144192	-0.015289	1.236	0.0346642	799.701
135	1.129612	-0.014580	0.451	0.0998507	801.875
136	1.122004	-0.007608	0.391	0.107439	803.906
137	1.118075	-0.003929	0.725	0.0704797	805.938
138	1.114654	-0.003420	1.122	0.040883	808.051
139	1.112730	-0.001924	1.692	0.0172324	810.258
140	1.097030	-0.015700	0.743	0.068877	812.598
141	1.094505	-0.002525	1.233	0.0348062	814.757
142	1.090422	-0.004082	1.559	0.0212641	817.032
143	1.081954	-0.008469	1.392	0.0274602	819.390
144	1.069113	-0.012840	0.715	0.071492	821.728
145	1.062598	-0.006516	0.737	0.0693978	823.941
146	1.047179	-0.015418	-0.276	0.223518	826.173
147	1.042184	-0.004996	-0.112	0.189273	828.209
148	1.038054	-0.004129	0.155	0.141693	830.293
149	1.026982	-0.011073	-0.395	0.250766	832.445
150	1.017032	-0.009950	-0.834	0.366928	834.497
151	1.009383	-0.007649	-1.017	0.421253	836.470
152	0.999308	-0.010075	-1.501	0.574171	838.418
153	0.994756	-0.004552	-1.337	0.521633	840.277
154	0.991772	-0.002984	-0.980	0.410022	842.183
155	0.983428	-0.008345	-1.273	0.501486	844.176
156	0.981896	-0.001532	-0.740	0.340003	846.119
157	0.972115	-0.009781	-1.218	0.483996	848.188
158	0.969154	-0.002961	-0.864	0.375545	850.169
159	0.957197	-0.011957	-1.634	0.616112	852.238
160	0.952465	-0.004733	-1.519	0.579755	854.155
161	0.940756	-0.011708	-2.292	0.802221	856.109
162	0.933565	-0.007192	-2.516	0.851825	857.910
163	0.930199	-0.003366	-2.257	0.793558	859.675
164	0.926474	-0.003725	-2.040	0.736956	861.506
165	0.915171	-0.011303	-2.810	0.904222	863.396
166	0.910205	-0.004966	-2.775	0.898841	865.131
167	0.902853	-0.007352	-3.058	0.93725	866.885
168	0.900563	-0.002291	-2.682	0.88331	868.589
169	0.898009	-0.002554	-2.333	0.811964	870.385
170	0.881127	-0.016881	-3.902	0.99017	872.267
171	0.874461	-0.006666	-4.142	0.994915	873.822
172	0.869101	-0.005361	-4.215	0.995894	875.334
173	0.859680	-0.009420	-4.848	0.999504	876.840
174	0.856402	-0.003278	-4.660	0.99902	878.220
175	0.855453	-0.000948	-4.148	0.995002	879.647
176	0.847492	-0.007962	-4.598	0.998785	881.194
177	0.842822	-0.004670	-4.605	0.998814	882.653
