discordance	sites	i	j
70956	5356135	AF16	BRC20069
68212	5428336	AF16	BRC20073
385765	5253528	AF16	BRC20075
80384	5379253	AF16	BRC20077
393795	5257429	AF16	BRC20081
116793	5367787	AF16	BRC20085
393244	5227649	AF16	BRC20088
74631	5401197	AF16	BRC20089
69455	5354562	AF16	BRC20090
107356	5393006	AF16	BRC20092
69518	5320423	AF16	BRC20093
109659	5342542	AF16	BRC20094
72764	5409826	AF16	BRC20095
75758	5379650	AF16	BRC20096
76841	5400537	AF16	BRC20098
74672	5404781	AF16	BRC20099
69263	5349632	AF16	BRC20100
76248	5410865	AF16	BRC20102
65751	5403814	AF16	BRC20103
113964	5365863	AF16	BRC20105
109418	5384963	AF16	BRC20107
403230	5186526	AF16	BRC20115
147703	5355756	AF16	BRC20119
76078	5354724	AF16	BRC20228
386866	5256859	AF16	BRC20229
393495	5215161	AF16	BRC20230
385344	5228347	AF16	BRC20232
396887	5252283	AF16	BRC20238
389567	5259205	AF16	BRC20239
74514	5395933	AF16	BRC20241
63252	5398441	AF16	BRC20242
395930	5256578	AF16	BRC20244
395439	5238069	AF16	BRC20246
184332	5325493	AF16	BRC20257
79748	5350579	AF16	BRC20260
396010	5251361	AF16	BRC20270
393612	5218435	AF16	BRC20272
397824	5257750	AF16	BRC20289
390378	5154104	AF16	BRC20290
66177	5423491	AF16	BRC20294
397008	5274715	AF16	BRC20308
397819	5279241	AF16	BRC20309
397975	5269133	AF16	BRC20311
398829	5280840	AF16	BRC20312
398026	5281138	AF16	BRC20315
394339	5236870	AF16	BRC20320
256823	5207868	AF16	BRC20324
391549	5204198	AF16	BRC20331
396962	5259062	AF16	BRC20333
394723	5229463	AF16	BRC20334
393920	5251211	AF16	BRC20339
399324	5248369	AF16	BRC20341
388802	5266073	AF16	BRC20343
395255	5234605	AF16	BRC20346
390286	5277334	AF16	BRC20347
398462	5274309	AF16	BRC20348
136450	5308126	AF16	BRC20353
142406	5310856	AF16	BRC20360
138478	5338078	AF16	BRC20361
136087	5342793	AF16	BRC20362
399533	5237342	AF16	BRC20366
398311	5286896	AF16	BRC20367
73897	5418661	AF16	BRC20369
396907	5277177	AF16	BRC20370
424232	5191950	AF16	BRC20388
399645	5290559	AF16	BRC20390
76749	5369162	AF16	BRC20401
392824	5210406	AF16	BRC20463
399152	5196602	AF16	BRC20492
392836	5226210	AF16	BRC20499
395301	5241228	AF16	BRC20501
417148	5131204	AF16	BRC20502
416530	5188813	AF16	BRC20503
397552	5193062	AF16	BRC20519
400397	5222761	AF16	BRC20520
384484	5262955	AF16	BRC20522
385554	5260194	AF16	BRC20524
389327	5180983	AF16	BRC20529
384199	5219455	AF16	BRC20530
