"","samples","cluster","frac_cluster","max_frac","lat","long","geo","Lineage"
"1","NIC1106","A",0.241673,0.338202,3.45893,-76.531944,"South America","Tropical"
"2","NIC541","A",1e-05,0.376909,15.21123,-61.36602,"Caribbean","Tropical"
"3","QG4070","A",0.326098,0.407113,-21.1176781,148.5160414,"Australia","Tropical"
"4","ECA1701","A",0.285724,0.407159,19.110589,-155.82645,"Hawaii","Tropical"
"5","BRC20099","A",0.295251,0.408555,25.043399,121.616268,"Taiwan","Tropical"
"6","BRC20077","A",0.186841,0.410931,24.793571,121.364232,"Taiwan","Tropical"
"7","NIC1069","A",0.170806,0.41274,20.67859,-88.56941,"Central America","Tropical"
"8","JU1913","A",0.191543,0.414847,-20.37,148.85,"Australia","Tropical"
"9","QG3932","A",0.418756,0.418756,13.225206,-59.588132,"Caribbean","Tropical"
"10","JU2214","A",1e-05,0.424748,-6.462863,-76.335715,"South America","Tropical"
"11","QG5612","A",0.200342,0.431203,6.9578,158.2086,"Pacific","Tropical"
"12","NIC777","A",1e-05,0.431741,15.5868,-61.47083,"Caribbean","Tropical"
"13","HPT52","A",0.206923,0.434662,-8.5405,115.1725,"Pacific","Tropical"
"14","ED3032","A",0.437093,0.44831,25.158056,121.515831,"Taiwan","Tropical"
"15","JU2799","A",0.304403,0.450849,51.5378,9.9359,"Europe","Tropical"
"16","NIC883","A",0.461188,0.461188,23.67108,120.8,"Taiwan","Tropical"
"17","BRC20069","A",0.491551,0.491551,25.04655556,121.6149472,"Taiwan","Tropical"
"18","JU2457","A",0.177299,0.492869,-12.801653,-69.289488,"South America","Temperate"
"19","NIC985","A",0.270464,0.498706,4.03726,-52.67243,"South America","Tropical"
"20","QG881","A",1e-05,0.502216,9.144607067,-79.8263148,"Central America","Tropical"
"21","BRC20090","A",0.502666,0.502666,24.744819,121.747742,"Taiwan","Tropical"
"22","NIC1204","A",0.503925,0.503925,26.22481,119.99506,"Asia","Tropical"
"23","JU2618","A",1e-05,0.504507,18.72,-87.71,"Central America","Tropical"
"24","QG761","A",1e-05,0.509463,9.161421,-79.837195,"Central America","Tropical"
"25","BRC20073","A",0.486548,0.51325,25.04655556,121.6149472,"Taiwan","Tropical"
"26","EG6261","A",0.360768,0.516309,18.11,-66.16,"Caribbean","Tropical"
"27","BRC20333","A",1e-05,0.519914,24.602334,121.510549,"Taiwan","TH"
"28","BRC20095","A",0.478003,0.521795,24.74725,121.746266,"Taiwan","Tropical"
