K	CV
K=10 0.05390
K=10 0.05410
K=10 0.05439
K=10 0.05440
K=10 0.05483
K=10 0.05528
K=10 0.05557
K=10 0.05560
K=10 0.05569
K=10 0.05629
K=11 0.05256
K=11 0.05268
K=11 0.05268
K=11 0.05270
K=11 0.05429
K=11 0.05438
K=11 0.05447
K=11 0.05463
K=11 0.05498
K=11 0.05538
K=12 0.05156
K=12 0.05156
K=12 0.05239
K=12 0.05241
K=12 0.05250
K=12 0.05287
K=12 0.05359
K=12 0.05410
K=12 0.05417
K=12 0.05470
K=13 0.05115
K=13 0.05124
K=13 0.05134
K=13 0.05159
K=13 0.05176
K=13 0.05203
K=13 0.05216
K=13 0.05225
K=13 0.05331
K=13 0.05451
K=14 0.05056
K=14 0.05066
K=14 0.05066
K=14 0.05075
K=14 0.05111
K=14 0.05121
K=14 0.05148
K=14 0.05167
K=14 0.05174
K=14 0.05209
K=15 0.05030
K=15 0.05041
K=15 0.05048
K=15 0.05053
K=15 0.05079
K=15 0.05085
K=15 0.05122
K=15 0.05132
K=15 0.05267
K=15 0.05317
K=16 0.04970
K=16 0.04984
K=16 0.04991
K=16 0.05011
K=16 0.05017
K=16 0.05023
K=16 0.05025
K=16 0.05071
K=16 0.05112
K=16 0.05224
K=17 0.04926
K=17 0.04956
K=17 0.04969
K=17 0.04977
K=17 0.04983
K=17 0.04992
K=17 0.05000
K=17 0.05020
K=17 0.05022
K=17 0.05099
K=18 0.04899
K=18 0.04907
K=18 0.04912
K=18 0.04913
K=18 0.04945
K=18 0.04956
K=18 0.04986
K=18 0.05006
K=18 0.05027
K=18 0.05062
K=19 0.04847
K=19 0.04848
K=19 0.04856
K=19 0.04864
K=19 0.04874
K=19 0.04882
K=19 0.04897
K=19 0.04905
K=19 0.04910
K=19 0.04915
K=20 0.04820
K=20 0.04844
K=20 0.04847
K=20 0.04851
K=20 0.04875
K=20 0.04909
K=20 0.04911
K=20 0.04938
K=20 0.04953
K=20 0.04960
K=2 0.09154
K=2 0.09154
K=2 0.09155
K=2 0.09156
K=2 0.09158
K=2 0.09159
K=2 0.09159
K=2 0.09160
K=2 0.09160
K=2 0.09268
K=21 0.04794
K=21 0.04805
K=21 0.04819
K=21 0.04821
K=21 0.04845
K=21 0.04868
K=21 0.04874
K=21 0.04876
K=21 0.04889
K=21 0.04903
K=22 0.04771
K=22 0.04792
K=22 0.04794
K=22 0.04806
K=22 0.04821
K=22 0.04828
K=22 0.04852
K=22 0.04877
K=22 0.04889
K=22 0.04910
K=23 0.04785
K=23 0.04788
K=23 0.04792
K=23 0.04799
K=23 0.04803
K=23 0.04819
K=23 0.04820
K=23 0.04844
K=23 0.04865
K=23 0.04873
K=24 0.04704
K=24 0.04730
K=24 0.04757
K=24 0.04758
K=24 0.04766
K=24 0.04800
K=24 0.04802
K=24 0.04806
K=24 0.04861
K=24 0.04942
K=25 0.04720
K=25 0.04747
K=25 0.04753
K=25 0.04755
K=25 0.04766
K=25 0.04789
K=25 0.04796
K=25 0.04833
K=25 0.04857
K=25 0.04858
K=26 0.04681
K=26 0.04693
K=26 0.04708
K=26 0.04714
K=26 0.04726
K=26 0.04757
K=26 0.04764
K=26 0.04771
K=26 0.04774
K=26 0.04814
K=27 0.04655
K=27 0.04673
K=27 0.04705
K=27 0.04730
K=27 0.04740
K=27 0.04765
K=27 0.04765
K=27 0.04773
K=27 0.04831
K=27 0.04918
K=28 0.04619
K=28 0.04639
K=28 0.04653
K=28 0.04707
K=28 0.04724
K=28 0.04732
K=28 0.04739
K=28 0.04756
K=28 0.04767
K=28 0.04775
K=29 0.04615
K=29 0.04659
K=29 0.04669
K=29 0.04673
K=29 0.04677
K=29 0.04681
K=29 0.04685
K=29 0.04695
K=29 0.04707
K=29 0.04762
K=30 0.04606
K=30 0.04615
K=30 0.04646
K=30 0.04659
K=30 0.04665
K=30 0.04695
K=30 0.04698
K=30 0.04700
K=30 0.04705
K=30 0.04737
K=3 0.07861
K=3 0.07942
K=3 0.07944
K=3 0.07955
K=3 0.07971
K=3 0.08115
K=3 0.08164
K=3 0.08175
K=3 0.08218
K=3 0.08520
K=4 0.07114
K=4 0.07124
K=4 0.07153
K=4 0.07183
K=4 0.07317
K=4 0.07356
K=4 0.07403
K=4 0.07474
K=4 0.07680
K=4 0.07681
K=5 0.06645
K=5 0.06656
K=5 0.06719
K=5 0.06802
K=5 0.06806
K=5 0.06823
K=5 0.06954
K=5 0.07201
K=5 0.07208
K=5 0.07520
K=6 0.06183
K=6 0.06187
K=6 0.06191
K=6 0.06194
K=6 0.06407
K=6 0.06412
K=6 0.06430
K=6 0.06538
K=6 0.06605
K=6 0.06716
K=7 0.05929
K=7 0.05935
K=7 0.05979
K=7 0.05979
K=7 0.06002
K=7 0.06008
K=7 0.06022
K=7 0.06025
K=7 0.06220
K=7 0.06413
K=8 0.05708
K=8 0.05768
K=8 0.05791
K=8 0.05825
K=8 0.05847
K=8 0.05863
K=8 0.05875
K=8 0.05892
K=8 0.05923
K=8 0.06139
K=9 0.05637
K=9 0.05660
K=9 0.05660
K=9 0.05667
K=9 0.05696
K=9 0.05760
K=9 0.05787
K=9 0.05826
K=9 0.06016
K=9 0.06109
