"","samples","cluster","frac_cluster","max_frac","lat","long","geo","Lineage"
"1","NIC985","A",1e-05,0.28816,4.03726,-52.67243,"South America","Tropical"
"2","NIC911","A",1e-05,0.297666,4.03721,-52.67052,"South America","Tropical"
"3","JU2910","A",1e-05,0.330014,-20.2914,57.4061,"Africa","Tropical"
"4","JU2618","A",0.163624,0.33725,18.72,-87.71,"Central America","Tropical"
"5","NIC1204","A",1e-05,0.367497,26.22481,119.99506,"Asia","Tropical"
"6","NIC984","A",1e-05,0.369946,4.03746,-52.67236,"South America","Tropical"
"7","NIC541","A",0.063356,0.374399,15.21123,-61.36602,"Caribbean","Tropical"
"8","QG2881","A",1e-05,0.398705,-16.8999,145.7489833,"Australia","Tropical"
"9","QG3920","A",0.03039,0.400042,13.225206,-59.588132,"Caribbean","Tropical"
"10","JU4080","A",1e-05,0.400488,12.0641,108.5043,"Asia","Tropical"
"11","NIC1421","A",0.174339,0.400712,4.86785497516393,-52.3451459873467,"South America","Tropical"
"12","JU2836","A",0.325701,0.402917,20.66143,-105.253201,"Central America","Tropical"
"13","NIC1062","A",1e-05,0.40618,20.68576,-88.20927,"Central America","Tropical"
"14","NIC1202","A",1e-05,0.410679,26.22481,119.99506,"Asia","Tropical"
"15","JU1913","A",0.002517,0.412851,-20.37,148.85,"Australia","Tropical"
"16","QG4070","A",1e-05,0.417116,-21.1176781,148.5160414,"Australia","Tropical"
"17","NIC1069","A",1e-05,0.420058,20.67859,-88.56941,"Central America","Tropical"
"18","NIC777","A",0.101398,0.420858,15.5868,-61.47083,"Caribbean","Tropical"
"19","JU1814","A",1e-05,0.424052,4.9459,-52.316883,"South America","Tropical"
"20","HPT52","A",1e-05,0.438076,-8.5405,115.1725,"Pacific","Tropical"
"21","JU1794","A",0.004198,0.442461,-16.8,-151.5,"Pacific","Tropical"
"22","BRC20463","A",1e-05,0.443385,24.822658,121.735926,"Taiwan","TH"
"23","ECA2373","A",1e-05,0.446495,20.837072,-156.28088,"Hawaii","Tropical"
"24","NIC1106","A",0.137459,0.448156,3.45893,-76.531944,"South America","Tropical"
"25","QG3932","A",1e-05,0.448793,13.225206,-59.588132,"Caribbean","Tropical"
"26","QG2883","A",1e-05,0.450645,-16.9001167,145.7495833,"Australia","Tropical"
"27","BRC20090","A",1e-05,0.463814,24.744819,121.747742,"Taiwan","Tropical"
"28","QG1005","A",0.389309,0.470597,9.170573,-79.84316,"Central America","Tropical"
"29","QG3921","A",0.021825,0.471945,13.225206,-59.588132,"Caribbean","Tropical"
"30","XZ1204","A",1e-05,0.485026,-23.571,-46.647,"South America","Tropical"
"31","NIC590","A",1e-05,0.487772,15.40585,-61.34613,"Caribbean","Tropical"
"32","NIC62","A",1e-05,0.489088,5.07358,-52.69523,"South America","Tropical"
"33","JU2457","A",1e-05,0.492287,-12.801653,-69.289488,"South America","Temperate"
"34","EG6329","A",1e-05,0.49261,18.3,-65.8,"Caribbean","Tropical"
"35","JU1802","A",1e-05,0.492824,-21.12,55.778,"Africa","Tropical"
"36","JU4058","A",1e-05,0.506797,22.301,103.9218,"Asia","Tropical"
"37","QG808","A",0.436371,0.509667,9.1491,-79.856143,"Central America","Tropical"
"38","QG2659","A",0.489022,0.510778,9.153933333,-79.83166667,"Central America","Tropical"
"39","NIC1221","A",1e-05,0.511866,25.95147,119.96883,"Asia","Tropical"
"40","JU2216","A",1e-05,0.514353,-6.480251,-76.356593,"South America","TH"
"41","ECA287","A",1e-05,0.51514,9.926663289,-84.04235373,"Central America","TH"
"42","JU2799","A",1e-05,0.516156,51.5378,9.9359,"Europe","Tropical"
"43","NIC1267","A",1e-05,0.51664,3.622385971,-53.21547696,"South America","Tropical"
"44","QG5612","A",1e-05,0.521999,6.9578,158.2086,"Pacific","Tropical"
"45","QX1795","A",1e-05,0.523698,20.9818,-156.5463,"Hawaii","Tropical"
"46","BRC20339","A",1.1e-05,0.527476,24.951309,121.630089,"Taiwan","TH"
"47","QG2736","A",0.467715,0.532085,9.1598,-79.8399,"Central America","Tropical"
"48","NIC901","A",1e-05,0.533095,-22.222833,166.485438,"Pacific","Tropical"
"49","QG3925","A",1e-05,0.537717,13.233538,-59.587865,"Caribbean","Tropical"
"50","ECA162","A",1e-05,0.546032,20.79915,-156.03812,"Hawaii","Tropical"
"51","JU1637","A",1e-05,0.548924,17.1363,-25.0682,"Africa","Tropical"
"52","QG855","A",0.411875,0.54927,9.152583,-79.852998,"Central America","Tropical"
"53","XZ1213","A",1.9e-05,0.550449,-23.571,-46.647,"South America","Tropical"
"54","EG6267","A",1e-05,0.550599,18.45,-66,"Caribbean","Tropical"
"55","VSL2219","A",1e-05,0.551114,NA,NA,"Asia","Tropical"
"56","EG6276","A",1e-05,0.55402,-23.5,-46.7,"South America","Tropical"
"57","QG3004","A",0.554563,0.554563,9.16925,-79.8380167,"Central America","Tropical"
"58","NIC1602","A",1e-05,0.555011,24.68897,121.13965,"Taiwan","TH"
"59","HPT62","A",1e-05,0.556969,-8.41222,115.58591,"Pacific","Tropical"
"60","QG3801","A",0.557173,0.557173,10.43082,-84.01138,"Central America","Tropical"
"61","EG6272","A",0.013061,0.557278,18.45,-66,"Caribbean","Tropical"
"62","ZZY405","A",1e-05,0.5597,22.875,114.0625,"Asia","Tropical"
"63","NIC1308","A",1e-05,0.561991,4.86442099325358,-52.3459600377827,"South America","Tropical"
"64","NIC17","A",1e-05,0.56889,-21.027,55.538,"Africa","Tropical"
"65","QG1111","A",0.424211,0.575582,9.16835,-79.839279,"Central America","Tropical"
"66","NIC331","A",0.171627,0.576868,5.73057,-53.89241,"South America","Tropical"
"67","QG795","A",0.578006,0.578006,9.159222,-79.836495,"Central America","Tropical"
"68","EG6261","A",1e-05,0.580631,18.11,-66.16,"Caribbean","Tropical"
"69","JU1795","A",1e-05,0.582762,-16.8,-151.5,"Pacific","Tropical"
"70","ECA1587","A",1e-05,0.583092,21.308944,-157.7956,"Hawaii","Tropical"
"71","ECA2625","A",1e-05,0.583705,-26.6228223,152.6905986,"Australia","Tropical"
"72","JU1799","A",1e-05,0.583712,-21.12,55.778,"Africa","Tropical"
"73","JU1337","A",1e-05,0.585959,8.32,77.075,"Asia","Tropical"
"74","ECA4382","A",1e-05,0.587605,-21.0469,55.6878,"Africa","Tropical"
"75","ECA1657","A",1e-05,0.589202,20.948692,-156.53654,"Hawaii","Tropical"
"76","QG3924","A",0.080723,0.590057,13.234279,-59.587888,"Caribbean","Tropical"
"77","QG2848","A",1e-05,0.590677,-27.4627778,152.9905556,"Australia","Tropical"
"78","QG3867","A",0.206631,0.591365,10.42361667,-84.00118611,"Central America","Tropical"
"79","QG3019","A",0.595216,0.595216,9.163116667,-79.8372,"Central America","Tropical"
"80","JU3207","A",1e-05,0.596864,13.07206,77.58014,"Asia","Tropical"
"81","ECA4402","A",1e-05,0.597249,13.0722,77.5797,"Asia","Tropical"
"82","XZ1212","A",1e-05,0.602399,-23.571,-46.647,"South America","Tropical"
"83","QG763","A",0.602781,0.602781,9.161421,-79.837195,"Central America","Tropical"
"84","BRC20100","A",1e-05,0.602833,24.70731,121.738054,"Taiwan","Tropical"
"85","JU1399","A",0.039411,0.603304,5.9,-75.9,"South America","Tropical"
"86","XZ1731","A",1e-05,0.604243,-22.9382,-46.5466,"South America","Tropical"
"87","QG4701","A",1e-05,0.605577,6.9195,158.2712,"Pacific","Tropical"
"88","JU1375","A",1e-05,0.607836,-21.0469,55.6885,"Africa","Tropical"
"89","JU1884","A",1e-05,0.61085,15.7,-88.8,"Central America","Tropical"
