"","samples","cluster","frac_cluster","max_frac","lat","long","geo"
"30","BRC20069","H",1e-05,0.830825,25.04655556,121.6149472,"Taiwan"
"31","BRC20069","I",1e-05,0.830825,25.04655556,121.6149472,"Taiwan"
"32","BRC20069","J",1e-05,0.830825,25.04655556,121.6149472,"Taiwan"
"33","BRC20069","K",1e-05,0.830825,25.04655556,121.6149472,"Taiwan"
"34","BRC20069","L",1e-05,0.830825,25.04655556,121.6149472,"Taiwan"
"35","BRC20069","M",1e-05,0.830825,25.04655556,121.6149472,"Taiwan"
"36","BRC20069","N",1e-05,0.830825,25.04655556,121.6149472,"Taiwan"
"37","BRC20069","O",1e-05,0.830825,25.04655556,121.6149472,"Taiwan"
"38","BRC20069","P",1e-05,0.830825,25.04655556,121.6149472,"Taiwan"
"39","BRC20069","Q",1e-05,0.830825,25.04655556,121.6149472,"Taiwan"
"40","BRC20069","R",1e-05,0.830825,25.04655556,121.6149472,"Taiwan"
"41","BRC20069","S",1e-05,0.830825,25.04655556,121.6149472,"Taiwan"
"42","BRC20069","T",1e-05,0.830825,25.04655556,121.6149472,"Taiwan"
"43","BRC20069","U",0.830825,0.830825,25.04655556,121.6149472,"Taiwan"
"44","BRC20069","V",1e-05,0.830825,25.04655556,121.6149472,"Taiwan"
"45","BRC20073","A",1e-05,0.999789,25.04655556,121.6149472,"Taiwan"
"46","BRC20073","B",1e-05,0.999789,25.04655556,121.6149472,"Taiwan"
"47","BRC20073","C",1e-05,0.999789,25.04655556,121.6149472,"Taiwan"
"48","BRC20073","D",1e-05,0.999789,25.04655556,121.6149472,"Taiwan"
"49","BRC20073","E",1e-05,0.999789,25.04655556,121.6149472,"Taiwan"
"50","BRC20073","F",1e-05,0.999789,25.04655556,121.6149472,"Taiwan"
"51","BRC20073","G",1e-05,0.999789,25.04655556,121.6149472,"Taiwan"
"52","BRC20073","H",1e-05,0.999789,25.04655556,121.6149472,"Taiwan"
"53","BRC20073","I",1e-05,0.999789,25.04655556,121.6149472,"Taiwan"
"54","BRC20073","J",1e-05,0.999789,25.04655556,121.6149472,"Taiwan"
"55","BRC20073","K",1e-05,0.999789,25.04655556,121.6149472,"Taiwan"
"56","BRC20073","L",1e-05,0.999789,25.04655556,121.6149472,"Taiwan"
"57","BRC20073","M",1e-05,0.999789,25.04655556,121.6149472,"Taiwan"
"58","BRC20073","N",1e-05,0.999789,25.04655556,121.6149472,"Taiwan"
"59","BRC20073","O",1e-05,0.999789,25.04655556,121.6149472,"Taiwan"
"60","BRC20073","P",1.1e-05,0.999789,25.04655556,121.6149472,"Taiwan"
"61","BRC20073","Q",1e-05,0.999789,25.04655556,121.6149472,"Taiwan"
"62","BRC20073","R",1e-05,0.999789,25.04655556,121.6149472,"Taiwan"
"63","BRC20073","S",1e-05,0.999789,25.04655556,121.6149472,"Taiwan"
"64","BRC20073","T",1e-05,0.999789,25.04655556,121.6149472,"Taiwan"
"65","BRC20073","U",0.999789,0.999789,25.04655556,121.6149472,"Taiwan"
"66","BRC20073","V",1e-05,0.999789,25.04655556,121.6149472,"Taiwan"
"67","BRC20075","A",1e-05,0.99979,24.790015,121.374604,"Taiwan"
"68","BRC20075","B",1e-05,0.99979,24.790015,121.374604,"Taiwan"
"69","BRC20075","C",1e-05,0.99979,24.790015,121.374604,"Taiwan"
"70","BRC20075","D",1e-05,0.99979,24.790015,121.374604,"Taiwan"
"71","BRC20075","E",1e-05,0.99979,24.790015,121.374604,"Taiwan"
"72","BRC20075","F",0.99979,0.99979,24.790015,121.374604,"Taiwan"
"73","BRC20075","G",1e-05,0.99979,24.790015,121.374604,"Taiwan"
"74","BRC20075","H",1e-05,0.99979,24.790015,121.374604,"Taiwan"
"75","BRC20075","I",1e-05,0.99979,24.790015,121.374604,"Taiwan"
"76","BRC20075","J",1e-05,0.99979,24.790015,121.374604,"Taiwan"
"77","BRC20075","K",1e-05,0.99979,24.790015,121.374604,"Taiwan"
"78","BRC20075","L",1e-05,0.99979,24.790015,121.374604,"Taiwan"
"79","BRC20075","M",1e-05,0.99979,24.790015,121.374604,"Taiwan"
"80","BRC20075","N",1e-05,0.99979,24.790015,121.374604,"Taiwan"
"81","BRC20075","O",1e-05,0.99979,24.790015,121.374604,"Taiwan"
"82","BRC20075","P",1e-05,0.99979,24.790015,121.374604,"Taiwan"
"83","BRC20075","Q",1e-05,0.99979,24.790015,121.374604,"Taiwan"
"84","BRC20075","R",1e-05,0.99979,24.790015,121.374604,"Taiwan"
"85","BRC20075","S",1e-05,0.99979,24.790015,121.374604,"Taiwan"
"86","BRC20075","T",1e-05,0.99979,24.790015,121.374604,"Taiwan"
"87","BRC20075","U",1e-05,0.99979,24.790015,121.374604,"Taiwan"
"88","BRC20075","V",1e-05,0.99979,24.790015,121.374604,"Taiwan"
"89","BRC20077","A",1e-05,0.99979,24.793571,121.364232,"Taiwan"
"90","BRC20077","B",1e-05,0.99979,24.793571,121.364232,"Taiwan"
"91","BRC20077","C",1e-05,0.99979,24.793571,121.364232,"Taiwan"
"92","BRC20077","D",1e-05,0.99979,24.793571,121.364232,"Taiwan"
"93","BRC20077","E",1e-05,0.99979,24.793571,121.364232,"Taiwan"
"94","BRC20077","F",1e-05,0.99979,24.793571,121.364232,"Taiwan"
"95","BRC20077","G",1e-05,0.99979,24.793571,121.364232,"Taiwan"
"96","BRC20077","H",1e-05,0.99979,24.793571,121.364232,"Taiwan"
"97","BRC20077","I",1e-05,0.99979,24.793571,121.364232,"Taiwan"
"98","BRC20077","J",1e-05,0.99979,24.793571,121.364232,"Taiwan"
"99","BRC20077","K",1e-05,0.99979,24.793571,121.364232,"Taiwan"
"100","BRC20077","L",1e-05,0.99979,24.793571,121.364232,"Taiwan"
"101","BRC20077","M",1e-05,0.99979,24.793571,121.364232,"Taiwan"
"102","BRC20077","N",1e-05,0.99979,24.793571,121.364232,"Taiwan"
"103","BRC20077","O",1e-05,0.99979,24.793571,121.364232,"Taiwan"
