"","samples","cluster","frac_cluster","max_frac","lat","long","geo","Lineage"
"1","JU2836","A",1e-05,0.341317,20.66143,-105.253201,"Central America","Tropical"
"2","NIC541","A",1.1e-05,0.369439,15.21123,-61.36602,"Caribbean","Tropical"
"3","ECA4394","A",1e-05,0.396572,-18.5894,145.4343,"Australia","Tropical"
"4","NIC777","A",1e-05,0.400522,15.5868,-61.47083,"Caribbean","Tropical"
"5","JU1913","A",1e-05,0.412218,-20.37,148.85,"Australia","Tropical"
"6","NIC1204","A",1e-05,0.414601,26.22481,119.99506,"Asia","Tropical"
"7","NIC1106","A",1e-05,0.417245,3.45893,-76.531944,"South America","Tropical"
"8","NIC1202","A",1e-05,0.418572,26.22481,119.99506,"Asia","Tropical"
"9","EG6179","A",1e-05,0.421491,-17.53,-149.83,"Pacific","Tropical"
"10","QG2820","A",1e-05,0.427927,-27.4726528,152.9897861,"Australia","Tropical"
"11","JU2910","A",1e-05,0.429143,-20.2914,57.4061,"Africa","Tropical"
"12","JU1337","A",1e-05,0.43176,8.32,77.075,"Asia","Tropical"
"13","QG5507","A",1e-05,0.440393,6.9666,158.1907,"Pacific","Tropical"
"14","JU3171","A",1e-05,0.445611,0.289,6.612,"Africa","Tropical"
"15","QG795","A",1e-05,0.44745,9.159222,-79.836495,"Central America","Tropical"
"16","QG3932","A",1e-05,0.455847,13.225206,-59.588132,"Caribbean","Tropical"
"17","NIC62","A",1e-05,0.459172,5.07358,-52.69523,"South America","Tropical"
"18","JU2799","A",1e-05,0.466808,51.5378,9.9359,"Europe","Tropical"
"19","BRC20333","A",1e-05,0.470784,24.602334,121.510549,"Taiwan","TH"
"20","JU1908","A",1e-05,0.477659,-17.495,145.612,"Australia","Tropical"
"21","QG763","A",1e-05,0.477897,9.161421,-79.837195,"Central America","Tropical"
"22","QG856","A",1e-05,0.47881,9.156459,-79.848792,"Central America","Tropical"
"23","HPT52","A",1e-05,0.483265,-8.5405,115.1725,"Pacific","Tropical"
"24","QG2910","A",1e-05,0.483762,-17.2643833,145.4884833,"Australia","Tropical"
"25","NIC1062","A",1e-05,0.485794,20.68576,-88.20927,"Central America","Tropical"
"26","BRC20090","A",1e-05,0.490183,24.744819,121.747742,"Taiwan","Tropical"
"27","QG808","A",1e-05,0.491268,9.1491,-79.856143,"Central America","Tropical"
"28","JU1907","A",1e-05,0.492795,-17.495,145.612,"Australia","Tropical"
"29","JU2457","A",1e-05,0.493111,-12.801653,-69.289488,"South America","Temperate"
"30","XZ1731","A",1.1e-05,0.493479,-22.9382,-46.5466,"South America","Tropical"
"31","PE887","A",1e-05,0.495743,57.131806,-2.10514,"Europe","Tropical"
"32","XZ1207","A",1e-05,0.49686,-23.892,-46.3326,"South America","Tropical"
"33","QG864","A",1e-05,0.497655,9.152583,-79.852998,"Central America","Tropical"
