"","samples","cluster","frac_cluster","max_frac","lat","long","geo","Lineage"
"1","QG2910","A",1e-05,0.345895,-17.2643833,145.4884833,"Australia","Tropical"
"2","NIC541","A",0.260159,0.351641,15.21123,-61.36602,"Caribbean","Tropical"
"3","JU2836","A",1e-05,0.357424,20.66143,-105.253201,"Central America","Tropical"
"4","QX1795","A",1e-05,0.361879,20.9818,-156.5463,"Hawaii","Tropical"
"5","NIC1204","A",1e-05,0.386756,26.22481,119.99506,"Asia","Tropical"
"6","JU1399","A",1e-05,0.390204,5.9,-75.9,"South America","Tropical"
"7","NIC1106","A",1e-05,0.392874,3.45893,-76.531944,"South America","Tropical"
"8","NIC590","A",1e-05,0.400344,15.40585,-61.34613,"Caribbean","Tropical"
"9","NIC1069","A",1e-05,0.410067,20.67859,-88.56941,"Central America","Tropical"
"10","NIC901","A",1e-05,0.410342,-22.222833,166.485438,"Pacific","Tropical"
"11","JU1913","A",0.411534,0.411534,-20.37,148.85,"Australia","Tropical"
"12","QG3920","A",1e-05,0.414369,13.225206,-59.588132,"Caribbean","Tropical"
"13","NIC1202","A",1e-05,0.423343,26.22481,119.99506,"Asia","Tropical"
"14","NIC777","A",1e-05,0.424307,15.5868,-61.47083,"Caribbean","Tropical"
"15","QG1005","A",1e-05,0.425678,9.170573,-79.84316,"Central America","Tropical"
"16","QG3921","A",1e-05,0.43032,13.225206,-59.588132,"Caribbean","Tropical"
"17","JU1814","A",1e-05,0.430814,4.9459,-52.316883,"South America","Tropical"
"18","QG3801","A",1e-05,0.431777,10.43082,-84.01138,"Central America","Tropical"
"19","PE887","A",1e-05,0.435459,57.131806,-2.10514,"Europe","Tropical"
"20","QG3058","A",1e-05,0.444916,9.163116667,-79.8372,"Central America","Tropical"
"21","QG3932","A",1e-05,0.445581,13.225206,-59.588132,"Caribbean","Tropical"
"22","QG3032","A",1e-05,0.44882,9.163366667,-79.8447333,"Central America","Tropical"
"23","ECA4382","A",1e-05,0.450705,-21.0469,55.6878,"Africa","Tropical"
"24","JU1802","A",1e-05,0.455695,-21.12,55.778,"Africa","Tropical"
"25","QG5507","A",0.157333,0.463625,6.9666,158.1907,"Pacific","Tropical"
"26","QG763","A",1e-05,0.464445,9.161421,-79.837195,"Central America","Tropical"
"27","QG3867","A",1e-05,0.481674,10.42361667,-84.00118611,"Central America","Tropical"
"28","QG3783","A",1e-05,0.489602,10.4297,-84.00853,"Central America","Tropical"
"29","QG808","A",1e-05,0.491208,9.1491,-79.856143,"Central America","Tropical"
"30","ECA1701","A",1e-05,0.491501,19.110589,-155.82645,"Hawaii","Tropical"
"31","QG3931","A",1e-05,0.493919,13.225422,-59.589477,"Caribbean","Tropical"
"32","JU2457","A",1e-05,0.494035,-12.801653,-69.289488,"South America","Temperate"
