"","samples","cluster","frac_cluster","max_frac","lat","long","geo","Lineage"
"1","VX34","A",1e-05,0.306697,31.750834,113.98333,"Asia","Hubei"
"2","JU3326","A",1e-05,0.310581,31.23025,121.3955,"Asia","Hubei"
"3","NIC541","A",0.285789,0.316796,15.21123,-61.36602,"Caribbean","Tropical"
"4","QR25","A",1e-05,0.318194,45.545448,-73.639076,"North America","Quebec"
"5","JU2836","A",0.115691,0.325523,20.66143,-105.253201,"Central America","Tropical"
"6","NIC1062","A",0.273346,0.349307,20.68576,-88.20927,"Central America","Tropical"
"7","QG3004","A",1e-05,0.370709,9.16925,-79.8380167,"Central America","Tropical"
"8","JU1913","A",1e-05,0.413648,-20.37,148.85,"Australia","Tropical"
"9","JU1337","A",0.10874,0.42867,8.32,77.075,"Asia","Tropical"
"10","NIC1204","A",1e-05,0.445701,26.22481,119.99506,"Asia","Tropical"
"11","NIC985","A",0.313389,0.447203,4.03726,-52.67243,"South America","Tropical"
"12","QG3932","A",0.208577,0.447933,13.225206,-59.588132,"Caribbean","Tropical"
"13","NIC1202","A",1e-05,0.450749,26.22481,119.99506,"Asia","Tropical"
"14","NIC1106","A",1e-05,0.452708,3.45893,-76.531944,"South America","Tropical"
"15","PE887","A",0.160484,0.461623,57.131806,-2.10514,"Europe","Tropical"
"16","QG1005","A",1e-05,0.472796,9.170573,-79.84316,"Central America","Tropical"
"17","JU2799","A",0.350756,0.477551,51.5378,9.9359,"Europe","Tropical"
"18","JU2214","A",1e-05,0.480585,-6.462863,-76.335715,"South America","Tropical"
"19","JU2457","A",1e-05,0.492818,-12.801653,-69.289488,"South America","Temperate"
"20","QX1800","A",1e-05,0.500541,20.8715,-156.1694,"Hawaii","Tropical"
"21","QG4232","A",1e-05,0.502838,-21.16862222,148.5080167,"Australia","AD"
"22","JU2618","A",0.058078,0.504657,18.72,-87.71,"Central America","Tropical"
"23","QG808","A",1e-05,0.508871,9.1491,-79.856143,"Central America","Tropical"
"24","ECA3503","A",1e-05,0.510517,22.075157,-159.41413,"Hawaii","Tropical"
"25","QG2659","A",1e-05,0.511947,9.153933333,-79.83166667,"Central America","Tropical"
