"","samples","cluster","frac_cluster","max_frac","lat","long","geo","Lineage"
"1","JU1885","A",1e-05,0.344681,7.2995,80.6437,"Asia","Tropical"
"2","JU1399","A",1e-05,0.383132,5.9,-75.9,"South America","Tropical"
"3","JU2214","A",1e-05,0.395553,-6.462863,-76.335715,"South America","Tropical"
"4","JU1913","A",1e-05,0.413559,-20.37,148.85,"Australia","Tropical"
"5","NIC1202","A",1e-05,0.430515,26.22481,119.99506,"Asia","Tropical"
"6","QG5507","A",1e-05,0.431291,6.9666,158.1907,"Pacific","Tropical"
"7","NIC1204","A",1e-05,0.43144,26.22481,119.99506,"Asia","Tropical"
"8","NIC1106","A",1e-05,0.444842,3.45893,-76.531944,"South America","Tropical"
"9","NIC822","A",0.447887,0.447887,25.168,121.56254,"Taiwan","TH"
"10","JU1377","A",1e-05,0.450326,-21.0476,55.6905,"Africa","Tropical"
"11","BRC20090","A",1e-05,0.451561,24.744819,121.747742,"Taiwan","Tropical"
"12","NIC985","A",1e-05,0.45388,4.03726,-52.67243,"South America","Tropical"
"13","QG4070","A",1e-05,0.455132,-21.1176781,148.5160414,"Australia","Tropical"
"14","NIC1062","A",1e-05,0.45545,20.68576,-88.20927,"Central America","Tropical"
"15","XZ1212","A",1e-05,0.455575,-23.571,-46.647,"South America","Tropical"
"16","QG3925","A",1e-05,0.455819,13.233538,-59.587865,"Caribbean","Tropical"
"17","JU2799","A",1e-05,0.459166,51.5378,9.9359,"Europe","Tropical"
"18","QG3932","A",1e-05,0.460228,13.225206,-59.588132,"Caribbean","Tropical"
"19","QR25","A",1e-05,0.467344,45.545448,-73.639076,"North America","Quebec"
"20","JU1435","A",1e-05,0.467941,-21.05,55.27,"Africa","Tropical"
"21","ECA1701","A",1e-05,0.475434,19.110589,-155.82645,"Hawaii","Tropical"
"22","XZ1207","A",1e-05,0.484937,-23.892,-46.3326,"South America","Tropical"
"23","QG3926","A",1e-05,0.490898,13.233413,-59.587901,"Caribbean","Tropical"
"24","JU2457","A",1e-05,0.491774,-12.801653,-69.289488,"South America","Temperate"
"25","EG6329","A",1e-05,0.493744,18.3,-65.8,"Caribbean","Tropical"
"26","NIC901","A",1e-05,0.499905,-22.222833,166.485438,"Pacific","Tropical"
"27","JU3171","A",1e-05,0.50081,0.289,6.612,"Africa","Tropical"
"28","QG5348","A",1e-05,0.505348,6.9666,158.1907,"Pacific","Tropical"
"29","QG761","A",1e-05,0.507279,9.161421,-79.837195,"Central America","Tropical"
"30","JU2836","A",1e-05,0.508968,20.66143,-105.253201,"Central America","Tropical"
"31","JU1802","A",1e-05,0.509586,-21.12,55.778,"Africa","Tropical"
"32","JU1794","A",1e-05,0.515631,-16.8,-151.5,"Pacific","Tropical"
"33","QG881","A",1e-05,0.515822,9.144607067,-79.8263148,"Central America","Tropical"
"34","XZ1204","A",1e-05,0.516716,-23.571,-46.647,"South America","Tropical"
"35","QG795","A",1e-05,0.520695,9.159222,-79.836495,"Central America","Tropical"
"36","JU1799","A",1e-05,0.522144,-21.12,55.778,"Africa","Tropical"
"37","JU1637","A",1e-05,0.522973,17.1363,-25.0682,"Africa","Tropical"
"38","NIC590","A",1e-05,0.523386,15.40585,-61.34613,"Caribbean","Tropical"
"39","JU2861","A",1e-05,0.524512,52.1944,0.1264,"Europe","Tropical"
"40","JU1884","A",1e-05,0.524575,15.7,-88.8,"Central America","Tropical"
"41","DF5100","A",1e-05,0.524724,-23.8,31.4,"Africa","Tropical"
"42","XZ1213","A",1e-05,0.526056,-23.571,-46.647,"South America","Tropical"
"43","NIC62","A",1e-05,0.527498,5.07358,-52.69523,"South America","Tropical"
"44","EG6261","A",1e-05,0.532016,18.11,-66.16,"Caribbean","Tropical"
"45","JU1814","A",1e-05,0.533404,4.9459,-52.316883,"South America","Tropical"
"46","NIC911","A",1e-05,0.535237,4.03721,-52.67052,"South America","Tropical"
"47","QG4701","A",1e-05,0.538083,6.9195,158.2712,"Pacific","Tropical"
"48","ECA4382","A",1e-05,0.54473,-21.0469,55.6878,"Africa","Tropical"
"49","EG6272","A",1e-05,0.545147,18.45,-66,"Caribbean","Tropical"
"50","VSL2219","A",1e-05,0.547947,NA,NA,"Asia","Tropical"
"51","JU2618","A",1e-05,0.548871,18.72,-87.71,"Central America","Tropical"
"52","HPT52","A",1e-05,0.549019,-8.5405,115.1725,"Pacific","Tropical"
"53","EG6276","A",1e-05,0.549654,-23.5,-46.7,"South America","Tropical"
"54","NIC1117","A",1e-05,0.549995,-12.837789,-71.365833,"South America","Tropical"
"55","NIC1221","A",1e-05,0.55242,25.95147,119.96883,"Asia","Tropical"
"56","BRC20532","A",0.555468,0.555468,25.138139,121.672,"Taiwan","TH"
"57","NIC1069","A",1e-05,0.557578,20.67859,-88.56941,"Central America","Tropical"
"58","ECA2373","A",1e-05,0.55858,20.837072,-156.28088,"Hawaii","Tropical"
"59","ECA162","A",1e-05,0.564702,20.79915,-156.03812,"Hawaii","Tropical"
"60","QX1795","A",1e-05,0.565874,20.9818,-156.5463,"Hawaii","Tropical"
"61","EG6267","A",1e-05,0.569912,18.45,-66,"Caribbean","Tropical"
"62","NIC17","A",1e-05,0.571794,-21.027,55.538,"Africa","Tropical"
"63","JU1337","A",1e-05,0.572397,8.32,77.075,"Asia","Tropical"
"64","EG6179","A",1e-05,0.575228,-17.53,-149.83,"Pacific","Tropical"
"65","NIC821","A",1e-05,0.575616,23.60283,120.88416,"Taiwan","Tropical"
"66","XZ1731","A",1e-05,0.576945,-22.9382,-46.5466,"South America","Tropical"
"67","BRC20499","A",1e-05,0.578409,24,121.5,"Taiwan","TH"
"68","NIC777","A",1e-05,0.57989,15.5868,-61.47083,"Caribbean","Tropical"
"69","JU2910","A",1e-05,0.582818,-20.2914,57.4061,"Africa","Tropical"
"70","QG3933","A",1e-05,0.585623,13.225497,-59.588268,"Caribbean","Tropical"
"71","JU1378","A",1e-05,0.586785,-21.0478,55.6878,"Africa","Tropical"
"72","NIC1267","A",1e-05,0.588827,3.622385971,-53.21547696,"South America","Tropical"
"73","QG3056","A",1e-05,0.592826,9.1674,-79.83967,"Central America","Tropical"
"74","QG700","A",1e-05,0.594946,9.145492913,-79.8261379,"Central America","Tropical"
"75","QG2966","A",1e-05,0.595745,9.166166667,-79.84,"Central America","Tropical"
"76","QG860","A",1e-05,0.596108,9.14141,-79.8285,"Central America","Tropical"
"77","NIC1533","A",1e-05,0.596316,-16.75706,49.993077,"Africa","Tropical"
"78","NIC984","A",1e-05,0.596743,4.03746,-52.67236,"South America","Tropical"
"79","JU1638","A",1e-05,0.596868,17.13768,-25.06689,"Africa","Tropical"
"80","QG5488","A",1e-05,0.600383,6.9031,158.1706,"Pacific","Tropical"
"81","NIC1308","A",1e-05,0.602154,4.86442099325358,-52.3459600377827,"South America","Tropical"
"82","JU1347","A",1e-05,0.603305,9.6,77.13,"Asia","Tropical"
"83","BRC20348","A",1e-05,0.614647,25.128031,121.58826,"Taiwan","TH"
"84","BRC20081","A",0.299501,0.617821,24.602334,121.510549,"Taiwan","TH"
"85","QG4742","A",1e-05,0.618455,6.9213,158.2637,"Pacific","Tropical"
"86","NIC541","A",1e-05,0.621972,15.21123,-61.36602,"Caribbean","Tropical"
"87","QG3004","A",1e-05,0.628487,9.16925,-79.8380167,"Central America","Tropical"
"88","PE887","A",1e-05,0.63406,57.131806,-2.10514,"Europe","Tropical"
"89","JU1392","A",1e-05,0.634686,-22.916,-43.173,"South America","Tropical"
"90","ECA2115","A",1e-05,0.63493,20.952098,-156.53317,"Hawaii","Tropical"
"91","QG4094","A",1e-05,0.635646,-21.16862222,148.5080167,"Australia","AD"
"92","QG4718","A",1e-05,0.636671,6.9666,158.1907,"Pacific","Tropical"
"93","ED3088","A",1e-05,0.638941,-26.166667,28.016667,"Africa","Tropical"
"94","NIC1528","A",1e-05,0.641042,-16.755721,49.99665,"Africa","Tropical"
"95","ECA1637","A",1e-05,0.641224,20.952098,-156.53317,"Hawaii","Tropical"
"96","BRC20324","A",1e-05,0.641422,24.03965278,121.155,"Taiwan","TD1"
"97","QG4232","A",1e-05,0.642324,-21.16862222,148.5080167,"Australia","AD"
"98","JU4051","A",1e-05,0.642532,22.3228,103.8841,"Asia","Tropical"
"99","QG4648","A",1e-05,0.643845,6.9209,158.2632,"Pacific","Tropical"
"100","QG2910","A",1e-05,0.645441,-17.2643833,145.4884833,"Australia","Tropical"
"101","BRC20463","A",0.647282,0.647282,24.822658,121.735926,"Taiwan","TH"
"102","QG4966","A",1e-05,0.648437,6.9196,158.2712,"Pacific","Tropical"
"103","EG5613","A",1e-05,0.648582,-23.18234,-44.19456,"South America","Tropical"
"104","ECA2625","A",1e-05,0.651732,-26.6228223,152.6905986,"Australia","Tropical"
"105","QG2883","A",1e-05,0.653128,-16.9001167,145.7495833,"Australia","Tropical"
"106","NIC555","A",1e-05,0.654913,15.58933,-61.47222,"Caribbean","Tropical"
"107","QG5474","A",1e-05,0.656813,6.9666,158.1907,"Pacific","Tropical"
"108","JU1375","A",1e-05,0.65975,-21.0469,55.6885,"Africa","Tropical"
"109","JU3207","A",1e-05,0.66088,13.07206,77.58014,"Asia","Tropical"
"110","ECA4402","A",1e-05,0.661144,13.0722,77.5797,"Asia","Tropical"
"111","EG6275","A",1e-05,0.661557,-23.5,-46.7,"South America","Tropical"
"112","QG5603","A",1e-05,0.661657,6.9661,158.1916,"Pacific","Tropical"
"113","NIC814","A",0.664317,0.664317,23.81411,120.85654,"Taiwan","TH"
"114","BRC20085","A",1e-05,0.66598,24.794443,121.364029,"Taiwan","Tropical"
"115","QG5525","A",1e-05,0.669495,6.9031,158.1706,"Pacific","Tropical"
"116","ECA2425","A",1e-05,0.669557,20.038736,-155.44001,"Hawaii","Tropical"
"117","EG6274","A",1e-05,0.671046,-23.5,-46.7,"South America","Tropical"
"118","QG5612","A",1e-05,0.671087,6.9578,158.2086,"Pacific","Tropical"
"119","ECA1423","A",1e-05,0.672742,22.034251,-159.379145,"Hawaii","Tropical"
"120","JU3319","A",1e-05,0.673006,31.2306,121.4718,"Asia","Tropical"
"121","QG3921","A",1e-05,0.675832,13.225206,-59.588132,"Caribbean","Tropical"
"122","NIC1421","A",1e-05,0.679836,4.86785497516393,-52.3451459873467,"South America","Tropical"
"123","QG3920","A",1e-05,0.6848,13.225206,-59.588132,"Caribbean","Tropical"
"124","GXW23","A",1e-05,0.684832,30.54,114.42,"Asia","Tropical"
"125","NIC392","A",1e-05,0.684886,5.40779,-53.64583,"South America","Tropical"
"126","BRC20545","A",1e-05,0.686835,23.416972,121.275389,"Taiwan","TH"
"127","ECA1489","A",1e-05,0.688397,21.395558,-157.90104,"Hawaii","Tropical"
"128","QG5633","A",1e-05,0.688672,6.9666,158.1907,"Pacific","Tropical"
"129","QG3931","A",1e-05,0.691767,13.225422,-59.589477,"Caribbean","Tropical"
"130","VSL2210","A",1e-05,0.691865,12.36923,75.90115,"Asia","Tropical"
"131","NIC1681","A",0.691934,0.691934,22.08922,120.84876,"Taiwan","TH"
"132","JU725","A",1e-05,0.693957,24.75,110.5,"Asia","Tropical"
"133","QG3032","A",1e-05,0.695471,9.163366667,-79.8447333,"Central America","Tropical"
"134","NIC1052","A",1e-05,0.697756,20.51328,-87.24718,"Central America","Tropical"
"135","QG3923","A",1e-05,0.697867,13.225206,-59.588132,"Caribbean","Tropical"
"136","XZ1210","A",1e-05,0.702412,-23.571,-46.647,"South America","Tropical"
"137","QG3924","A",1e-05,0.702629,13.234279,-59.587888,"Caribbean","Tropical"
"138","QG3867","A",1e-05,0.704805,10.42361667,-84.00118611,"Central America","Tropical"
"139","BRC20290","A",1e-05,0.704953,25.01947778,121.9432,"Taiwan","TH"
"140","VSL2212","A",1e-05,0.708545,12.3829,75.9013,"Asia","Tropical"
"141","NIC792","A",1e-05,0.71044,23.83633,120.72447,"Taiwan","Tropical"
"142","NIC1525","A",1e-05,0.711041,-17.088793,49.827329,"Africa","Tropical"
"143","QG3019","A",1e-05,0.711085,9.163116667,-79.8372,"Central America","Tropical"
"144","QG3823","A",1e-05,0.716957,10.42540556,-84.00121667,"Central America","Tropical"
"145","NIC1645","A",1e-05,0.717709,25.06549,121.82703,"Taiwan","TH"
"146","MY539","A",1e-05,0.717761,54.3491,10.11505,"Europe","Tropical"
"147","VSL2201","A",1e-05,0.718076,12.3807,75.8947,"Asia","Tropical"
"148","BRC20119","A",1e-05,0.719057,23.836799,120.727025,"Taiwan","Tropical"
"149","JU1907","A",1e-05,0.72226,-17.495,145.612,"Australia","Tropical"
"150","QG4233","A",1e-05,0.723148,-21.16862222,148.5080167,"Australia","AD"
"151","QG3927","A",1e-05,0.724061,13.233413,-59.587901,"Caribbean","Tropical"
"152","BRC20289","A",1e-05,0.72512,25.01947778,121.9432,"Taiwan","TH"
"153","NIC331","A",1e-05,0.726236,5.73057,-53.89241,"South America","Tropical"
"154","QG3801","A",1e-05,0.726669,10.43082,-84.01138,"Central America","Tropical"
"155","QG4706","A",1e-05,0.727105,6.9666,158.1907,"Pacific","Tropical"
"156","NIC1529","A",1e-05,0.732274,-16.755873,49.996516,"Africa","Tropical"
"157","QG736","A",1e-05,0.732934,9.155514,-79.848903,"Central America","Tropical"
