"","samples","cluster","frac_cluster","max_frac","lat","long","geo","Lineage"
"1","VX34","A",1e-05,0.323234,31.750834,113.98333,"Asia","Hubei"
"2","JU3326","A",1e-05,0.327307,31.23025,121.3955,"Asia","Hubei"
"3","JU2618","A",0.352925,0.352925,18.72,-87.71,"Central America","Tropical"
"4","BRC20107","A",1e-05,0.358366,26.478,127.836,"Pacific","Tropical"
"5","NIC1202","A",1e-05,0.377348,26.22481,119.99506,"Asia","Tropical"
"6","NIC541","A",0.377386,0.377386,15.21123,-61.36602,"Caribbean","Tropical"
"7","QX1795","A",1.5e-05,0.381046,20.9818,-156.5463,"Hawaii","Tropical"
"8","JU1907","A",1e-05,0.385741,-17.495,145.612,"Australia","Tropical"
"9","BRC20085","A",1e-05,0.397605,24.794443,121.364029,"Taiwan","Tropical"
"10","ECA4394","A",1e-05,0.401752,-18.5894,145.4343,"Australia","Tropical"
"11","NIC777","A",0.411321,0.411321,15.5868,-61.47083,"Caribbean","Tropical"
"12","JU1913","A",1e-05,0.415783,-20.37,148.85,"Australia","Tropical"
"13","PE887","A",1e-05,0.418171,57.131806,-2.10514,"Europe","Tropical"
"14","XZ1212","A",0.020299,0.433162,-23.571,-46.647,"South America","Tropical"
"15","EG6179","A",1e-05,0.434249,-17.53,-149.83,"Pacific","Tropical"
"16","QG2910","A",1.8e-05,0.439029,-17.2643833,145.4884833,"Australia","Tropical"
"17","JU1814","A",0.376554,0.440666,4.9459,-52.316883,"South America","Tropical"
"18","ECA162","A",1e-05,0.440797,20.79915,-156.03812,"Hawaii","Tropical"
"19","NIC1106","A",0.446081,0.446081,3.45893,-76.531944,"South America","Tropical"
"20","VSL2219","A",1e-05,0.453379,NA,NA,"Asia","Tropical"
"21","QR25","A",1e-05,0.462712,45.545448,-73.639076,"North America","Quebec"
"22","QG2820","A",1e-05,0.464221,-27.4726528,152.9897861,"Australia","Tropical"
"23","QG3801","A",0.08354,0.465004,10.43082,-84.01138,"Central America","Tropical"
"24","JU1908","A",1e-05,0.470088,-17.495,145.612,"Australia","Tropical"
"25","JU2836","A",0.026308,0.470198,20.66143,-105.253201,"Central America","Tropical"
"26","BRC20092","A",1e-05,0.472661,25.016437,121.540237,"Taiwan","Tropical"
"27","QG1005","A",0.140122,0.473149,9.170573,-79.84316,"Central America","Tropical"
"28","QG3932","A",0.349448,0.474937,13.225206,-59.588132,"Caribbean","Tropical"
"29","VSL2217","A",1e-05,0.477681,NA,NA,"Asia","Tropical"
"30","NIC1204","A",1e-05,0.478922,26.22481,119.99506,"Asia","Tropical"
"31","NIC62","A",0.486097,0.486097,5.07358,-52.69523,"South America","Tropical"
"32","ECA4402","A",1e-05,0.486799,13.0722,77.5797,"Asia","Tropical"
"33","XZ1204","A",1e-05,0.487709,-23.571,-46.647,"South America","Tropical"
"34","JU3207","A",1e-05,0.488663,13.07206,77.58014,"Asia","Tropical"
"35","JU2457","A",0.220619,0.495957,-12.801653,-69.289488,"South America","Temperate"
"36","XZ1213","A",1e-05,0.500207,-23.571,-46.647,"South America","Tropical"
"37","BRC20533","A",2e-05,0.500634,24.182667,121.626472,"Taiwan","TH"
"38","JU1637","A",0.035936,0.502895,17.1363,-25.0682,"Africa","Tropical"
"39","QG3933","A",1e-05,0.503551,13.225497,-59.588268,"Caribbean","Tropical"
"40","JU3171","A",1e-05,0.50424,0.289,6.612,"Africa","Tropical"
"41","BRC20536","A",1e-05,0.50524,24.182667,121.626472,"Taiwan","TH"
"42","QG808","A",1e-05,0.505858,9.1491,-79.856143,"Central America","Tropical"
"43","ECA1701","A",1e-05,0.507271,19.110589,-155.82645,"Hawaii","Tropical"
"44","EG6329","A",0.45767,0.508943,18.3,-65.8,"Caribbean","Tropical"
