N	eigenvalue	difference	twstat	p-value	effect.n
112	1.322318	-0.001519	-0.885	0.381798	750.079
113	1.314790	-0.007528	-0.844	0.369883	751.538
114	1.312060	-0.002730	-0.368	0.244348	753.013
115	1.308771	-0.003289	0.068	0.156105	754.580
116	1.307150	-0.001621	0.667	0.0760239	756.235
117	1.284870	-0.022280	-0.644	0.313731	758.007
118	1.278635	-0.006235	-0.497	0.275565	759.556
119	1.270619	-0.008016	-0.518	0.280843	761.141
120	1.261792	-0.008827	-0.621	0.307619	762.733
121	1.259510	-0.002282	-0.106	0.188188	764.315
122	1.247342	-0.012167	-0.531	0.28404	766.001
123	1.240305	-0.007037	-0.476	0.270401	767.620
124	1.236953	-0.003352	-0.066	0.18033	769.259
125	1.225160	-0.011793	-0.474	0.269861	770.984
126	1.213721	-0.011439	-0.865	0.375972	772.645
127	1.212212	-0.001509	-0.287	0.226052	774.245
128	1.209080	-0.003132	0.142	0.143681	775.961
129	1.180303	-0.028777	-1.997	0.724965	777.768
130	1.168204	-0.012099	-2.522	0.853026	779.191
131	1.160916	-0.007287	-2.576	0.863779	780.529
132	1.159291	-0.001625	-2.056	0.74133	781.865
133	1.154432	-0.004859	-1.858	0.684508	783.304
134	1.153894	-0.000538	-1.210	0.481308	784.788
135	1.150916	-0.002977	-0.800	0.356945	786.402
136	1.135950	-0.014966	-1.638	0.617355	788.103
137	1.128841	-0.007109	-1.678	0.629849	789.657
138	1.117684	-0.011158	-2.153	0.7673	791.213
139	1.113845	-0.003839	-1.866	0.686873	792.690
140	1.107432	-0.006413	-1.850	0.682175	794.230
141	1.102429	-0.005002	-1.685	0.632057	795.782
142	1.100943	-0.001486	-1.137	0.458557	797.375
143	1.094640	-0.006303	-1.103	0.447943	799.084
144	1.082668	-0.011972	-1.696	0.635528	800.810
145	1.079992	-0.002676	-1.283	0.504567	802.432
146	1.074307	-0.005684	-1.196	0.477007	804.145
147	1.062932	-0.011376	-1.749	0.651617	805.885
148	1.053996	-0.008936	-2.048	0.738943	807.528
149	1.050267	-0.003729	-1.769	0.657867	809.123
150	1.044829	-0.005439	-1.681	0.630836	810.782
151	1.037774	-0.007055	-1.780	0.661295	812.469
152	1.035935	-0.001839	-1.284	0.504902	814.147
153	1.008740	-0.027195	-3.725	0.984627	815.935
154	1.004099	-0.004641	-3.606	0.979618	817.253
155	0.988163	-0.015936	-4.815	0.999439	818.602
156	0.982329	-0.005834	-4.869	0.99954	819.727
157	0.979217	-0.003113	-4.603	0.998808	820.848
158	0.973539	-0.005677	-4.640	0.99895	822.027
159	0.965611	-0.007928	-4.952	0.999665	823.206
160	0.965248	-0.000363	-4.362	0.997372	824.331
161	0.954707	-0.010541	-4.994	0.999716	825.578
162	0.950998	-0.003709	-4.814	0.999436	826.709
163	0.945049	-0.005949	-4.907	0.999602	827.881
164	0.940524	-0.004525	-4.830	0.999468	829.043
165	0.937273	-0.003251	-4.596	0.998777	830.227
166	0.934300	-0.002973	-4.324	0.997041	831.463
167	0.930855	-0.003445	-4.106	0.994366	832.762
168	0.924550	-0.006305	-4.247	0.99626	834.112
169	0.922674	-0.001876	-3.833	0.988248	835.441
170	0.916433	-0.006241	-3.967	0.991729	836.863
171	0.902291	-0.014142	-5.123	0.99983	838.266
